<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BVS,20100729,26.3,26.8,26.3,26.5,206200
BVS,20100728,27.1,27.1,26.2,26.5,223200
BVS,20100727,26.8,27.5,26.7,27,246300
BVS,20100726,27.3,27.3,26.5,26.8,228700
BVS,20100723,27.5,28,27,27.3,188500
BVS,20100722,26.9,28,26.4,27.1,378800
BVS,20100721,28,28,26.5,26.9,925600
BVS,20100720,28.3,28.8,27.7,28,502900
BVS,20100719,28.5,28.9,28.1,28.3,395700
BVS,20100716,29.5,29.6,29,29.3,300600
BVS,20100715,31,31.2,29.5,30.1,449200
BVS,20100714,31.1,31.1,30.3,31,1530600
BVS,20100713,28.3,29.5,28.1,29.1,699600
BVS,20100712,27.7,27.9,27,27.6,279200
BVS,20100709,28.5,28.9,27.5,27.7,260300
BVS,20100708,27,28.4,27,28,452500
BVS,20100707,26.6,27.2,26.2,26.6,261600
BVS,20100706,27,27,26,26.3,417300
BVS,20100705,27.9,27.9,26.9,27.1,350700
BVS,20100702,27.8,28,27.3,27.5,238900
BVS,20100701,27.5,27.8,27.1,27.5,189200
BVS,20100630,30.6,30.6,27.5,27.7,391500
BVS,20100629,28.4,29.2,28.3,28.7,282000
BVS,20100628,28.1,28.5,27.9,28.1,279800
BVS,20100625,29,29,28.1,28.5,341100
BVS,20100624,29.2,29.5,28.8,29.1,217900
BVS,20100623,29.4,29.4,29,29.2,349100
BVS,20100622,29.9,29.9,29.1,29.4,322400
BVS,20100621,29.8,30,29.5,29.8,261400
BVS,20100618,30,30.4,29.5,29.7,421400
BVS,20100617,30.1,30.8,29.7,29.9,406200
BVS,20100616,29.5,31.2,29.5,30.2,596900
BVS,20100615,29.7,29.7,29.3,29.5,213700
BVS,20100614,30,30,29.4,29.7,228200
BVS,20100611,29.8,30.5,29.4,29.7,260500
BVS,20100610,28.5,29.6,28.5,29.3,192600
BVS,20100609,30.2,30.2,29.1,29.5,249000
BVS,20100608,29.4,29.9,29,29.5,328700
BVS,20100607,30.5,30.5,29,29.4,676900
BVS,20100604,31.5,31.6,30.9,31.1,348200
BVS,20100603,32,32.6,30.9,31.5,420800
BVS,20100602,30.5,31.3,30.5,30.9,312800
BVS,20100601,31.7,31.7,30.6,31.1,422800
BVS,20100531,33,33,31,31.7,343000
BVS,20100528,32.5,32.9,31.8,32.6,876000
BVS,20100527,30.6,31.5,30.3,30.8,425600
BVS,20100526,31.2,32,30.8,31.3,530500
BVS,20100525,32.5,32.5,30,31.2,367100
BVS,20100524,30.5,31.7,30.3,31.4,1046600
BVS,20100521,29.4,31.6,29.4,29.7,954300
BVS,20100520,30,32.6,28.8,31.6,886200
BVS,20100519,32.1,32.1,29.9,30.5,593300
BVS,20100518,32.8,32.8,31.6,32.1,361700
BVS,20100517,33.8,34,31.8,32.6,601000
