<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BXH,20100726,31.5,32,29.1,31.8,6600
BXH,20100723,31,31,31,31,6800
BXH,20100722,30.2,30.2,28.9,30.1,10000
BXH,20100721,28.9,30.9,28.9,30.2,10700
BXH,20100719,28.7,30,28.7,28.9,1200
BXH,20100716,30,30,29.9,30,8600
BXH,20100715,33.4,33.4,31.1,32.1,2400
BXH,20100714,33.4,33.4,33.4,33.4,1100
BXH,20100712,35.9,35.9,35.9,35.9,500
BXH,20100709,40,40,35.5,35.9,1100
BXH,20100705,37.9,37.9,37.9,37.9,1000
BXH,20100701,35.5,35.5,35.5,35.5,3100
BXH,20100629,35.9,35.9,32.5,33.3,15000
BXH,20100628,33,34.3,32.8,33.6,50200
BXH,20100625,32.5,32.5,30.3,32.1,33800
BXH,20100624,30.8,32.6,30.8,32.5,12000
BXH,20100623,32.5,32.8,32,32.6,50700
BXH,20100618,32.8,32.8,32.6,32.8,18000
BXH,20100617,33,33,32.8,32.9,18000
BXH,20100616,32.8,33,32.8,32.8,10200
BXH,20100615,34,34,32,33.1,12500
BXH,20100614,33.5,33.5,32,33.1,14000
BXH,20100610,29.5,31.5,29.5,31.5,33500
BXH,20100609,28.4,30.3,28.4,29.5,8000
BXH,20100607,28.4,28.4,28.4,28.4,6000
BXH,20100604,28.6,28.6,28.4,28.4,11100
BXH,20100603,30.7,32.8,28.6,30.5,21100
BXH,20100602,30.7,30.7,30.7,30.7,21500
BXH,20100601,33,33,33,33,2000
BXH,20100531,33,33,33,33,1100
BXH,20100528,30.5,31,30.5,30.9,12500
BXH,20100525,32.5,32.5,31,31.9,8500
BXH,20100524,33,33,33,33,500
BXH,20100521,32.7,32.7,32.7,32.7,100
BXH,20100519,34,36,34,35.1,5000
BXH,20100518,34,34,33.9,34,8500
BXH,20100517,32.2,32.2,30.5,31.8,11500
BXH,20100514,30.1,30.1,30.1,30.1,5100
BXH,20100513,30,34.2,29.8,32.3,37700
BXH,20100512,32,32,31.9,32,7000
BXH,20100511,30.7,30.7,30.2,30.4,8700
BXH,20100510,29,30.9,29,30.7,43400
BXH,20100507,28.9,28.9,28.9,28.9,24400
BXH,20100506,27.2,27.3,26.8,27.1,73800
BXH,20100505,24,25.7,24,25.6,42400
BXH,20100504,23.9,24.7,23.9,24.1,15200
BXH,20100429,24.2,24.2,22,23.1,6000
BXH,20100428,23,23.4,23,23.3,18100
BXH,20100422,20.7,22.8,20.7,21.9,4000
BXH,20100421,21.5,21.5,21.4,21.4,500
BXH,20100420,21.7,21.7,21.7,21.7,200
BXH,20100419,23.3,23.3,23.3,23.3,1000
BXH,20100416,25,25,25,25,100
BXH,20100412,26.7,26.7,26.6,26.7,22800
BXH,20100409,25,25,24.8,25,61300
BXH,20100408,23.2,23.5,23.1,23.4,75100
BXH,20100407,22,22,22,22,9500
BXH,20100405,22,22.5,22,22.1,5500
BXH,20100402,20.4,22.4,20.3,21.6,7400
