<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
C92,20100729,26,26.5,25.6,26.5,9900
C92,20100728,26,27.5,25.5,26,16400
C92,20100727,26.1,27.9,26.1,26.2,6200
C92,20100726,25.2,28.2,25.2,26.1,6700
C92,20100723,29.5,29.5,26.5,26.8,27400
C92,20100722,28.4,28.4,25.1,28.2,79300
C92,20100721,26.6,26.6,26.6,26.6,17200
C92,20100720,24.9,24.9,24.9,24.9,10600
C92,20100719,21.9,24.2,21.8,23.3,47500
C92,20100716,22,23.5,21.8,22.7,22400
C92,20100715,23.1,23.5,23.1,23.2,6600
C92,20100714,24,24,23,23.2,18800
C92,20100713,23.2,23.3,21.8,23,31900
C92,20100712,20.6,22,20.6,21.8,13100
C92,20100709,20.5,20.8,20.5,20.6,9900
C92,20100708,22,22,22,22,100
C92,20100707,22,22,21.1,21.4,2800
C92,20100706,23.9,23.9,22,22.6,5500
C92,20100705,22.8,22.8,21,22.4,40200
C92,20100702,21.8,21.8,21.3,21.4,500
C92,20100701,20.6,20.6,18.7,20.4,1700
C92,20100630,19.1,19.5,19.1,19.3,2600
C92,20100629,20.4,20.4,19.1,19.5,10000
C92,20100628,20,20,20,20,300
C92,20100625,21.4,21.4,19.6,20,11100
C92,20100624,21.8,21.8,20.5,21,3500
C92,20100623,21.2,21.8,20.1,21.3,5400
C92,20100622,21.7,21.7,20.8,21.2,26600
C92,20100621,21,21,20,20.8,13100
C92,20100618,20.5,20.5,20.4,20.5,1100
C92,20100617,20.2,20.2,19.4,19.8,1900
C92,20100616,20,20.5,20,20.3,3600
C92,20100615,19.4,19.4,19.4,19.4,1100
C92,20100614,18.9,20.1,18.9,19.4,4600
C92,20100611,19.4,19.4,18.4,18.9,4500
C92,20100610,20.4,20.4,18.3,18.8,2600
C92,20100609,20.4,20.4,19,19.2,9100
C92,20100608,20.4,20.4,20.4,20.4,200
C92,20100603,21.4,21.4,20.9,21.1,1500
C92,20100602,20.5,20.8,20.5,20.7,700
C92,20100601,20.3,20.5,20.3,20.5,1100
C92,20100531,20.9,21.8,20.4,21.5,2100
C92,20100528,21.8,21.9,20.6,21.8,17000
C92,20100527,20.5,20.9,19.4,20.5,7200
C92,20100526,20.1,20.7,20.1,20.5,6300
C92,20100525,20.4,20.4,20.4,20.4,2500
C92,20100524,19.8,19.9,19.8,19.8,1300
C92,20100521,19.6,21.3,19.6,19.8,8700
C92,20100520,21.3,21.3,20.4,21,12700
C92,20100519,20.9,20.9,19.5,19.9,4600
C92,20100518,20.4,21.4,20.4,20.9,11900
C92,20100517,20.4,21.1,19.9,20.3,9600
C92,20100514,20.9,22.1,20.9,21.1,23600
C92,20100513,22.4,22.4,22.4,22.4,15300
C92,20100512,24.9,24.9,24,24,4700
C92,20100511,27.7,27.7,24.4,25.8,21600
C92,20100510,27.1,27.1,24.9,25.9,19300
C92,20100507,25.6,25.6,24,25.4,77400
C92,20100506,24,24,24,24,7300
C92,20100505,22.5,22.5,22.4,22.5,27700
C92,20100504,21.1,21.1,21.1,21.1,1900
C92,20100429,19.3,19.9,19.3,19.8,10000
C92,20100428,18.9,18.9,17.7,18.6,6800
C92,20100427,18.6,19.4,18.6,18.8,12300
C92,20100426,20.4,20.5,19.1,20,1500
C92,20100422,20.6,20.6,19.9,20.5,10700
C92,20100421,19.3,19.6,18.4,19.4,17800
C92,20100420,18.1,18.6,18.1,18.4,9300
C92,20100419,18.1,18.5,17.9,18.1,4100
C92,20100416,17.9,17.9,17.3,17.4,2100
C92,20100415,17.6,17.6,17.4,17.5,3000
C92,20100414,17.3,17.6,17.3,17.5,4600
C92,20100413,17.3,17.4,16.9,17.2,3200
C92,20100412,17.7,17.8,17.4,17.6,3500
C92,20100409,18,18,17.9,17.9,5100
C92,20100408,17.4,18.2,17.4,17.9,4100
C92,20100407,17.5,17.5,16.7,17.1,1300
C92,20100406,17.4,17.6,17.1,17.3,9100
C92,20100405,17.1,17.3,16.9,17.1,3100
C92,20100402,16.9,17.7,16.9,17.3,3800
C92,20100401,16.4,17.1,16.3,16.8,5200
C92,20100331,16.9,17.3,16.9,17.2,3500
C92,20100330,17.9,18,17.9,17.9,700
C92,20100329,18.9,18.9,18.4,18.7,1200
C92,20100326,17.9,18,17.4,17.9,3900
C92,20100325,18.5,18.5,17.9,18,5400
C92,20100324,18.3,19,18.3,18.8,10200
C92,20100323,18.4,18.4,17.9,18.4,3900
C92,20100322,17.4,17.4,16.8,17.2,16500
C92,20100319,17.7,17.7,17.3,17.5,7300
C92,20100318,17.6,17.6,17.2,17.3,12200
C92,20100317,17.1,17.1,16.8,17,26000
C92,20100316,17.8,17.8,16.5,17,16100
C92,20100315,17.1,17.1,16.6,17,8700
C92,20100312,17.3,17.3,16.8,17,2700
C92,20100311,16.8,17.2,16.8,16.8,10400
C92,20100310,16.8,16.8,16.2,16.7,32800
C92,20100309,15.5,16.2,15.5,16,8900
C92,20100308,15.4,15.5,15.4,15.5,5400
C92,20100305,14.8,14.8,14.8,14.8,400
C92,20100304,14.9,14.9,14.6,14.8,2400
C92,20100303,14.6,15.1,14.6,14.6,4300
C92,20100302,14.6,14.6,14.6,14.6,500
C92,20100301,15.1,15.1,15.1,15.1,100
C92,20100226,14.6,14.6,14.6,14.6,200
C92,20100225,14.6,14.6,14.6,14.6,1000
C92,20100224,14.3,14.3,14.1,14.2,400
C92,20100223,14.3,14.3,14.3,14.3,400
C92,20100222,15,15,14.2,14.3,1400
C92,20100212,14.3,15.1,14.3,14.9,500
C92,20100211,14.7,14.7,14.7,14.7,100
C92,20100210,14.1,14.2,14.1,14.2,2000
C92,20100209,13.8,13.8,13.7,13.7,2900
C92,20100208,14.3,14.3,14.3,14.3,900
C92,20100205,15.4,15.4,14.7,15.1,600
C92,20100204,15.4,15.4,15.4,15.4,500
C92,20100203,15.4,15.4,15.4,15.4,1100
C92,20100202,15.2,15.2,14.6,14.7,900
C92,20100201,14.8,14.8,14.6,14.6,1800
C92,20100129,14.6,14.6,14.1,14.2,600
C92,20100128,14.6,14.6,14.6,14.6,600
C92,20100127,15.7,15.7,15.1,15.3,3200
C92,20100126,16,16,15.2,15.8,19600
C92,20100125,15.5,15.7,15.2,15.3,500
C92,20100122,15.3,15.4,15.3,15.3,8800
C92,20100120,16.1,16.1,16.1,16.1,100
C92,20100119,16.1,16.1,16.1,16.1,700
C92,20100115,16.1,16.1,16.1,16.1,900
C92,20100114,16.7,16.7,16.7,16.7,3800
C92,20100113,15.7,16.8,15.7,16,7200
C92,20100112,17.6,17.6,16.2,16.5,12600
C92,20100111,17.1,17.1,17.1,17.1,1400
C92,20100108,17.6,18.2,17.3,17.9,3500
C92,20100107,17.3,17.6,17.3,17.3,16600
C92,20100106,18,18,16.4,17.4,11200
C92,20100105,17.2,17.2,17.2,17.2,2100
C92,20100104,16.5,16.5,16.5,16.5,300
C92,20091231,15.7,15.7,15.7,15.7,1600
C92,20091230,14.6,15.2,14.6,15,12000
C92,20091229,14.5,14.6,14,14.5,4900
C92,20091228,14.5,14.5,14.5,14.5,16300
C92,20091225,13.9,13.9,13.9,13.9,2300
C92,20091224,13.2,13.6,13.2,13.4,15900
C92,20091223,13.1,13.2,13.1,13.1,4000
C92,20091222,13.1,13.2,13.1,13.1,3000
C92,20091221,13.5,13.7,13.5,13.7,9000
C92,20091218,13,13.2,13,13.2,9700
C92,20091217,12.7,12.7,12.7,12.7,5400
C92,20091216,13.3,13.3,13.3,13.3,800
C92,20091215,14,14,13.5,13.9,3800
C92,20091214,14,14,14,14,300
C92,20091211,13.5,13.5,13.4,13.4,5100
C92,20091210,14.6,14.6,14,14,5900
C92,20091209,14.6,14.6,14.6,14.6,3500
C92,20091208,15.3,15.7,15.3,15.3,600
C92,20091207,16.2,16.2,15.7,16,200
C92,20091204,15.8,15.8,15.7,15.8,7500
C92,20091203,17.3,17.3,16.5,16.5,3800
C92,20091202,17.3,17.3,17.3,17.3,200
C92,20091201,17.2,17.6,17.2,17.2,5500
C92,20091130,15.7,17.3,15.7,16.8,1500
C92,20091127,16.6,17.1,16.4,16.5,16600
C92,20091126,17.2,17.2,17.2,17.2,100
C92,20091125,17.4,17.4,17.4,17.4,100
C92,20091124,18.4,18.4,18.4,18.4,200
C92,20091123,17.9,17.9,17.8,17.9,10300
C92,20091119,18.6,19.1,18.6,18.7,2600
C92,20091118,19.2,19.2,18.5,18.8,5600
C92,20091117,18.4,18.7,18.2,18.5,15800
C92,20091116,18,18.3,17.3,17.9,23900
C92,20091113,18.6,18.6,17.6,18.2,6800
C92,20091112,18.9,18.9,18.4,18.5,5400
C92,20091111,19.5,19.5,17.7,18.3,9900
C92,20091110,20.2,20.2,18.3,18.6,1200
C92,20091109,19.3,19.3,19.2,19.3,300
C92,20091106,20.7,20.7,20.1,20.3,9100
C92,20091105,22.2,22.2,20.8,21.2,24300
C92,20091104,22,22,21.8,21.9,2300
C92,20091103,22.8,22.8,21,21.1,9200
C92,20091102,23.5,23.5,21.1,22.2,21300
C92,20091030,22.2,22.3,22.2,22.3,15700
C92,20091029,22.7,22.7,20.9,21.1,20600
C92,20091028,20.4,22.7,20.4,22.1,48900
C92,20091027,21.6,21.6,21.6,21.6,1600
C92,20091026,23.3,23.3,22.7,22.8,15200
C92,20091023,24.1,24.1,23.3,24,31300
C92,20091022,23,23.2,22,22.9,40900
C92,20091021,22,22,21.9,22,44500
C92,20091020,20,21,19.5,20.9,32700
C92,20091019,21.5,21.5,19.4,20,54000
C92,20091016,20.4,20.4,20.4,20.4,52300
C92,20091015,19.5,19.5,19.5,19.5,2900
C92,20091014,18.5,18.5,18.5,18.5,3700
C92,20091013,17.7,17.7,17.7,17.7,6300
C92,20091012,16.7,16.8,16.7,16.8,28100
C92,20091009,16.2,16.5,15.7,16.1,40800
C92,20091008,16.1,16.1,15.5,15.8,8300
C92,20091007,14.9,15.5,14.9,15.4,14500
C92,20091006,14.6,15.1,14.6,14.8,6600
C92,20091005,15,15,14.3,14.6,2500
C92,20091002,15.2,15.2,15,15,5200
C92,20091001,16.6,16.6,15.3,15.8,8100
C92,20090930,16,16,15.8,16,35800
C92,20090929,15.3,15.3,15.1,15.3,32600
C92,20090928,14.3,14.9,14.3,14.7,17400
C92,20090925,14.6,14.6,14,14.2,3500
C92,20090924,15.2,15.2,14.5,14.6,9000
C92,20090923,15.3,15.3,14.6,15.2,52200
C92,20090922,14.9,14.9,14.1,14.6,20200
C92,20090921,15.1,15.1,14.4,14.6,16100
C92,20090918,15.1,15.2,14.6,14.7,46000
C92,20090917,14.6,14.6,14.1,14.6,72900
C92,20090916,14,14,14,14,48500
C92,20090915,13.4,13.6,13.1,13.4,34400
C92,20090914,12.9,13.2,12.9,13,22400
C92,20090911,12.8,13,12.8,12.9,10000
C92,20090910,12.9,13,12.9,13,2300
C92,20090909,13.3,13.3,12.9,12.9,6700
C92,20090908,12.6,13.1,12.6,12.9,9600
C92,20090907,12.9,12.9,12.6,12.8,10900
C92,20090904,12.9,13,12.6,12.9,23000
C92,20090903,13.1,13.1,12.6,12.8,15800
C92,20090901,13.1,13.3,13.1,13.1,3500
C92,20090831,13,13.4,13,13.1,6800
C92,20090828,13,13.3,12.9,13,23200
C92,20090827,13.3,13.3,13.1,13.2,1200
C92,20090826,13,13.2,12.9,13,9500
C92,20090825,12.6,12.7,12.6,12.7,3900
C92,20090824,13.2,13.2,12.8,13,1300
C92,20090821,13.3,13.4,12.8,13.2,21900
C92,20090820,13.4,13.5,13,13.1,4000
C92,20090819,13.4,13.4,13.4,13.4,100
C92,20090818,13,13,13,13,4500
C92,20090817,13.2,13.2,12.5,12.6,25800
C92,20090814,13.3,13.3,13,13,18100
C92,20090813,13.8,13.8,13.5,13.6,3100
C92,20090812,13.6,13.7,13.3,13.6,10500
C92,20090811,13.3,13.4,13.3,13.3,6100
C92,20090810,13.3,13.3,12.8,12.8,4600
C92,20090807,13.3,13.3,13.3,13.3,8300
C92,20090806,13.9,14,13.9,13.9,6200
C92,20090805,14.3,14.7,14,14.5,6600
C92,20090804,14.1,15.2,13.9,14.7,12200
C92,20090731,14.5,14.5,14.5,14.5,100
C92,20090729,14.1,14.1,14.1,14.1,100
C92,20090728,14.1,14.1,14,14,5600
C92,20090727,14,14,14,14,100
C92,20090724,13.5,13.6,13.5,13.5,9100
C92,20090723,12.8,13.3,12.8,13,1400
C92,20090722,12.8,12.8,12.8,12.8,100
C92,20090721,12.7,12.7,12.7,12.7,100
C92,20090720,12.6,12.6,12.6,12.6,100
C92,20090717,12.8,12.8,12.4,12.4,2100
C92,20090716,12.8,12.8,12.6,12.8,8800
C92,20090715,12.6,12.6,12.6,12.6,100
C92,20090714,12.1,12.1,12,12.1,2200
C92,20090713,12.2,12.2,12,12.1,4100
C92,20090710,12.3,12.8,12.3,12.5,1600
C92,20090709,13,13,12.4,12.8,1200
C92,20090708,12.9,12.9,12.9,12.9,1300
C92,20090707,12.8,12.8,12.8,12.8,14200
C92,20090706,12.5,12.9,12.2,12.6,8000
C92,20090703,12.4,12.6,12.4,12.4,1600
C92,20090702,12.2,12.4,12.2,12.3,3300
C92,20090701,12.5,12.6,12.5,12.5,2400
C92,20090630,14.1,14.1,13,13,3600
C92,20090629,13.6,13.6,13.5,13.6,1400
C92,20090626,14.1,14.1,14.1,14.1,1200
C92,20090625,14.8,15.4,14.8,14.8,3600
C92,20090624,16.6,16.6,15.1,15.5,42700
C92,20090623,15.8,15.8,15.8,15.8,58400
C92,20090622,15.3,15.3,14.6,15.1,23100
C92,20090619,14.7,14.7,14.3,14.7,50200
C92,20090618,14,14.1,14,14.1,15700
C92,20090617,13.2,13.8,12.7,13.5,34900
C92,20090616,12.8,13.7,12.8,13.3,27600
C92,20090615,12.7,13.5,12.4,13.3,29200
C92,20090612,13.3,13.3,12.8,12.9,10100
C92,20090611,12.4,13,12.4,12.8,32100
C92,20090610,13,13.4,12.6,12.8,18500
C92,20090609,13.5,13.6,13,13.2,28900
C92,20090608,13,13,13,13,25500
C92,20090605,12.4,12.6,12.2,12.6,45300
C92,20090604,12,12.2,11.8,12.1,23800
C92,20090603,12.1,12.1,11.6,11.8,16600
C92,20090602,11.8,11.8,11.6,11.8,17900
C92,20090601,11.2,11.6,11.1,11.4,25400
C92,20090529,11.3,11.4,11,11.1,9600
C92,20090528,11.5,11.5,11.2,11.3,17100
C92,20090527,12.1,12.1,11.5,11.6,17600
C92,20090526,12,12.2,11.5,11.8,20600
C92,20090525,11.7,11.9,11.7,11.8,29600
C92,20090522,11.6,11.8,11.1,11.5,23200
C92,20090521,11.5,11.9,11,11.4,68900
C92,20090520,11.8,11.8,11.2,11.5,19100
C92,20090519,11.5,11.6,11.1,11.5,7200
C92,20090518,11.4,11.4,10.9,11.2,5100
C92,20090515,11.2,11.2,11,11.1,12000
C92,20090514,11.1,11.1,10.7,11,6500
C92,20090513,10.8,11.1,10.8,10.9,7300
C92,20090512,10.9,10.9,10.7,10.7,1900
C92,20090511,11.1,11.1,10.7,10.8,10400
C92,20090508,11.3,11.3,10.9,11,4700
C92,20090507,11.1,11.1,10.9,11,6300
C92,20090506,10.3,10.9,10.3,10.9,2100
C92,20090505,10.7,10.7,10.3,10.7,5100
C92,20090504,10.3,10.3,10.3,10.3,5100
C92,20090429,9.7,10.3,9.7,9.9,2200
C92,20090428,9.9,10,9.9,10,1000
C92,20090427,9.8,10.1,9.8,10,3100
C92,20090424,10.1,10.1,10.1,10.1,5500
C92,20090423,10.1,10.2,10.1,10.2,1500
C92,20090422,10.5,10.7,10.5,10.5,2700
C92,20090421,10.3,10.7,10.3,10.5,800
C92,20090420,10.3,10.3,10.3,10.3,100
C92,20090417,10.7,10.7,10.7,10.7,200
C92,20090416,10.9,11,10.9,10.9,3700
C92,20090415,10.8,11.4,10.8,11.1,1300
C92,20090414,11.2,11.2,11,11.1,13800
C92,20090413,10.8,10.9,10.8,10.9,17000
C92,20090410,10.4,10.6,10.4,10.5,8500
C92,20090409,10.8,10.8,10.4,10.5,4500
C92,20090408,10.8,10.8,10.8,10.8,2000
C92,20090407,10.4,10.4,10.4,10.4,5400
C92,20090403,10.3,10.3,9.9,10.1,8500
C92,20090402,10.2,10.2,9.8,9.9,7600
C92,20090401,10.2,10.2,9.9,10,10700
C92,20090331,10.1,10.1,10.1,10.1,500
C92,20090330,9.9,10,9.8,9.9,5300
C92,20090327,10,10.2,9.9,10,2800
C92,20090326,10.1,10.2,10,10.1,900
C92,20090325,9.8,9.9,9.8,9.9,4200
C92,20090324,9.9,9.9,9.7,9.9,2800
C92,20090323,9.7,9.8,9.3,9.6,7200
C92,20090320,9.5,9.8,9.5,9.6,700
C92,20090319,9.9,10.1,9.6,9.8,4100
C92,20090318,9.6,10.2,9.6,9.9,7500
C92,20090317,9.9,9.9,9.9,9.9,100
C92,20090316,9.6,9.6,9.6,9.6,100
C92,20090313,9.3,9.4,9.3,9.4,1000
C92,20090312,10.1,10.1,9.5,9.5,2600
C92,20090311,9.7,9.7,9.7,9.7,500
C92,20090309,9.5,9.9,9.5,9.7,200
C92,20090306,9.4,9.6,9.4,9.6,2100
C92,20090305,9.6,9.7,9.6,9.7,1400
C92,20090304,9.9,10,9.9,9.9,5300
C92,20090303,10.3,10.3,10.3,10.3,200
C92,20090302,10.7,10.7,10.7,10.7,100
C92,20090227,9.5,9.5,9.5,9.5,4100
C92,20090226,9.5,9.6,9,9.2,2500
C92,20090225,9.2,9.2,9.2,9.2,100
C92,20090224,9.3,9.3,8.9,9,500
C92,20090223,9.1,9.4,9.1,9.1,5400
C92,20090217,9.5,9.5,9.5,9.5,100
C92,20090216,9.6,9.6,9.3,9.5,200
C92,20090213,9.4,9.4,9.4,9.4,500
C92,20090211,9.7,9.7,9.7,9.7,200
C92,20090204,10.1,10.1,10.1,10.1,1600
C92,20090202,10.1,10.1,10.1,10.1,100
C92,20090122,9.8,9.8,9.8,9.8,100
C92,20090121,10.2,10.2,9.5,9.7,400
C92,20090120,9.8,9.8,9.8,9.8,100
C92,20090119,10.2,10.2,9.5,9.6,600
C92,20090116,10.1,10.1,9.8,9.8,3400
C92,20090115,9.9,9.9,9.9,9.9,5100
C92,20090114,10.3,10.3,10.3,10.3,100
C92,20090113,10,10,9.8,10,2300
C92,20090112,9.6,9.8,9.6,9.7,800
C92,20090109,9.5,9.5,9.5,9.5,500
C92,20090108,9.9,9.9,9.9,9.9,1900
C92,20090107,10.3,10.3,10.3,10.3,100
C92,20090106,10.3,10.3,10.3,10.3,100
C92,20090105,10,10,10,10,300
C92,20090102,10.4,10.4,10.4,10.4,200
C92,20081231,9.6,10.3,9.6,10.1,1000
C92,20081230,9.9,10.2,9.9,10,1200
C92,20081229,9.8,9.8,9.8,9.8,300
C92,20081226,10.1,10.1,9.5,9.6,2700
C92,20081225,9.8,9.8,9.8,9.8,1100
C92,20081224,10.2,10.2,9.8,9.9,600
C92,20081223,10.7,10.7,10.1,10.2,600
C92,20081222,10.5,10.5,10.4,10.4,400
C92,20081219,10.4,10.4,10.2,10.2,1300
C92,20081218,9.8,10.5,9.8,10,1200
C92,20081217,10.6,10.6,10.1,10.2,1200
C92,20081215,10.4,10.4,10.4,10.4,200
C92,20081212,10.2,10.2,10.2,10.2,100
C92,20081211,10.2,10.2,10.2,10.2,200
C92,20081210,10.3,10.3,9.8,9.9,400
C92,20081209,10.3,10.3,9.8,10,1900
C92,20081208,10.1,10.1,9.8,10,200
C92,20081205,10.1,10.1,9.6,9.8,600
C92,20081204,9.8,10.1,9.8,10,2500
C92,20081203,10.1,10.1,9.9,9.9,300
C92,20081202,10.4,10.4,10.1,10.2,2400
C92,20081201,10.4,10.4,10.4,10.4,100
C92,20081128,10.3,10.3,10.3,10.3,100
C92,20081125,10.1,10.5,10.1,10.1,2000
