<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CII,20100729,38.1,38.4,37.9,38.1,355360
CII,20100728,38.5,38.5,38,38,1252650
CII,20100727,38.5,38.9,38.3,38.3,355830
CII,20100726,38.2,38.6,38.2,38.4,393230
CII,20100723,38.5,38.5,38.2,38.2,355040
CII,20100722,38.4,38.7,38.1,38.1,661410
CII,20100721,39.1,39.1,38.8,39,285330
CII,20100720,39.1,39.5,39,39,402470
CII,20100719,39.4,39.5,39.1,39.1,291000
CII,20100716,39.5,39.9,39.3,39.4,329890
CII,20100715,40,40,39.5,39.5,388500
CII,20100714,41.3,41.3,40,40,1285010
CII,20100713,39,39.8,38.8,39.5,623130
CII,20100712,38.5,38.7,38.3,38.7,309160
CII,20100709,38.9,39,38.7,38.7,429080
CII,20100708,39,39.1,38.8,38.8,370680
CII,20100707,38.9,39.1,38.6,38.8,610230
CII,20100706,39,39,38.7,38.7,186540
CII,20100705,39,39.2,39,39,208100
CII,20100702,39.5,39.5,38.8,39,319450
CII,20100701,39.4,39.4,38.9,38.9,795260
CII,20100630,38.4,39,38.2,39,852890
CII,20100629,39,39.4,39,39,618830
CII,20100628,39.1,39.2,38.9,39,375540
CII,20100625,39,39.5,39,39.2,668360
CII,20100624,39.2,40,39.2,39.7,681570
CII,20100623,39,39.2,38.9,39.2,487390
CII,20100622,39.5,39.5,39.1,39.1,426710
CII,20100621,39.5,39.6,39.4,39.4,347860
CII,20100618,39.6,39.8,39.4,39.4,406440
CII,20100617,40.3,40.3,39.6,39.6,611350
CII,20100616,39.8,40.4,39.6,40.3,857600
CII,20100615,38.9,39,38.8,39,637800
CII,20100614,38.7,38.9,38.7,38.9,543170
CII,20100611,38.4,39.1,38.4,38.6,793600
CII,20100610,38.2,39,38.2,38.4,219710
CII,20100609,38,38.5,38,38.2,813540
CII,20100608,37.6,38.1,37.6,37.9,578180
CII,20100607,38,38.5,37.8,37.9,927520
CII,20100604,39.4,39.5,38.9,39,472460
CII,20100603,39.9,39.9,39.4,39.4,482140
CII,20100602,38.9,39.6,38.9,39.5,673940
CII,20100601,38.9,39.2,38.8,39.1,547860
CII,20100531,38.9,39.6,38.9,39.1,401530
CII,20100528,39.8,39.9,39.3,39.8,1239510
CII,20100527,38.7,39,38.6,39,682460
CII,20100526,39,39.1,38.8,39,862310
CII,20100525,38.9,39.1,38.6,38.8,520470
CII,20100524,38.6,39.2,38.2,38.9,893860
CII,20100521,38.5,39.4,38.5,38.5,1863410
CII,20100520,38,40.5,37.9,40.5,1024460
CII,20100519,39,39,38.2,38.6,789870
CII,20100518,38.6,39.4,38.5,39.4,1111680
CII,20100517,40,40,38.7,38.7,1331260
CII,20100514,40.1,40.6,40,40,623530
CII,20100513,40.7,40.8,39.6,40,567840
CII,20100512,40.7,40.9,39.7,39.8,1586350
CII,20100511,41,41.9,40.9,41.1,844880
CII,20100510,41.5,41.7,40.7,41,1466120
CII,20100507,42.6,42.8,41.4,42,1747480
CII,20100506,43.5,43.7,42.7,43,1002900
CII,20100505,43,44.1,42.6,43,1265170
CII,20100504,43.4,44.4,43,43.5,3922200
CII,20100429,42,42.6,42,42.4,2252190
CII,20100428,41,41.7,41,41.4,812550
CII,20100427,41.2,41.2,40.8,41.2,656210
CII,20100426,41.6,42.2,41.2,41.2,679470
CII,20100422,41,42.7,40.9,41.5,1649280
CII,20100421,40.7,41,40.6,40.7,1280910
CII,20100420,41,41,40.5,40.7,757450
CII,20100419,40.8,41.2,40.4,40.7,1073640
CII,20100416,41.1,41.2,40.7,40.7,1301980
CII,20100415,41,41,40.6,41,1022060
CII,20100414,41,41.2,40.4,40.6,725630
CII,20100413,42,42,41.2,41.2,1127170
CII,20100412,41,42.4,40.8,42.2,3213370
CII,20100409,39.9,40.5,39.6,40.4,1304150
CII,20100408,39.6,40.2,39.5,39.5,1020470
CII,20100407,39.8,40,39.5,39.5,442200
CII,20100406,40.1,40.5,39.8,39.8,1069370
CII,20100405,40,40.2,39.7,40,717170
CII,20100402,39.7,40,39.3,39.5,576150
CII,20100401,38.9,40,38.5,40,1101710
CII,20100331,38.9,39.5,38.6,38.6,630350
CII,20100330,39.1,39.3,38.8,38.9,622490
CII,20100329,38.9,39.5,38.8,39.4,667780
CII,20100326,39.4,39.4,38.7,38.9,575780
CII,20100325,40.2,40.4,39.2,39.2,1355260
CII,20100324,41,41,40.1,40.6,675800
CII,20100323,40.5,41,40.1,40.2,723900
CII,20100322,40.9,42,40.8,41,1251700
CII,20100319,41.4,41.5,40.8,40.8,825310
CII,20100318,41,41.5,40.1,41.1,981490
CII,20100317,41.5,42,40.8,40.8,962640
CII,20100316,42.5,43,41,41,1125940
CII,20100315,44.9,44.9,43,43,1261720
CII,20100312,42.1,43.9,42.1,43.9,2285010
CII,20100311,41.9,42.4,41.6,41.9,1076210
CII,20100310,42.5,43,41.7,42.1,1069250
CII,20100309,41.3,43.1,41.1,42.8,1757190
CII,20100308,40.9,41.6,40.3,41.3,1237840
CII,20100305,39.5,40,39.4,39.7,610470
CII,20100304,39.7,40.9,39.6,39.6,905760
CII,20100303,38.2,39,38,39,703610
CII,20100302,38.1,38.2,37.9,37.9,525940
CII,20100301,38.1,38.4,38,38.1,772380
CII,20100226,38,38.3,37.6,38,387300
CII,20100225,38.2,38.3,37.8,38,607670
CII,20100224,37.5,38,37.4,38,652060
CII,20100223,39,39,37.5,38,596690
CII,20100222,39.7,39.7,39.2,39.2,385840
CII,20100212,39,39.7,39,39.2,685950
CII,20100211,38.3,39,38,39,325610
CII,20100210,39,39,37.8,38.3,605990
CII,20100209,38.7,38.8,37.8,37.8,535130
CII,20100208,39.5,39.5,39.1,39.1,517150
CII,20100205,39.5,40.4,39.5,39.5,704050
CII,20100204,39.8,40.5,39,40.3,727840
CII,20100203,39.6,41,39.5,40.3,664140
CII,20100202,39.9,39.9,39,39.6,796580
CII,20100201,38.7,39.5,38,39.5,779050
CII,20100129,39,39.8,38.2,39,361990
CII,20100128,39.5,39.7,38.8,39,285240
CII,20100127,41,41.5,39,39.5,699510
CII,20100126,39.8,40.7,39.8,40.7,886390
CII,20100125,39,39.4,38,38.8,335720
CII,20100122,38.1,39.9,37.9,38.5,1003320
CII,20100121,40.5,41.7,39.8,39.8,794460
CII,20100120,42.8,42.8,41.7,41.8,433860
CII,20100119,42.6,43.3,42,42,750030
CII,20100118,44,44,42.6,42.6,1007220
CII,20100115,44.8,44.8,44.5,44.8,2415920
CII,20100114,42.7,42.7,42.7,42.7,191960
CII,20100113,40.3,41,38.7,40.7,1180890
CII,20100112,42.3,42.7,40.3,40.3,762290
CII,20100111,44.3,44.3,42.3,42.3,649400
CII,20100108,45.3,45.7,43.3,43.3,1504570
CII,20100107,45,46.3,44,45,2854340
CII,20100106,44.3,44.3,43.3,44.3,1306580
CII,20100105,42.3,42.3,42.3,42.3,310720
CII,20100104,40.3,40.3,40.3,40.3,285810
