<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CJC,20100729,27.1,27.9,27.1,27.9,8400
CJC,20100728,28,28,27.5,27.6,3000
CJC,20100727,29.3,29.3,27.6,28,2200
CJC,20100726,26.7,28.4,26.7,28,1900
CJC,20100723,26.8,28.8,26.8,28.6,15500
CJC,20100722,29,29,28.6,28.8,3300
CJC,20100721,30.1,30.1,28.4,28.8,7600
CJC,20100720,28.1,29,28.1,28.4,7700
CJC,20100719,29,29,28.8,28.9,5200
CJC,20100716,28.1,29,28.1,28.9,1900
CJC,20100715,28.8,30.1,28.8,29.8,4300
CJC,20100714,29.6,31,29.6,30.1,6400
CJC,20100713,31.8,31.9,31.5,31.8,11100
CJC,20100712,30.3,31.4,30.3,31,7500
CJC,20100709,31.8,31.8,30.3,30.7,17500
CJC,20100708,31,31,30.1,30.8,40600
CJC,20100707,28.8,28.8,28.8,28.8,1600
CJC,20100706,26.8,26.8,26,26.8,1600
CJC,20100702,28.8,28.8,26.3,27.8,1300
CJC,20100701,28.3,28.3,28.3,28.3,200
CJC,20100630,26.5,26.5,26.5,26.5,500
CJC,20100628,28.4,28.4,28.4,28.4,500
CJC,20100625,27.2,27.2,26.8,27.1,4200
CJC,20100624,28.2,28.2,27.2,27.3,3600
CJC,20100623,27.2,27.7,27.2,27.3,3200
CJC,20100622,27.2,28.7,27.2,28,2700
CJC,20100618,28.3,28.3,26.4,27.2,5400
CJC,20100616,28.2,28.3,28.2,28.3,29500
CJC,20100615,27.3,28.3,27.3,27.8,4100
CJC,20100614,25.4,27.6,25.4,26.5,400
CJC,20100611,26.3,26.3,25.3,25.8,2700
CJC,20100610,26.8,27.1,25.3,26,1900
CJC,20100609,27.3,27.3,27.2,27.3,2000
CJC,20100608,27.5,27.7,27.5,27.6,200
CJC,20100607,28.8,28.8,27,27.5,4000
CJC,20100604,29.1,29.1,28.8,29,1000
CJC,20100603,28.3,28.3,26.9,27.4,2900
CJC,20100602,26.9,27,26.5,26.6,3800
CJC,20100601,27.7,28.7,27.7,28.6,2700
CJC,20100531,29.9,29.9,29.9,29.9,2500
CJC,20100528,29.7,29.7,26.3,28.6,4000
CJC,20100527,28.9,28.9,27.9,28.3,2800
CJC,20100526,27.9,27.9,27.8,27.9,2100
CJC,20100525,28.8,28.9,28.2,28.8,3200
CJC,20100524,28.2,28.3,26.7,28.2,2600
CJC,20100521,29.3,29.3,26.3,28.2,3500
CJC,20100520,25.7,27.8,25.7,27.5,1200
CJC,20100519,29.4,29.4,27.2,27.3,8900
CJC,20100518,29.8,29.8,29.3,29.4,1400
CJC,20100517,33,33,30.3,31.7,200
CJC,20100514,27.9,31.1,27.9,30.8,8900
CJC,20100513,28.8,29.3,28.8,29,8400
CJC,20100512,31.3,31.3,30.6,30.8,7500
CJC,20100511,34.1,34.2,31.8,33,6800
CJC,20100510,34.8,35.1,32.5,32.7,22500
CJC,20100507,38.6,38.6,33.8,35.1,21600
CJC,20100506,35.9,35.9,35.9,35.9,24100
CJC,20100505,33.3,33.4,33,33.4,34400
