<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CMT,20100729,40,40,38,38,85030
CMT,20100728,41,41,39.8,40,11200
CMT,20100727,41,42,41,41,1030
CMT,20100726,42.7,42.7,41,41,5920
CMT,20100723,41,41.1,40.7,40.7,7180
CMT,20100722,42,42,41,41.1,14480
CMT,20100721,42,42.5,41.2,41.2,7460
CMT,20100720,41.8,42.1,41.8,42,13500
CMT,20100719,41.6,42.4,41.6,42,7230
CMT,20100716,42.2,42.5,42.1,42.2,17500
CMT,20100715,42.5,42.6,42,42,7860
CMT,20100714,43.9,43.9,42.5,42.5,7900
CMT,20100713,43,44,43,43.1,14800
CMT,20100712,42.5,43,42.5,43,10200
CMT,20100709,40.5,42.5,40.5,42.5,29470
CMT,20100708,43.4,43.4,41.5,41.5,43730
CMT,20100707,43.3,43.3,43.2,43.2,18310
CMT,20100706,45,45,43.3,43.3,5400
CMT,20100705,44.8,46,44.8,45,8110
CMT,20100702,43.7,45,43.5,44.8,4140
CMT,20100701,43.8,43.9,43.6,43.6,12840
CMT,20100630,43.5,44.6,43.5,44.6,23300
CMT,20100629,45.8,45.8,44.5,44.8,7200
CMT,20100628,45.4,45.4,44,44.6,13530
CMT,20100625,46.5,46.5,44,44,35180
CMT,20100624,46,46,45,45,21190
CMT,20100623,46.5,47,45.6,45.6,34850
CMT,20100622,46.5,48,46.5,46.5,31700
CMT,20100621,46.4,49,46.4,47.6,62350
CMT,20100618,48,48,46,47,53370
CMT,20100617,48.5,48.5,46.8,47,113730
CMT,20100616,49,49.7,48.5,48.5,66160
CMT,20100615,48,49.7,48,48.5,121120
CMT,20100614,45.5,47.7,45.5,47.7,180860
CMT,20100611,45.2,46.1,44.8,45.5,93740
CMT,20100610,44.8,45,43,44.8,37900
CMT,20100609,45,45.4,43.9,44.8,46340
CMT,20100608,40.5,43.9,40.5,43.9,84900
CMT,20100607,42,43,41.9,41.9,51080
CMT,20100604,44.6,45,44.1,44.1,12130
CMT,20100603,45,46,44.6,44.6,66340
CMT,20100602,45,45.5,44,45,50560
CMT,20100601,47.4,47.4,45,45,35260
CMT,20100531,45,47,45,46.5,21610
CMT,20100528,44.5,46.7,44.5,46.7,132360
CMT,20100527,44.1,45.1,44.1,44.5,33080
CMT,20100526,44.1,44.1,43.8,44.1,55590
CMT,20100525,39,42,39,42,102970
CMT,20100524,41,41.8,39.5,40,21760
CMT,20100521,41,41.1,41,41,28820
CMT,20100520,39.1,43.1,39.1,43.1,68960
CMT,20100519,43.9,43.9,40.7,41.1,69520
CMT,20100518,41.7,42,41.4,42,80000
CMT,20100517,46,46,43.5,43.5,116780
CMT,20100514,48,48,45.7,45.7,71830
CMT,20100513,48,49.8,46,48,30070
CMT,20100512,48.8,50,48,48,89900
CMT,20100511,52,52,50,50.5,164790
CMT,20100510,54,54.5,51.5,51.5,906920
CMT,20100507,54,54.5,53,54,114350
CMT,20100506,54,56.5,54,55,256810
CMT,20100505,54,56,54,54,35650
CMT,20100504,57,57.5,55,56,81190
CMT,20100429,53,56,53,56,285100
CMT,20100428,56.5,56.5,53,53.5,96390
CMT,20100427,55.5,56,55.5,55.5,32550
CMT,20100426,58,58,55.5,55.5,30780
CMT,20100422,59,59.5,58,58,39100
CMT,20100421,56.5,58,55.5,58,115820
CMT,20100420,58,58,55.5,55.5,59310
CMT,20100419,56,56.5,55,56,57950
CMT,20100416,59,59,56.5,57,81170
CMT,20100415,59,59.5,58,59,50600
CMT,20100414,58.5,60.5,58.5,59,129620
CMT,20100413,61,61,58.5,58.5,66160
CMT,20100412,64,64,61,61,84330
CMT,20100409,64.5,64.5,62.5,64,104130
CMT,20100408,65.5,66.5,64,65.5,167670
CMT,20100407,62,64.5,61,64.5,143710
CMT,20100406,62.5,65,61.5,61.5,87050
CMT,20100405,63.5,64.5,62.5,64.5,89960
CMT,20100402,59,61.5,59,61.5,98990
CMT,20100401,58,59,57,59,182500
CMT,20100331,55.5,56.5,55,56.5,83600
CMT,20100330,56,56,54.5,55.5,45040
CMT,20100329,57.5,57.5,55,55,35400
CMT,20100326,55,57.5,54.5,57.5,51810
CMT,20100325,60,60,57,57,55270
CMT,20100324,59.5,60,58,60,52390
CMT,20100323,58,59.5,55.5,59.5,86590
CMT,20100322,60,60,57,57,179140
CMT,20100319,59.5,59.5,59.5,59.5,86310
CMT,20100318,57,57,57,57,497180
CMT,20100317,54.5,54.5,52,54.5,260940
CMT,20100316,52,52,52,52,185000
CMT,20100315,47.5,49.8,47.5,49.8,235570
CMT,20100312,48.5,48.5,47.5,47.5,354030
CMT,20100311,60,60,46,50,82450
