<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTD,20100729,73,75,73,75,10100
CTD,20100728,73,75,73,75,15160
CTD,20100727,72.5,76,72.5,75.5,22790
CTD,20100726,75,75,75,75,6830
CTD,20100723,73,77,73,75,9830
CTD,20100722,75,75,74,74,11380
CTD,20100721,78,78,75.5,75.5,1300
CTD,20100720,74.5,78,74.5,78,6260
CTD,20100719,75,75.5,75,75.5,10840
CTD,20100716,78,78,75.5,75.5,3210
CTD,20100715,77,77,77,77,600
CTD,20100714,78,78,77,78,26370
CTD,20100713,78,78,76.5,78,11710
CTD,20100712,78,78,78,78,250
CTD,20100709,78,78,75,75,1680
CTD,20100708,78,78,78,78,100
CTD,20100707,75.5,76.5,75,75,26850
CTD,20100706,78,79,78,78,10670
CTD,20100705,78,79.5,76,78.5,9560
CTD,20100702,79,80,79,80,4020
CTD,20100701,81.5,81.5,80,81,2500
CTD,20100630,80,82.5,79.5,81.5,52080
CTD,20100629,82,83.5,80,83.5,36440
CTD,20100628,76.5,82,76.5,82,30840
CTD,20100625,78.5,78.5,78.5,78.5,2100
CTD,20100624,78,78.5,77,78.5,26460
CTD,20100623,77,77.5,77,77,101580
CTD,20100622,76,78,76,78,26120
CTD,20100621,79,79,78,78,23520
CTD,20100618,78.5,78.5,78,78,19950
CTD,20100617,78.5,78.5,78.5,78.5,134730
CTD,20100616,79,79,78.5,78.5,3760
CTD,20100615,78.5,78.5,78,78,24640
CTD,20100614,78,78,77.5,78,8310
CTD,20100611,80,80,77.5,77.5,6390
CTD,20100610,77,78,77,77,5250
CTD,20100609,77.5,77.5,76.5,76.5,43100
CTD,20100608,78,78,77.5,77.5,18300
CTD,20100607,77,78.5,77,78.5,11510
CTD,20100604,79,79,78.5,79,1840
CTD,20100603,80,80,79,79,10770
CTD,20100602,78.5,79,78,79,9340
CTD,20100601,79,79,79,79,48670
CTD,20100531,80,80,78,79,6220
CTD,20100528,79.5,79.5,78,79,26340
CTD,20100527,78,78,78,78,4220
CTD,20100526,78.5,78.5,77,78.5,7510
CTD,20100525,81,81,78.5,78.5,11500
CTD,20100524,75.5,79,75,79,55410
CTD,20100521,79,79,75.5,75.5,91940
CTD,20100520,78.5,79,75.5,79,90160
CTD,20100519,81.5,81.5,79,79,32160
CTD,20100518,83,83,81,81.5,29180
CTD,20100517,83.5,83.5,81.5,81.5,58570
CTD,20100514,82,83.5,82,83.5,94010
CTD,20100513,82,83.5,82,83,1303590
CTD,20100512,83,83,82,82,83580
CTD,20100511,84,84,83,83.5,56300
CTD,20100510,82,83.5,82,83,104070
CTD,20100507,82,83.5,82,83,87700
CTD,20100506,83.5,84.5,83.5,83.5,146390
CTD,20100505,83,84,83,83.5,70660
CTD,20100504,84.5,84.5,83,83,83730
CTD,20100429,83,84.5,83,83.5,8390
CTD,20100428,84,85,83,83,183300
CTD,20100427,83.5,85,83.5,84.5,38500
CTD,20100426,85,85,83.5,83.5,87890
CTD,20100422,83.5,85,83.5,83.5,56550
CTD,20100421,81.5,85,81.5,82,33710
CTD,20100420,83,83.5,83,83,166010
CTD,20100419,86,86,83,83,186420
CTD,20100416,89,89,86,87,78140
CTD,20100415,87.5,89.5,87.5,89.5,122960
CTD,20100414,86.5,89,85,87.5,122700
CTD,20100413,86,87,84.5,85,84300
CTD,20100412,87.5,87.5,85,86,95000
CTD,20100409,80.5,83.5,80.5,83.5,154550
CTD,20100408,78.5,81,78.5,80,74500
CTD,20100407,78,78.5,78,78,30820
CTD,20100406,78,78.5,78,78,40360
CTD,20100405,78.5,78.5,78,78,43160
CTD,20100402,79,79,78.5,78.5,13970
CTD,20100401,78,78.5,77.5,78.5,36590
CTD,20100331,77,80,77,78,64210
CTD,20100330,76,77,76,77,17990
CTD,20100329,77.5,77.5,77.5,77.5,57010
CTD,20100326,77.5,78,77.5,78,56070
CTD,20100325,77,77.5,76,77,88700
CTD,20100324,77.5,78,77,78,33630
CTD,20100323,77.5,77.5,77,77,62820
CTD,20100322,77,78,77,77.5,40470
CTD,20100319,78,78,77,77,24750
CTD,20100318,75,78,75,78,23950
CTD,20100317,78.5,78.5,77,77,49390
CTD,20100316,78.5,78.5,77,78,27360
CTD,20100315,80,80.5,79,79,73330
CTD,20100312,77.5,80,77.5,79,98600
CTD,20100311,77.5,78,77.5,77.5,32350
CTD,20100310,78,78,77.5,77.5,36990
CTD,20100309,78,78,77.5,77.5,25410
CTD,20100308,78,78.5,77,77,91250
CTD,20100305,77.5,78.5,77.5,78.5,109850
CTD,20100304,78,78,76,77.5,116590
CTD,20100303,77,78,76,77.5,141170
CTD,20100302,77,77.5,76,76,88550
CTD,20100301,78,78.5,77,77,112400
CTD,20100226,74.5,77,74.5,77,308040
CTD,20100225,72,73,71,73,307780
CTD,20100224,68,71,68,70,206860
CTD,20100223,68.5,68.5,68,68,52960
CTD,20100222,71,71,69,69.5,92840
CTD,20100212,68.5,69.5,68.5,69.5,22770
CTD,20100211,68.5,69,68.5,69,27900
CTD,20100210,68,69,64,69,69350
CTD,20100209,67,68,66,67,51680
CTD,20100208,67,68.5,67,67,39450
CTD,20100205,69,69.5,68,68,82160
CTD,20100204,69.5,69.5,69,69.5,58630
CTD,20100203,69.5,69.5,68.5,69.5,26300
CTD,20100202,68,69.5,68,69.5,77170
CTD,20100201,67,68,66.5,68,110270
CTD,20100129,61,65,61,65,105920
CTD,20100128,65,65,62,62,30680
CTD,20100127,68,68,65,65,28850
CTD,20100126,66.5,68,66.5,68,87000
CTD,20100125,65.5,67,65,65,33450
CTD,20100122,66.5,68,66.5,68,19190
CTD,20100121,69,69,67,68,924676
CTD,20100120,68,68,68,68,849176
