<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DAE,20100729,14.9,15.5,14.9,15.1,55100
DAE,20100728,15.4,15.4,14.9,15,76000
DAE,20100727,15.5,15.7,14.9,15.2,13700
DAE,20100726,15.5,15.5,14.9,15.2,22800
DAE,20100723,15.8,15.8,15,15.2,32800
DAE,20100722,15.8,15.8,15.1,15.3,61500
DAE,20100721,16.8,16.8,16.1,16.2,14500
DAE,20100720,17.4,17.4,17,17.3,105600
DAE,20100719,16.3,16.3,15.9,16.3,138500
DAE,20100716,14.5,15.4,14.5,15.3,204900
DAE,20100715,14.4,14.5,14.3,14.4,13100
DAE,20100714,14.5,14.5,14.3,14.4,23900
DAE,20100713,14.6,14.6,14.2,14.5,25700
DAE,20100712,14.2,14.2,13.9,14.1,2000
DAE,20100709,13.9,14.2,13.9,13.9,7100
DAE,20100708,13.9,14.2,13.8,13.9,14700
DAE,20100707,14,14,13.8,13.9,2000
DAE,20100706,14,14,13.9,13.9,4000
DAE,20100705,14.2,14.2,14.2,14.2,2400
DAE,20100702,13.9,14.6,13.9,14.2,15600
DAE,20100701,14,14,13.8,13.9,3800
DAE,20100630,14,14.1,14,14.1,3500
DAE,20100629,14.1,14.1,13.9,14,5700
DAE,20100628,13.8,14,13.8,13.9,5600
DAE,20100625,13.8,14,13.8,13.8,8400
DAE,20100624,14,14,14,14,100
DAE,20100623,14.5,14.5,14.5,14.5,6500
DAE,20100622,14.5,14.8,14.4,14.5,33000
DAE,20100621,14.1,14.8,14.1,14.5,32400
DAE,20100618,14.7,14.7,13.9,14,8000
DAE,20100617,13.8,13.8,13.8,13.8,800
DAE,20100616,13.7,13.8,13.7,13.8,5200
DAE,20100615,13.5,13.5,13.5,13.5,300
DAE,20100614,13.5,13.5,13.4,13.4,1800
DAE,20100611,13.8,13.8,13.7,13.8,2600
DAE,20100610,13.6,13.8,13.6,13.7,5800
DAE,20100609,13.6,13.6,13.3,13.4,5200
DAE,20100608,13.3,13.5,13.3,13.5,4200
DAE,20100607,13.3,13.6,13.2,13.3,10000
DAE,20100603,13.6,13.7,13.4,13.6,16600
DAE,20100602,13.5,13.5,13.4,13.4,900
DAE,20100601,13.7,13.7,13.7,13.7,1900
DAE,20100531,13.5,13.9,13.5,13.7,2600
DAE,20100528,14,14.1,13.6,13.9,20100
DAE,20100527,13.2,13.2,13.1,13.2,6000
DAE,20100526,13.8,13.8,13.2,13.2,2100
DAE,20100525,13.4,13.6,13.2,13.4,6500
DAE,20100524,13.9,13.9,13.9,13.9,300
DAE,20100521,13.3,13.3,13,13.2,38600
DAE,20100520,13.4,14,13.1,13.4,23600
DAE,20100519,13.5,13.9,13.4,13.5,40400
DAE,20100518,13.7,13.8,13.6,13.6,11900
DAE,20100517,14,14.1,13.8,14,12900
DAE,20100514,14,14.1,13.9,14,8700
DAE,20100513,14.9,14.9,13.7,13.9,14700
DAE,20100512,14.3,14.4,14.3,14.3,37700
DAE,20100511,15.2,15.5,15.1,15.3,30200
DAE,20100510,14.6,15.5,14.6,15.2,14000
DAE,20100507,16.5,16.5,14.6,15.5,23200
DAE,20100506,14.8,15.6,14.7,15.5,71800
DAE,20100505,14.6,14.8,14.3,14.6,30500
DAE,20100504,14.5,14.8,14.4,14.6,26000
DAE,20100429,14.8,14.8,14.2,14.4,11600
DAE,20100428,14,14.7,14,14.4,14700
DAE,20100427,14.7,14.7,13.9,14,13400
DAE,20100426,14.2,14.7,13.9,14.1,36300
DAE,20100422,15.2,15.3,14.7,14.9,10200
DAE,20100421,16.9,16.9,14.8,15.7,22100
DAE,20100420,15.2,15.9,15.2,15.8,49600
DAE,20100419,14,15,14,14.9,127800
DAE,20100416,13.5,14.4,13.5,14.1,45300
DAE,20100415,13.4,13.5,13.4,13.5,9300
DAE,20100414,13.2,13.3,13.1,13.2,12300
DAE,20100413,13.2,13.3,13.1,13.2,14800
DAE,20100412,13.1,13.2,13.1,13.1,17600
DAE,20100409,13.1,13.2,13.1,13.1,9300
DAE,20100408,13,13.2,13,13,6300
DAE,20100407,12.8,13.3,12.8,13.3,2700
DAE,20100406,13,13.2,13,13.2,2300
DAE,20100405,12.8,13.5,12.8,13,1800
DAE,20100402,12.6,13.6,12.6,13.6,2100
DAE,20100401,13.5,13.5,13.5,13.5,100
DAE,20100330,13.7,13.7,13.7,13.7,2000
DAE,20100323,14,14,13.9,14,1500
DAE,20100319,13.6,13.6,13.6,13.6,500
DAE,20100318,14.3,14.3,13.6,13.9,6000
DAE,20100316,14.2,14.2,13.5,14.1,6600
DAE,20100312,14.7,14.7,13.7,14.4,5000
DAE,20100311,14.3,14.3,13.6,14.1,4100
