<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DAG,20100729,18.8,18.9,18.4,18.4,20610
DAG,20100728,19.6,19.6,18.4,18.4,31000
DAG,20100727,19.8,19.8,19.3,19.3,31450
DAG,20100726,19.9,19.9,19.4,19.5,26130
DAG,20100723,19.7,20,19.3,19.7,56070
DAG,20100722,20.4,20.4,19.7,19.7,32960
DAG,20100721,20.6,20.6,19.8,19.8,41620
DAG,20100720,20.6,20.6,20,20.1,50800
DAG,20100719,20.7,20.7,19.9,19.9,63670
DAG,20100716,20.9,20.9,20,20.5,62110
DAG,20100715,21.1,21.1,20.6,20.9,63440
DAG,20100714,21.3,21.5,21.1,21.1,59880
DAG,20100713,20.3,21.1,20.2,21,61550
DAG,20100712,20.2,20.2,19.7,20.1,90430
DAG,20100709,19.5,19.6,19.3,19.6,48800
DAG,20100708,19.4,19.4,19,19.3,58030
DAG,20100707,19.6,19.6,18.8,18.8,53000
DAG,20100706,18.7,19.4,18.7,18.8,51500
DAG,20100705,19.2,19.5,19.2,19.4,47580
DAG,20100702,19.1,19.2,18.9,19.1,53500
DAG,20100701,18.7,19.2,18.7,19,52500
DAG,20100630,19,19,18.7,19,37860
DAG,20100629,19.2,19.5,19.1,19.2,68140
DAG,20100628,18.8,19.3,18.8,19.2,62760
DAG,20100625,18.8,19.1,18.8,19.1,47230
DAG,20100624,19.6,19.6,19.1,19.4,91910
DAG,20100623,20,20,19,19.1,48710
DAG,20100622,19.9,19.9,19.2,19.3,72100
DAG,20100621,19.6,19.7,19.3,19.5,61360
DAG,20100618,19.7,19.7,19.3,19.5,42750
DAG,20100617,20,20,19.2,19.3,47720
DAG,20100616,19.3,20,19.3,19.5,61590
DAG,20100615,19.5,19.9,19.3,19.3,36070
DAG,20100614,20.5,20.5,19.3,20.1,59380
DAG,20100611,20.5,20.5,19.6,20.3,57380
DAG,20100610,19.6,19.6,18.8,19.6,63430
DAG,20100609,19.6,19.6,18.8,19.1,43950
DAG,20100608,18.6,19,18.1,18.9,42640
DAG,20100607,18.6,18.6,17.9,18.3,34380
DAG,20100604,19.7,19.7,18.9,18.9,33950
DAG,20100603,18.9,19.7,18.9,19.7,53670
DAG,20100602,18.5,18.9,18.4,18.9,38010
DAG,20100601,18.8,18.8,18.1,18.1,15040
DAG,20100531,19.9,19.9,18.2,18.2,47830
DAG,20100528,19.1,19.1,18.9,19.1,45560
DAG,20100527,18.2,18.2,17.4,18.2,25550
DAG,20100526,18.2,18.2,17.4,18.2,18800
DAG,20100525,17.4,18.6,17.4,18.2,6070
DAG,20100524,18.5,18.5,17.1,18.2,22860
DAG,20100521,17.2,18.1,17.2,17.9,65590
DAG,20100520,18.1,18.1,18.1,18.1,42360
DAG,20100519,19.6,19.7,19.1,19.1,25830
DAG,20100518,19.4,20.5,19.4,20.1,38670
DAG,20100517,22.4,22.4,20.4,20.4,18620
DAG,20100514,21.5,22.9,21.4,21.4,15850
DAG,20100513,22.3,22.3,22.1,22.3,111680
DAG,20100512,20.9,21.2,20.1,21.2,125710
DAG,20100511,21.1,21.1,20.2,20.2,41450
DAG,20100510,21.2,21.2,20,20.1,31750
DAG,20100507,20.9,21.1,20.4,20.9,26920
DAG,20100506,21.3,21.4,21.1,21.3,31810
DAG,20100505,22,22,21.1,21.3,26950
DAG,20100504,21.2,21.2,21.2,21.2,60000
DAG,20100429,21.2,21.2,20.1,20.2,41330
DAG,20100428,20.6,20.8,20.1,20.6,37890
DAG,20100427,21.1,21.1,20.5,20.6,57750
DAG,20100426,23.1,23.1,21.6,21.6,6070
DAG,20100422,23.4,23.4,22.3,22.3,18980
DAG,20100421,21.2,22.3,21.2,22.3,44430
DAG,20100420,21,21.6,21,21.2,85520
DAG,20100419,22.6,22.6,22.1,22.1,17120
DAG,20100416,23.1,23.6,22.9,23.3,66770
DAG,20100415,25.4,25.4,23.3,24.1,26340
DAG,20100414,24.6,24.6,24.2,24.6,92420
DAG,20100413,23.4,23.4,23.4,23.4,115140
DAG,20100412,22.3,22.3,22.3,22.3,97680
DAG,20100409,21.2,21.2,21.2,21.2,10680
DAG,20100408,20.2,20.2,20.2,20.2,28500
