<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DBC,20100729,47.9,48,47.3,47.9,94300
DBC,20100728,48.5,48.9,47.5,47.9,210100
DBC,20100727,48.4,48.5,47.6,48,152900
DBC,20100726,48.5,48.9,47.6,48.2,136900
DBC,20100723,48.9,49,47.8,48.3,294400
DBC,20100722,48.5,48.5,47.5,47.8,379700
DBC,20100721,49.5,49.5,48.2,48.5,250500
DBC,20100720,50.6,50.6,48.5,49,324100
DBC,20100719,51,51,49.1,49.6,197800
DBC,20100716,51,53.1,50.2,51.1,667600
DBC,20100715,50,50.4,49.2,49.7,153900
DBC,20100714,51,51.6,50,50.6,332000
DBC,20100713,50,51,49.4,50,330900
DBC,20100712,49.9,49.9,48.9,49.3,131100
DBC,20100709,48.3,49.6,48.2,48.9,242400
DBC,20100708,49.3,49.5,48,48.4,247100
DBC,20100707,49.9,49.9,47.7,48.3,454400
DBC,20100706,49.7,50.5,48.8,49.3,237600
DBC,20100705,51.8,51.8,50.6,51.1,155800
DBC,20100702,51.5,52.7,50.9,51.3,488000
DBC,20100701,48.2,51.5,48,49.7,575000
DBC,20100630,48.5,50,46.9,48.9,479300
DBC,20100629,51.8,51.8,49.6,50.3,379700
DBC,20100628,51.5,51.6,50,50.8,535400
DBC,20100625,52.5,52.5,49.5,50.7,1062500
DBC,20100624,52.5,54,51.2,52.5,749900
DBC,20100623,48.9,52.9,48,51,666000
DBC,20100622,52.5,52.5,48.5,49.6,509700
DBC,20100621,51.1,51.1,49.5,51,1431100
DBC,20100618,45.9,49.1,45.9,47.8,921500
DBC,20100617,47,48,45,45.9,526700
DBC,20100616,46,47,45.5,46.2,471700
DBC,20100615,43.9,45,43.8,44.3,500400
DBC,20100614,44,44.5,43.2,43.8,298100
DBC,20100611,43.3,44.2,43,43.5,468000
DBC,20100610,41.3,42.4,41.3,42.1,215600
DBC,20100609,42.9,43.4,41.4,42,218300
DBC,20100608,41.4,42.3,40.5,41.4,189000
DBC,20100607,42,42.4,41.2,41.4,451800
DBC,20100604,44.5,45,43.7,44.3,328900
DBC,20100603,46,46.4,43.9,44.6,365600
DBC,20100602,40.1,44.5,40.1,43.9,647300
DBC,20100601,41.5,42.2,41,41.6,199800
DBC,20100531,43.5,43.5,41,41.7,257000
DBC,20100528,43,43.6,42.5,43.4,486000
DBC,20100527,39,41.7,38.5,40.8,267000
DBC,20100526,38.5,40.9,38.5,39.6,290100
DBC,20100525,38,39.6,37.9,38.7,295300
DBC,20100524,40.5,40.5,37,38.7,331200
DBC,20100521,38,40,37.9,38.5,479000
DBC,20100520,39,42.8,38.9,40.7,338000
DBC,20100519,43,43.1,41.4,41.8,280600
DBC,20100518,45.1,45.1,43.2,44.5,1280000
DBC,20100517,42.2,42.2,42.2,42.2,102900
DBC,20100514,38.7,40.5,37.8,39.5,307300
DBC,20100513,36.2,39.2,36.2,37.9,195700
DBC,20100512,39.7,39.7,37.6,38.1,411800
DBC,20100511,41.4,41.5,39.5,40.4,354500
DBC,20100510,41.1,42.1,39.1,40,235800
DBC,20100507,42,42.3,39.4,40.9,532700
DBC,20100506,42.9,43,41.7,42.3,253500
DBC,20100505,42.6,43.3,41,42.4,278000
DBC,20100504,42.1,44.9,42,43.7,474700
DBC,20100429,42.7,42.8,41.6,42.1,269100
DBC,20100428,42.4,43.3,42.1,42.5,302400
DBC,20100427,41.6,43,41.1,42.4,422600
DBC,20100426,43,43,41.1,41.6,202400
DBC,20100422,44,44,41.4,42.6,221000
DBC,20100421,41.8,44.4,41.5,43.3,330900
DBC,20100420,43.3,43.3,41.8,42.2,593300
DBC,20100419,44.3,44.3,42.8,43.4,468300
DBC,20100416,45,45.2,44,44.6,205700
DBC,20100415,44.4,46.5,41.2,45.3,492500
DBC,20100414,44,45,43.7,44.3,451900
DBC,20100413,45.9,45.9,43.5,44.2,243200
DBC,20100412,46,46.5,44.6,45.7,245700
DBC,20100409,46.2,46.6,44.7,45.6,464000
DBC,20100408,47.5,47.9,45.5,46.4,347800
DBC,20100407,47.2,48.3,46.9,47.6,473200
DBC,20100406,45,47.5,45,47.2,945200
DBC,20100405,43.5,45.5,43,44.4,437100
DBC,20100402,43.6,44.2,42.5,43.2,486200
DBC,20100401,43.9,45,42.9,43.8,222000
DBC,20100331,46,46,43.5,44.4,378600
DBC,20100330,48,48,45.1,46.3,317100
DBC,20100329,45.4,47.1,44.5,46.8,929100
DBC,20100326,42,45.5,42,44.1,750200
DBC,20100325,45.8,46,41.8,42.6,627600
DBC,20100324,45.7,46.5,44,44.9,565100
DBC,20100323,44.7,47,44.7,45.7,491300
DBC,20100322,42.5,44.7,42,44.3,897900
DBC,20100319,40.5,43,40.2,41.8,582400
DBC,20100318,39,41.9,39,40.2,591200
DBC,20100317,40.2,41,38.5,39.7,283300
DBC,20100316,40,42.4,39.6,40.7,762400
DBC,20100315,39.9,40,39.7,40,847300
DBC,20100312,35.8,38.3,35.8,37.4,630300
DBC,20100311,36,36.2,35.4,35.8,128000
DBC,20100310,35.4,36,34.9,35.7,118100
DBC,20100309,35,36,34.8,35.4,265500
DBC,20100308,34.7,35.2,34.2,34.8,77600
DBC,20100305,34.8,34.9,34,34.4,36500
DBC,20100304,34,35.5,34,34.8,81300
DBC,20100303,34,34.3,33.1,33.8,48900
DBC,20100302,33,33.3,32.7,33,34300
DBC,20100301,32.9,33.8,32.2,33,59100
DBC,20100226,33.4,33.4,32,32.8,45700
DBC,20100225,33.7,33.7,32.2,32.3,20900
DBC,20100224,32,33,31.7,32.2,20900
DBC,20100223,31.5,32.5,31.5,32.3,31200
DBC,20100222,34,34,33.6,33.8,61200
DBC,20100212,33.9,34,33.1,33.6,6500
DBC,20100211,32.8,34.1,32.7,33.7,32900
DBC,20100210,32.1,33,31.8,32.5,88100
DBC,20100209,32,32.2,31,31.7,75100
DBC,20100208,33.9,33.9,32.6,33,68900
DBC,20100205,34,34.3,33.3,33.9,65800
DBC,20100204,34.3,35,34,34.6,63200
DBC,20100203,36.5,36.5,34.1,34.6,145100
DBC,20100202,32.7,34.2,32.7,34.2,319900
DBC,20100201,32.5,32.5,31.7,32,31400
DBC,20100129,32,32,31.3,31.5,25600
DBC,20100128,32,32,31.2,31.5,72000
DBC,20100127,33.5,33.5,31.5,32,39100
DBC,20100126,32.4,33.5,32.4,33,155600
DBC,20100125,32.1,32.2,32,32.1,6600
DBC,20100122,30.5,32.9,30.5,32.1,78200
DBC,20100121,31.8,32.1,31.3,31.8,124300
DBC,20100120,35.3,35.3,32.7,33.3,101800
DBC,20100119,33.2,34.2,33.2,33.8,116100
DBC,20100118,32,33.7,31.5,32.6,162700
DBC,20100115,33.3,34,33.3,33.7,7700
DBC,20100114,35,35.4,34.4,34.9,122700
DBC,20100113,32.5,35.8,31.9,33.1,91200
DBC,20100112,35.3,35.3,32.8,33.6,116200
DBC,20100111,35.5,37,34.8,35.2,133900
DBC,20100108,37,37.5,35,36.2,212500
DBC,20100107,37,37,35.6,35.9,109200
DBC,20100106,38.9,38.9,36.3,37.2,114300
DBC,20100105,39.2,39.2,37.2,38.8,168000
DBC,20100104,35.4,36.9,35.4,36.7,514200
DBC,20091231,34.9,35.3,34.1,34.5,235800
DBC,20091230,34.7,34.7,33.6,34.1,59200
DBC,20091229,34,34.6,33.4,33.9,86500
DBC,20091228,34.5,35,34,34.8,155900
DBC,20091225,33.8,35.5,33.8,34.9,136200
DBC,20091224,31,34,31,33.6,129200
DBC,20091223,33,33.5,32.5,33.2,63200
DBC,20091222,35,35,32.8,33.4,194000
DBC,20091221,32.5,33.4,32,33.2,149900
DBC,20091218,30.5,31.4,30.5,31.3,157000
DBC,20091217,29,30,28.6,29.4,56100
DBC,20091216,31,31,29.3,29.9,210600
DBC,20091215,31.3,31.6,31.1,31.4,74700
DBC,20091214,30.9,32.5,30.9,31.5,77600
DBC,20091211,31.1,31.5,30.4,30.9,237400
DBC,20091210,31.5,31.8,30.8,31.1,193100
DBC,20091209,32,32,30.6,31.1,135000
DBC,20091208,33.4,33.4,32,32.7,114600
DBC,20091207,33.3,34.3,33.3,33.8,59600
DBC,20091204,33.2,34,33.2,33.6,157900
DBC,20091203,33,34,32.6,33.2,88000
DBC,20091202,35.5,35.5,33,34,273800
DBC,20091201,33.9,35,33.5,34.4,333700
DBC,20091130,33,33.9,32.5,33.1,149100
DBC,20091127,29,33.4,29,32,354800
DBC,20091126,31.2,32,31.1,31.2,414500
DBC,20091125,35,35,33.1,33.4,385100
DBC,20091124,36.3,36.9,34.1,35.6,336500
DBC,20091123,37.6,37.6,35.7,36.7,150200
DBC,20091120,38,38.2,37.3,37.7,77000
DBC,20091119,38.1,38.3,37.6,38,128800
DBC,20091118,37.3,37.9,36.7,37.2,225000
DBC,20091117,38,38.2,37.5,37.8,149400
DBC,20091116,37.7,39,37.6,38.1,168900
DBC,20091113,37.5,38.9,37.5,38.5,86100
DBC,20091112,39,39.5,38,38.9,266300
DBC,20091111,36.5,38.5,36.5,37.7,191400
DBC,20091110,37.2,38.4,36.5,37.2,231800
DBC,20091109,38,39.5,36.8,37.1,358700
DBC,20091106,41.5,41.5,38.1,39.6,247300
DBC,20091105,38.5,39.8,38,39.1,308900
DBC,20091104,37.5,39,36.5,37.5,315100
DBC,20091103,37.8,39.5,35.9,37.1,272600
DBC,20091102,38.5,40,38.4,38.5,426300
DBC,20091030,42.2,42.3,40,41.3,382400
DBC,20091029,40.5,41.5,39.5,39.7,586800
DBC,20091028,40.5,43.8,40.5,42.5,388700
DBC,20091027,41.8,43.5,41.7,41.8,1287800
DBC,20091026,47.5,47.5,44,44.8,430200
DBC,20091023,48.5,49,43.5,47.3,875900
DBC,20091022,46.8,46.9,45.4,46.4,1073200
DBC,20091021,42.5,44.2,41.5,43.8,1062200
DBC,20091020,41.5,42.5,41,41.3,735700
DBC,20091019,41,41.4,40.1,41,716800
DBC,20091016,42.4,42.4,40.8,41.3,506700
DBC,20091015,43,44.7,41.8,42.6,732100
DBC,20091014,43.4,43.4,40.5,41.8,697400
DBC,20091013,45,45,42,43.6,903800
DBC,20091012,42,42,41.5,42,634300
DBC,20091009,37,39.4,37,39.2,787500
DBC,20091008,36.6,37.4,36.4,36.8,319000
DBC,20091007,36.3,37,36.3,36.6,721900
DBC,20091006,37.5,37.5,36.1,36.4,354000
DBC,20091005,38.4,38.4,36,36.7,363600
DBC,20091002,36.5,38.5,34.8,36.3,790500
DBC,20091001,36.5,38,35.7,36.9,715000
DBC,20090930,37.5,37.8,36.2,36.7,273200
DBC,20090929,37.5,38.3,37.2,37.8,944600
DBC,20090928,37,37.5,36.7,37.1,669500
DBC,20090925,35.8,37.4,35.8,37,489900
DBC,20090924,38.5,38.5,36.5,37.1,301700
DBC,20090923,38.4,40,37.5,38.8,596900
DBC,20090922,38.5,38.9,36.5,37.7,1000400
DBC,20090921,35.5,36.6,34.5,36.3,643800
DBC,20090918,33.8,34.8,33.4,34.2,269500
DBC,20090917,34.5,34.5,33.5,33.8,219000
DBC,20090916,34.3,35,33.7,34.3,251200
DBC,20090915,34,34.3,33.7,34,175000
DBC,20090914,33.5,34.4,33.5,34,268700
DBC,20090911,33.3,34.2,33,33.6,271500
DBC,20090910,33.8,34.3,33.3,33.5,52600
DBC,20090909,34.2,34.5,33.3,33.7,119200
DBC,20090908,33.2,34,33,33.5,149600
DBC,20090907,32.5,32.9,31.9,32.3,419100
DBC,20090904,33.4,34.2,32,32.9,356300
DBC,20090903,34,34.3,32.5,33.2,481400
DBC,20090901,35.5,35.5,33.5,34.6,200600
DBC,20090831,36.9,36.9,34.8,35.4,324200
DBC,20090828,34.5,35.5,34.5,35,205600
DBC,20090827,35.7,35.7,33.5,34.4,311500
DBC,20090826,32.3,34.2,32.3,33.4,536900
DBC,20090825,31.3,32.5,31,31.9,435200
DBC,20090824,31.5,31.7,30.5,31.1,352500
DBC,20090821,30.5,32,30.5,31.1,316500
DBC,20090820,31,31.6,30.8,31.2,479300
DBC,20090819,31.8,32,31,31.5,529300
DBC,20090818,30.3,31.8,30,31.2,593200
DBC,20090817,28,31,27.6,30.4,363700
DBC,20090814,29.1,30.5,29.1,29.7,417900
DBC,20090813,31.5,31.5,29.1,29.4,379000
DBC,20090812,29,30,29,29.4,262800
DBC,20090811,29.5,29.5,28.5,29.3,198000
DBC,20090810,29.2,29.9,29,29.4,307300
DBC,20090807,28.2,29,28,28.6,308800
DBC,20090806,28.5,29.5,28,28.7,492500
DBC,20090805,27,28.6,27,27.9,386300
DBC,20090804,28.4,28.4,26.9,27.2,230500
DBC,20090803,27.5,27.5,26.7,27,206000
DBC,20090731,27.5,27.5,26.5,27.1,238300
DBC,20090730,26.5,26.9,26.1,26.5,164500
DBC,20090729,27.5,28,26.5,27.4,236500
DBC,20090728,29,29,26.7,27.5,373300
DBC,20090727,29.8,29.9,27,28.8,400000
DBC,20090724,27.7,27.9,27.7,27.9,308300
DBC,20090723,24.3,26.5,24,26,288300
DBC,20090722,25,25.5,24.3,24.7,152400
DBC,20090721,24.5,25,24,24.4,188800
DBC,20090720,24.8,25.5,23.5,23.8,185900
DBC,20090717,25.6,25.6,24.7,25.1,266400
DBC,20090716,25.6,26.5,25,25.6,174300
DBC,20090715,24.8,25.8,24.7,25,117900
DBC,20090714,26.4,26.4,24,24.8,372700
DBC,20090713,25.8,25.8,24,24.6,171200
DBC,20090710,26.5,26.5,25.1,25.5,190500
DBC,20090709,26.4,26.9,26.2,26.5,228500
DBC,20090708,26.1,27,25.8,26.5,157400
DBC,20090707,28.4,28.5,26.6,27.5,547900
DBC,20090706,27,27,25.9,26.9,325900
DBC,20090703,24.2,25.8,23.5,25.2,393700
DBC,20090702,24,24.5,22.9,24.1,385200
DBC,20090701,23.5,23.5,22.7,22.8,458100
DBC,20090630,26,26.5,23.8,24.5,219800
DBC,20090629,25.9,26.3,25.2,25.7,217800
DBC,20090626,27,27.7,25.1,25.8,253600
DBC,20090625,27.9,27.9,24.5,26.3,259000
DBC,20090624,23.1,26.2,23.1,26,111600
DBC,20090623,24.2,25.2,24.2,24.4,615900
DBC,20090622,26.5,27,25.9,26.1,489900
DBC,20090619,28.5,29.8,27.6,27.9,631400
DBC,20090618,31.5,31.5,28.5,29.7,212300
DBC,20090617,29.8,31.5,28,30.2,544600
