<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DCL,20100729,54,54,54,54,300
DCL,20100728,54.5,54.5,53,53,4450
DCL,20100727,54.5,54.5,53,53,2640
DCL,20100726,55.5,55.5,55.5,55.5,200
DCL,20100723,55,55,54,54,1000
DCL,20100722,53,56,52.5,56,5760
DCL,20100721,55,55,55,55,2000
DCL,20100720,55,55,54.5,55,4020
DCL,20100719,55,55,55,55,1580
DCL,20100716,54,55,54,55,410
DCL,20100715,53.5,54,53.5,54,580
DCL,20100714,56.5,56.5,54,54,900
DCL,20100713,53,56,53,55,2410
DCL,20100712,55.5,55.5,55.5,55.5,20
DCL,20100709,52,54.5,52,54,5400
DCL,20100708,54,54,54,54,110
DCL,20100707,55.5,55.5,54,54,7840
DCL,20100706,56.5,56.5,54.5,54.5,6610
DCL,20100705,57,57,56.5,56.5,700
DCL,20100702,53.5,55,53.5,55,2310
DCL,20100701,55,55,53.5,53.5,1080
DCL,20100630,54,54,53,53,4810
DCL,20100629,53,55,53,54.5,16500
DCL,20100628,55.5,55.5,54.5,54.5,11700
DCL,20100625,56,56,56,56,1500
DCL,20100624,55,56,55,56,120
DCL,20100623,55.5,55.5,55,55.5,680
DCL,20100622,56.5,56.5,56,56,1720
DCL,20100621,56.5,56.5,56.5,56.5,1430
DCL,20100618,56.5,56.5,56.5,56.5,4700
DCL,20100617,56,56,56,56,2760
DCL,20100616,56,56,56,56,7310
DCL,20100615,56,56,55.5,55.5,6650
DCL,20100614,58,58,55.5,56,6420
DCL,20100611,56,56.5,56,56,4940
DCL,20100610,56.5,56.5,56,56,2350
DCL,20100609,56,58.5,56,58.5,2260
DCL,20100604,58,58,58,58,800
DCL,20100602,60,60,59,60,5170
DCL,20100601,60,60,60,60,410
DCL,20100531,60,60,60,60,510
DCL,20100528,62.5,62.5,60,60,3400
DCL,20100527,60,60,60,60,500
DCL,20100526,58,60,58,60,1800
DCL,20100525,59,59.5,56,59,1720
DCL,20100524,57.5,57.5,57.5,57.5,10
DCL,20100521,55.5,56,55,55,64090
DCL,20100520,56,57.5,56,57.5,13460
DCL,20100519,60,60,57,57,12810
DCL,20100518,61.5,61.5,60,60,9500
DCL,20100517,61,64,61,61.5,9410
DCL,20100514,64,64,63.5,63.5,8660
DCL,20100513,63.5,63.5,63.5,63.5,20
DCL,20100512,65,65,63.5,63.5,46570
DCL,20100511,64.5,67,64,65,54090
DCL,20100510,64,65,63,65,17280
DCL,20100507,63.5,65,62.5,64,24390
DCL,20100506,62.5,63.5,62.5,63.5,26040
DCL,20100505,65,65,62.5,62.5,14950
DCL,20100504,66,66,64.5,64.5,44080
DCL,20100429,65,66.5,64.5,65.5,123750
DCL,20100428,65,68,64.5,67,97270
DCL,20100427,66,66.5,65.5,65.5,34850
DCL,20100426,67,67.5,66,66,136520
DCL,20100422,66.5,66.5,66,66.5,211090
DCL,20100421,61,63.5,60.5,63.5,112840
DCL,20100420,61.5,62,60,60.5,44420
DCL,20100419,60,61,60,60.5,47270
DCL,20100416,59.5,60.5,59,60.5,76720
DCL,20100415,59.5,59.5,58,58,10370
DCL,20100414,58,58.5,58,58.5,34570
DCL,20100413,58,59.5,58,58,22160
DCL,20100412,60,60,57.5,57.5,44870
DCL,20100409,60.5,60.5,60,60,40360
DCL,20100408,61,61,60,60,23250
DCL,20100407,61,61,60.5,61,202660
DCL,20100406,57,58.5,56.5,58.5,245410
DCL,20100405,56.5,56.5,56,56,11300
DCL,20100402,56,56,55.5,55.5,13630
DCL,20100401,56,56,54,54.5,4340
DCL,20100331,56.5,56.5,55,56,11970
DCL,20100330,56,57,55.5,56.5,17260
DCL,20100329,57,57,55,55,130
DCL,20100326,57,57,55.5,56.5,23680
DCL,20100325,55.5,56,55.5,56,1500
DCL,20100324,57,57,56,57,17440
DCL,20100323,56,57,56,56.5,34640
DCL,20100322,56.5,56.5,55,55,3120
DCL,20100319,57,57,56,56.5,13830
DCL,20100318,54,57,54,56.5,21020
DCL,20100317,56,56.5,56,56.5,67730
DCL,20100316,55.5,55.5,53.5,54,2530
DCL,20100315,55,55.5,55,55.5,18090
DCL,20100312,55,55,54.5,55,11830
DCL,20100311,56.5,56.5,55,55.5,5480
