<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DDM,20100729,10.6,11.1,10.5,10.6,42400
DDM,20100728,10.9,11,10.8,10.8,253690
DDM,20100727,11.5,11.6,11.3,11.3,126670
DDM,20100726,11.8,11.8,11.5,11.5,43820
DDM,20100723,12,12.3,11.8,11.8,59480
DDM,20100722,12,12.2,11.8,12,60590
DDM,20100721,11.9,12.3,11.9,12.3,397410
DDM,20100720,11.7,11.8,11.6,11.8,80950
DDM,20100719,11.7,11.8,11.4,11.8,50290
DDM,20100716,11.7,11.8,11.6,11.7,81680
DDM,20100715,11.6,11.9,11.6,11.7,67530
DDM,20100714,12,12,11.6,11.6,101950
DDM,20100713,11.4,11.7,11.4,11.6,77740
DDM,20100712,11.2,11.4,11.2,11.4,22580
DDM,20100709,11.3,11.4,11.2,11.2,23100
DDM,20100708,11.5,11.5,11.3,11.3,21290
DDM,20100707,11.6,11.6,11.1,11.3,51830
DDM,20100706,11.5,11.7,11.4,11.4,72370
DDM,20100705,11.7,11.8,11.7,11.8,83550
DDM,20100702,11.5,11.7,11.4,11.7,34750
DDM,20100701,11.7,11.7,11.3,11.4,56400
DDM,20100630,11.5,11.5,11.3,11.4,37300
DDM,20100629,12.2,12.2,11.6,11.6,95840
DDM,20100628,11.3,11.8,11.3,11.8,209960
DDM,20100625,11.4,11.6,11.3,11.3,62510
DDM,20100624,11.8,12,11.6,11.6,40300
DDM,20100623,11.5,12,11.5,11.8,35150
DDM,20100622,12.2,12.2,11.8,11.8,322720
DDM,20100621,11.4,11.7,11.4,11.7,118220
DDM,20100618,11.2,11.3,11.1,11.2,62110
DDM,20100617,11.4,11.4,11.2,11.2,38040
DDM,20100616,11.2,11.3,11.1,11.2,40290
DDM,20100615,11.1,11.2,11,11.2,88170
DDM,20100614,11.2,11.2,11.1,11.1,39550
DDM,20100611,11.3,11.3,11.1,11.2,27800
DDM,20100610,10.8,11.1,10.8,11.1,31450
DDM,20100609,10.7,11.1,10.7,11,42440
DDM,20100608,10.7,10.8,10.7,10.7,20580
DDM,20100607,11,11,10.7,10.7,36160
DDM,20100604,11.4,11.4,11.1,11.1,28320
DDM,20100603,11.6,11.6,11.3,11.3,28840
DDM,20100602,11.3,11.3,11.2,11.3,9460
DDM,20100601,11,11.4,11,11.4,52270
DDM,20100531,11.6,11.6,11.2,11.3,16810
DDM,20100528,11.5,11.5,11.4,11.5,78800
DDM,20100527,11.2,11.2,11,11,31940
DDM,20100526,11,11.2,11,11.2,59490
DDM,20100525,10.9,11,10.7,10.7,71820
DDM,20100524,11,11,10.6,10.8,23010
DDM,20100521,10.7,11,10.7,10.7,140550
DDM,20100520,10.7,11.2,10.7,11.2,118790
DDM,20100519,11.7,11.8,11.2,11.2,91810
