<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DQC,20100729,39.7,39.7,38.5,38.5,80180
DQC,20100728,40.8,40.8,39.1,39.1,211230
DQC,20100727,41,43,41,41.1,155940
DQC,20100726,41.7,42.5,41,41,128150
DQC,20100723,43.1,43.9,42.8,42.9,79620
DQC,20100722,44,44.2,43,43.4,185040
DQC,20100721,44.2,44.8,44.2,44.2,50490
DQC,20100720,45,45.2,44.5,44.5,54400
DQC,20100719,45.4,45.4,44.6,44.6,115120
DQC,20100716,45.2,45.8,45,45.1,169330
DQC,20100715,46,46.4,45.2,45.2,43310
DQC,20100714,47,47.1,45.6,45.6,137850
DQC,20100713,45.1,47.2,45.1,47,135780
DQC,20100712,45,45.1,44.3,45.1,56640
DQC,20100709,44.3,45.2,44.3,44.9,72870
DQC,20100708,45,45.1,44.4,44.9,162920
DQC,20100707,45.2,45.5,44.3,44.7,142310
DQC,20100706,45.3,46,45,45,296650
DQC,20100705,47,47,46,46,68010
DQC,20100702,47,47,46.2,46.3,78420
DQC,20100701,46.5,46.9,46.3,46.3,117300
DQC,20100630,46.7,46.9,46.5,46.9,128310
DQC,20100629,46.3,47.9,46.3,47.9,337280
DQC,20100628,45.6,47,45.6,45.7,165890
DQC,20100625,47.5,47.6,46.5,46.5,271480
DQC,20100624,48.9,48.9,47.4,47.8,177330
DQC,20100623,47.5,48.9,47.5,48,141160
DQC,20100622,48.9,49.5,47.7,47.7,207120
DQC,20100621,49.1,49.3,48.9,48.9,159080
DQC,20100618,50,50,49.1,49.1,127940
DQC,20100617,50,51,49.5,49.6,283680
DQC,20100616,48.5,50,48.4,50,467610
DQC,20100615,48.1,48.6,47.8,47.8,206960
DQC,20100614,49,49.4,48,48,229650
DQC,20100611,49.6,49.7,49,49,250030
DQC,20100610,49.5,49.9,49,49,130650
DQC,20100609,50,50.5,49.5,49.9,479200
DQC,20100608,46.5,49,46.3,49,427770
DQC,20100607,46.5,47,45.8,47,523710
DQC,20100604,48.5,49.6,48.2,48.2,269290
DQC,20100603,49.3,49.9,48.7,48.7,511950
DQC,20100602,46,48.9,46,48.5,430540
DQC,20100601,46.5,48.2,46.5,46.6,207770
DQC,20100531,50,50,48,48,252120
DQC,20100528,50,50,48.5,50,645890
DQC,20100527,46.2,47.9,46,47.9,346630
DQC,20100526,44.9,46.2,44.6,46.2,287720
DQC,20100525,44.8,45.9,43.2,44,437660
DQC,20100524,47.1,47.2,44.8,44.8,513110
DQC,20100521,47.1,47.2,47.1,47.1,252320
DQC,20100520,46.1,49.5,46.1,49.5,641970
DQC,20100519,49.4,50,48.5,48.5,558630
DQC,20100518,53.5,53.5,51,51,368020
DQC,20100517,52,53.5,50,53.5,428850
DQC,20100514,50.5,51,50,51,386430
DQC,20100513,51,52,49,49,720780
DQC,20100512,53.5,53.5,51.5,51.5,484270
DQC,20100511,56,56,53,54,390350
DQC,20100510,57.5,57.5,54.5,54.5,947290
DQC,20100507,58.5,59.5,57,57,971000
DQC,20100506,61,62,60,60,546510
DQC,20100505,62.5,62.5,60,60.5,501240
DQC,20100504,60.5,63.5,60,62.5,763920
DQC,20100429,61.5,63,60,60.5,1448540
DQC,20100428,62,63.5,61,61,727040
DQC,20100427,61.5,65,61.5,63,831640
DQC,20100426,60,62,60,62,1245250
DQC,20100422,59.5,59.5,58.5,59.5,1072790
DQC,20100421,57,57,57,57,199130
DQC,20100420,52,54.5,52,54.5,1053060
DQC,20100419,53.5,54,52,52,571070
DQC,20100416,50.5,54,50.5,54,1119940
DQC,20100415,53,53,51.5,51.5,373700
DQC,20100414,50,52,50,52,635130
DQC,20100413,52.5,52.5,49.9,49.9,796460
DQC,20100412,54,54,51.5,52.5,651100
DQC,20100409,55.5,56.5,54,54,700340
DQC,20100408,58,58,55.5,55.5,700280
DQC,20100407,57,59,56.5,56.5,925020
DQC,20100406,54,56.5,54,56.5,858820
