<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FMC,20100729,15.4,15.7,15.4,15.4,23770
FMC,20100728,16.1,16.2,15.4,15.4,37900
FMC,20100727,16.5,16.5,16.2,16.2,23700
FMC,20100726,16.5,17,16.3,16.5,32030
FMC,20100723,16.9,16.9,16.2,16.7,14210
FMC,20100722,16.8,16.8,16.6,16.7,16420
FMC,20100721,17,17,16.6,16.7,20270
FMC,20100720,17,17,16.7,16.7,41760
FMC,20100719,16.6,17.2,16.6,16.9,51840
FMC,20100716,16.9,17.1,16.8,16.9,57810
FMC,20100715,16.8,16.9,16.5,16.8,47930
FMC,20100714,16.9,17,16.8,16.9,52680
FMC,20100713,16.8,17,16.7,16.9,45980
FMC,20100712,16.7,16.8,16.6,16.8,26780
FMC,20100709,16.8,17,16.5,16.8,40780
FMC,20100708,16.6,16.9,16.4,16.9,49190
FMC,20100707,16.6,16.9,16.5,16.6,35720
FMC,20100706,16.5,16.6,16.3,16.6,28130
FMC,20100705,16.8,16.8,16.5,16.6,90000
FMC,20100702,16.2,16.7,16.2,16.7,65260
FMC,20100701,16.2,16.2,16,16.1,31070
FMC,20100630,16,16.2,15.8,16.2,44480
FMC,20100629,16.2,16.3,16.2,16.3,59550
FMC,20100628,16.4,16.5,16.3,16.3,28870
FMC,20100625,16.5,16.6,16.3,16.3,19200
FMC,20100624,16.7,16.7,16.3,16.5,78760
FMC,20100623,16.6,16.6,16.3,16.3,75160
FMC,20100622,16.8,17,16.6,16.6,43750
FMC,20100621,16.8,17,16.7,16.8,68230
FMC,20100618,17.1,17.1,16.2,16.7,64010
FMC,20100617,16.6,16.8,16.4,16.8,92670
FMC,20100616,16.6,16.6,16,16,78360
FMC,20100615,15.7,16.5,15.7,16.4,52050
FMC,20100614,16,16.5,16,16.1,60950
FMC,20100611,15.7,15.9,15.7,15.8,40530
FMC,20100610,15.6,15.6,15.5,15.6,55860
FMC,20100609,15.7,15.8,15.5,15.5,16080
FMC,20100608,15,15.7,15,15.2,18380
