<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPC,20100505,7.2,7.2,7.2,7.2,3030
FPC,20100504,7.5,7.5,7.5,7.5,36850
FPC,20100429,7.8,7.8,7.8,7.8,33530
FPC,20100428,7.8,7.8,7.8,7.8,26370
FPC,20100427,7.6,7.6,7.6,7.6,38080
FPC,20100426,7.3,7.3,7.3,7.3,26320
FPC,20100422,7,7,7,7,31260
FPC,20100421,6.7,6.7,6.7,6.7,9600
FPC,20100420,6.4,6.4,6.4,6.4,12830
FPC,20100419,6.1,6.1,6.1,6.1,51590
FPC,20100416,6.4,6.4,6.4,6.4,13390
FPC,20100415,6.4,6.4,6.4,6.4,14180
FPC,20100414,6.1,6.1,6.1,6.1,10350
FPC,20100413,5.9,5.9,5.9,5.9,6600
FPC,20100412,6,6,6,6,18360
FPC,20100409,6.3,6.3,6.3,6.3,9110
FPC,20100408,6.3,6.3,6.3,6.3,4820
FPC,20100407,6.4,6.4,6.4,6.4,10930
FPC,20100406,6.2,6.2,6.2,6.2,26360
FPC,20100405,6.5,6.5,6.5,6.5,7930
FPC,20100402,6.8,6.8,6.8,6.8,20290
FPC,20100401,7.1,7.1,7.1,7.1,24850
FPC,20100331,6.8,6.8,6.8,6.8,14480
FPC,20100330,6.5,6.5,6.5,6.5,25600
FPC,20100329,6.2,6.2,6.2,6.2,41520
FPC,20100326,6.5,6.5,6.5,6.5,5710
FPC,20100325,6.8,6.8,6.8,6.8,2980
FPC,20100324,7.1,7.1,7.1,7.1,16800
FPC,20100323,7.4,7.4,7.4,7.4,10200
FPC,20100322,7.7,7.9,7.7,7.7,82130
FPC,20100319,8.1,8.2,8.1,8.1,7500
FPC,20100318,8.1,8.2,8,8.1,15580
FPC,20100317,8.3,8.7,8.3,8.3,43610
FPC,20100316,8.6,8.8,8.4,8.7,10740
FPC,20100315,8.8,8.8,8.6,8.8,6380
FPC,20100312,8.4,8.6,8.4,8.6,7070
FPC,20100311,8.6,8.6,8.3,8.3,4610
FPC,20100310,8.5,8.5,8.2,8.5,2370
FPC,20100309,8.1,8.4,8.1,8.2,6470
FPC,20100308,8.2,8.4,8.2,8.2,4840
FPC,20100305,8,8.4,8,8.3,1100
FPC,20100304,8,8.3,8,8.2,4270
FPC,20100303,8.3,8.4,8.2,8.2,2950
FPC,20100302,8.2,8.3,8.2,8.3,1450
FPC,20100301,8.2,8.2,8,8.2,640
FPC,20100226,8.2,8.2,8,8.2,3860
FPC,20100225,8.5,8.6,8.1,8.2,4330
FPC,20100224,8.4,8.5,7.9,8.5,270
FPC,20100223,8.3,8.5,8.2,8.2,8630
FPC,20100222,8.6,8.6,8.6,8.6,70
FPC,20100212,8.6,8.6,8.6,8.6,2110
FPC,20100211,8,8.6,8,8.5,1520
FPC,20100210,8.5,8.5,8.3,8.3,1500
FPC,20100209,8.3,8.3,8.3,8.3,2700
FPC,20100208,8.4,8.4,8.3,8.3,1600
FPC,20100205,8.5,8.5,8.4,8.4,560
FPC,20100204,8.2,8.6,8.1,8.6,6090
FPC,20100203,8.5,8.5,8.3,8.4,3590
FPC,20100202,8.8,8.8,8.3,8.3,3160
FPC,20100201,8.7,8.7,8.6,8.6,280
FPC,20100129,8.4,8.6,8.4,8.4,750
FPC,20100128,8.9,8.9,8.5,8.5,10740
FPC,20100127,9,9,8.9,8.9,320
FPC,20100126,9,9,8.9,9,5570
FPC,20100125,8.8,8.8,8.7,8.7,5330
FPC,20100122,8.5,9.1,8.5,9.1,2320
FPC,20100121,9,9,8.7,8.8,1740
FPC,20100120,9,9,9,9,600
FPC,20100119,9.2,9.3,8.8,9.2,16970
FPC,20100118,9.7,9.7,9.2,9.2,2700
FPC,20100115,9.5,9.7,9.1,9.5,21340
FPC,20100114,9.7,9.7,9.4,9.4,3790
FPC,20100113,9.4,9.8,9.4,9.8,8010
FPC,20100112,9.5,9.8,9.4,9.8,2440
FPC,20100111,9.8,9.9,9.7,9.7,12540
FPC,20100108,10.4,10.9,10.2,10.2,1890
FPC,20100107,10.3,10.5,10.3,10.5,5870
FPC,20100106,10.3,10.3,9.8,10.3,5350
FPC,20100105,10,10,10,10,22600
FPC,20100104,9.4,9.6,9.3,9.6,25850
FPC,20091231,9.3,9.6,9.2,9.2,25890
FPC,20091230,9.2,9.4,9.2,9.4,4100
FPC,20091229,9.3,9.4,9.3,9.4,2710
FPC,20091228,9.7,9.7,9.5,9.6,19830
FPC,20091225,8.8,9.5,8.8,9.5,21500
FPC,20091224,8.9,9.2,8.9,9.1,5010
FPC,20091223,9.1,9.1,8.7,9.1,4410
FPC,20091222,9.2,9.2,8.7,8.7,14750
FPC,20091221,9.2,9.2,8.9,9,10620
FPC,20091218,8.9,8.9,8.9,8.9,3650
FPC,20091217,8.7,8.7,8.6,8.6,8750
FPC,20091216,8.8,8.8,8.6,8.7,27410
FPC,20091215,9,9,8.7,8.8,12470
FPC,20091214,8.6,9.1,8.6,9.1,10310
FPC,20091211,8.9,9.2,8.9,8.9,10290
FPC,20091210,9.5,9.8,9.3,9.3,4400
FPC,20091209,9.9,9.9,9.6,9.6,15260
FPC,20091208,10.9,10.9,10.1,10.1,7900
FPC,20091207,10.6,10.6,10,10.6,13760
FPC,20091204,10.1,10.2,10.1,10.1,4710
FPC,20091203,10.1,10.8,10,10.1,15500
FPC,20091202,10.5,10.8,10.5,10.5,24160
FPC,20091201,11,11.1,10.6,11,9770
FPC,20091130,10.9,11.1,10.9,11,11750
FPC,20091127,10.6,11.3,10.6,10.8,23980
FPC,20091126,11.1,11.1,11.1,11.1,8630
FPC,20091125,11.7,12.1,11.6,11.6,17240
FPC,20091124,12.5,12.5,11.9,12.2,15660
FPC,20091123,12.9,12.9,12.3,12.5,6610
