<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HAS,20100729,15.7,15.7,14.8,15.6,53520
HAS,20100728,15.7,15.7,15.2,15.2,103430
HAS,20100727,16.3,16.3,15.7,15.7,94620
HAS,20100726,16.2,16.3,15.9,16.3,126990
HAS,20100723,16.1,16.2,15.9,15.9,119930
HAS,20100722,16.6,16.9,16.1,16.1,308250
HAS,20100721,18.3,18.3,16.9,16.9,179790
HAS,20100720,16.9,17.7,16.8,17.7,296470
HAS,20100719,16,16.9,15.8,16.9,430760
HAS,20100716,15.3,16.2,15.3,16.1,275800
HAS,20100715,15.3,16,15.3,15.8,116270
HAS,20100714,16,16,15.3,15.3,37390
HAS,20100713,16,16,15.4,15.8,73380
HAS,20100712,15.6,15.6,15.3,15.4,8820
HAS,20100709,15.3,15.7,15,15.6,61000
HAS,20100708,15.8,15.8,15.2,15.2,73940
HAS,20100707,15.3,15.6,14.9,15.5,107740
HAS,20100706,15.2,15.2,14.7,14.9,140180
HAS,20100705,15.8,15.9,15.4,15.4,108500
HAS,20100702,15.6,16,15.1,15.8,148020
HAS,20100701,15.7,15.7,15.2,15.3,170280
HAS,20100630,16,16,15.3,15.9,122660
HAS,20100629,17,17,15.8,16,112630
HAS,20100628,15.8,16.4,15.7,16.4,442260
HAS,20100625,14.5,15.7,14.4,15.7,557810
HAS,20100624,15,15.1,14.6,15,102560
HAS,20100623,14.7,15,14.7,15,85270
HAS,20100622,15.2,15.6,14.7,14.7,160650
HAS,20100621,14.5,15.2,14.5,15.2,273210
HAS,20100618,14.4,14.8,14.3,14.5,81240
HAS,20100617,14.5,14.9,14.4,14.6,69950
HAS,20100616,14.5,15,14.5,14.6,52660
HAS,20100615,15.1,15.1,14.4,14.6,67290
HAS,20100614,14.9,15,14.7,15,234430
HAS,20100611,14.5,14.5,14.1,14.3,92440
HAS,20100610,13.8,14.1,13.8,14.1,19720
HAS,20100609,13.6,13.9,13.5,13.8,41850
HAS,20100608,13.4,13.6,13.4,13.4,64620
HAS,20100607,13.5,13.8,13.5,13.5,163400
HAS,20100604,14.4,14.5,13.9,14.2,81780
HAS,20100603,15,15,14.3,14.5,55290
HAS,20100602,14.4,14.9,14.4,14.8,28380
HAS,20100601,14.4,15,14.2,14.9,126570
HAS,20100531,14.8,15,14.3,14.9,177820
HAS,20100528,14.3,14.3,14.3,14.3,161480
HAS,20100527,14.3,14.3,13.3,13.7,82440
HAS,20100526,13.9,13.9,13.3,13.9,80930
HAS,20100525,13.6,14,13.3,13.3,106610
HAS,20100524,13.9,14,13.9,13.9,154740
HAS,20100521,14.6,14.6,14.6,14.6,4130
HAS,20100520,14.1,15.3,14.1,15.3,207880
HAS,20100519,14.9,15,14.8,14.8,34630
HAS,20100518,15.2,15.5,15.1,15.5,106900
HAS,20100517,15.9,15.9,15,15.8,420590
HAS,20100514,15.2,15.2,15.2,15.2,76660
HAS,20100513,15.9,15.9,15.9,15.9,30210
HAS,20100512,16.7,16.7,16.7,16.7,15740
HAS,20100511,18,18,17.5,17.5,208850
HAS,20100510,19.3,19.3,18.4,18.4,135880
HAS,20100507,19.3,19.3,18.5,19.3,1325260
HAS,20100506,18.4,18.4,18.4,18.4,83950
HAS,20100505,17.6,17.6,17.6,17.6,113220
HAS,20100504,16.8,16.8,16.8,16.8,108840
HAS,20100429,16,16,16,16,142240
HAS,20100428,14.6,15.3,14.6,15.3,267820
HAS,20100427,14.2,14.6,14.2,14.6,18090
HAS,20100426,14.6,15,14.6,14.6,28280
HAS,20100422,15.6,15.6,15,15,90700
HAS,20100421,15,15.1,14.7,14.9,50450
HAS,20100420,15,15.1,14.5,15,51890
HAS,20100419,14.5,15.2,14.2,15.2,114380
HAS,20100416,14.3,14.6,14.3,14.5,53940
HAS,20100415,13.9,14.2,13.9,14.2,68410
HAS,20100414,13.2,14,13.2,13.6,65160
HAS,20100413,13.8,13.8,13.4,13.4,18980
HAS,20100412,14.3,14.3,13.8,13.8,34050
HAS,20100409,14.2,14.2,13.6,14.2,18490
HAS,20100408,15,15,14.2,14.2,65930
HAS,20100407,14.7,14.7,14.4,14.7,208590
HAS,20100406,14,14,14,14,71500
HAS,20100405,13.1,13.4,12.9,13.4,99990
HAS,20100402,12.8,12.9,12.6,12.8,19240
HAS,20100401,12.7,12.8,12.7,12.8,24710
HAS,20100331,11.8,12.7,11.8,12.7,67740
HAS,20100330,12.1,12.2,12,12.1,16550
HAS,20100329,12.3,12.3,12.1,12.1,19060
HAS,20100326,12.4,12.4,12.2,12.3,16050
HAS,20100325,12.6,12.6,12.4,12.6,7980
HAS,20100324,12.6,12.7,12.6,12.7,19810
HAS,20100323,13,13,12.4,12.4,5270
HAS,20100322,13,13,12.6,12.7,20110
HAS,20100319,13,13,12.6,12.8,12690
HAS,20100318,13.1,13.1,12.8,13.1,15190
HAS,20100317,13.1,13.1,12.9,12.9,17390
HAS,20100316,13.3,13.5,12.9,12.9,32800
HAS,20100315,13.1,13.3,12.8,13.3,58500
HAS,20100312,12.7,12.7,12.5,12.7,23530
HAS,20100311,12.6,12.7,12.4,12.4,11430
HAS,20100310,12.5,12.8,12.5,12.5,13010
HAS,20100309,12.6,13,12.6,12.6,22050
HAS,20100308,12.3,13,12.3,12.9,11830
HAS,20100305,12.4,12.5,12.2,12.4,20110
HAS,20100304,12.1,12.7,12.1,12.5,16940
HAS,20100303,12,12.1,12,12.1,3930
HAS,20100302,12,12.3,12,12,3310
HAS,20100301,12.5,12.5,11.9,12.3,9410
HAS,20100226,12.2,12.2,11.9,11.9,3110
HAS,20100225,12.2,12.2,11.9,12.2,2440
HAS,20100224,11.7,12.5,11.7,12.2,9340
HAS,20100223,12.5,12.5,11.9,12.2,3680
HAS,20100222,12.3,12.5,12.3,12.5,3750
HAS,20100212,11.8,12.5,11.8,12.3,4110
HAS,20100211,11.7,12.2,11.7,12.2,3650
HAS,20100210,11.5,11.7,11.5,11.7,6410
HAS,20100209,11.8,12.2,11.2,11.2,20790
HAS,20100208,12.1,12.3,11.8,11.8,6150
HAS,20100205,12.1,12.1,12.1,12.1,3290
HAS,20100204,12.4,12.6,12.1,12.1,11500
HAS,20100203,12.2,12.2,12.1,12.1,11020
