<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HEV,20100729,18.4,18.4,17,17,15100
HEV,20100728,17.5,17.5,17.3,17.3,17300
HEV,20100727,18.1,18.8,18,18.5,9400
HEV,20100726,19.3,19.3,18.6,19.3,20600
HEV,20100723,18,19,18,18.6,3000
HEV,20100722,19.2,19.7,18.2,18.6,69800
HEV,20100721,18,19,17.8,18.5,61800
HEV,20100720,17.9,18,17.4,17.8,23200
HEV,20100719,18.2,18.2,17.1,18,26800
HEV,20100716,18.6,18.6,17.4,18.1,45400
HEV,20100715,16.8,17.8,16.7,17.4,56400
HEV,20100714,16.9,17,16.5,16.7,17000
HEV,20100713,16.5,16.6,16.5,16.5,5800
HEV,20100712,16.3,16.4,16.3,16.4,5100
HEV,20100709,16.4,16.4,16,16.1,12300
HEV,20100708,16.4,16.7,16.1,16.3,9700
HEV,20100707,16.3,16.3,16.3,16.3,900
HEV,20100706,17.5,17.5,16.5,17,2000
HEV,20100705,16.9,17.1,16.5,16.9,4600
HEV,20100702,16.3,16.7,16.3,16.4,39100
HEV,20100701,16.3,16.5,16.3,16.4,12600
HEV,20100630,17,17,16.1,16.3,2400
HEV,20100629,16.4,16.5,16.3,16.4,34700
HEV,20100628,16.5,16.5,16,16.4,9300
HEV,20100625,16.2,16.6,16.2,16.2,21600
HEV,20100624,17.5,17.5,16.8,17.1,2100
HEV,20100623,16.6,16.6,16.5,16.6,14100
HEV,20100622,16.7,16.8,16.5,16.6,19600
HEV,20100621,16,17.2,16,16.9,36700
HEV,20100618,16,16.1,16,16.1,4100
HEV,20100617,16,16.3,16,16,21300
HEV,20100616,16.2,16.6,16.2,16.3,9900
HEV,20100615,16.5,16.5,16,16.2,8100
HEV,20100614,17,17,16,16.3,5300
HEV,20100611,17,17,16.4,16.9,13900
HEV,20100610,15.5,16.2,15.5,15.9,28700
HEV,20100609,15.5,15.5,15.4,15.5,3000
