<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HHC,20100729,57.9,57.9,54.5,55,59800
HHC,20100728,59.8,59.8,55.8,58.5,213900
HHC,20100727,61.5,61.9,56.7,58.7,63000
HHC,20100726,55.9,59.9,55.1,58.5,203500
HHC,20100723,55.4,59.4,55.4,56.1,225900
HHC,20100722,59.5,59.5,59.5,59.5,13500
HHC,20100721,64,65.4,62.5,64.2,23200
HHC,20100720,68.8,69.5,63.9,67.1,69400
HHC,20100719,70,72.9,63.8,68.7,68300
HHC,20100716,69,69.3,64.8,68.6,323000
HHC,20100715,64.9,64.9,63,64.8,207600
HHC,20100714,57,61.5,57,60.7,189700
HHC,20100713,56.1,60,56,57.5,250100
HHC,20100712,56,56.8,53.5,56.2,59200
HHC,20100709,55.5,56.9,52.5,56.1,64000
HHC,20100708,54,56,53,55.8,57300
HHC,20100707,55,55,52.5,54.4,42500
HHC,20100706,55.5,56,52.8,55.5,51000
HHC,20100705,56.9,56.9,53.2,55.6,73200
HHC,20100702,57,57.4,55,57.2,57000
HHC,20100701,57.5,57.5,55.6,57.3,65500
HHC,20100630,58.2,58.2,56.2,57.8,267300
HHC,20100629,60,60.9,57.2,60.4,59500
HHC,20100628,60,61,58,60.6,47600
HHC,20100625,59,59.9,55.5,59.1,257300
HHC,20100624,59.5,60.2,56.5,58.4,65200
HHC,20100623,60.5,60.9,56.7,60.7,54300
HHC,20100622,61,64.3,57,58.7,30300
HHC,20100621,59.9,61.9,56.7,60.1,61100
HHC,20100618,60,61.4,56.5,59.2,64600
HHC,20100617,61.5,63,58,60.3,50200
HHC,20100616,61,63,60,62.3,77300
HHC,20100615,58.9,62,56.5,60.2,49600
HHC,20100614,60,60.4,56.8,58.9,30000
HHC,20100611,60.5,62,56,61,59500
HHC,20100610,60.9,60.9,58.3,59.7,18800
HHC,20100609,63.4,63.4,58,62.6,62700
HHC,20100608,60,62.5,55.8,60.9,56300
HHC,20100607,60.8,60.8,56,60,71600
HHC,20100604,58.5,61,57.3,57.4,37100
HHC,20100603,65,65,61,61.6,55700
HHC,20100602,63,66.5,61.6,65.5,77600
HHC,20100601,59,63,59,62.2,87300
HHC,20100531,60,63.7,60,62.1,214200
HHC,20100528,59,62.5,59,60.9,59800
HHC,20100527,58,60,55.5,58.9,145600
HHC,20100526,58,58.9,57,58.7,164700
HHC,20100525,53,55.3,53,55.1,147300
HHC,20100524,52,52.5,46.1,51.7,65700
HHC,20100521,49,51.8,49,49.1,7600
HHC,20100520,49,55,49,52.6,193400
HHC,20100519,54,56.1,48.9,52.6,220700
HHC,20100518,55.5,55.5,50.9,52.5,135500
HHC,20100517,56.5,57,51.8,54.7,35600
HHC,20100514,55.5,55.6,52.1,55.2,110500
HHC,20100513,51.9,52.2,51,52,112800
HHC,20100512,48.5,50.9,48.4,48.8,166400
HHC,20100511,56,56,51.6,52,48600
HHC,20100510,55.4,62,55.3,55.4,39400
HHC,20100507,65.7,65.7,59.2,59.4,131600
HHC,20100506,57,64.8,57,63.6,202300
HHC,20100505,62.5,65.5,57.3,60.6,184500
HHC,20100504,65,65,60.9,61.4,144900
HHC,20100429,67.3,67.3,63,65.4,142600
HHC,20100428,62,63,62,63,120900
HHC,20100427,55,59,55,58.9,182200
HHC,20100426,54.6,58,54.6,55.2,323500
HHC,20100422,60,62.9,55.2,58.7,455100
HHC,20100421,59.8,59.8,57,59.3,282100
HHC,20100420,55.8,55.9,55.8,55.9,99700
HHC,20100419,51.5,53,48,52.3,452000
HHC,20100416,49.6,49.6,49,49.6,226700
HHC,20100415,46.4,46.4,46.2,46.4,255300
HHC,20100414,43.5,43.5,42.5,43.4,168200
HHC,20100413,39.5,41,39,40.7,127700
HHC,20100412,36.5,39.3,36.5,38.4,253400
HHC,20100409,38,39,35.8,36.8,169800
HHC,20100408,41,41.7,36.9,38.4,144900
HHC,20100407,38.5,40.2,37,39,435600
HHC,20100406,37.6,37.9,36,37.6,169700
HHC,20100405,34.2,36.8,32.1,35.5,321600
HHC,20100402,35.6,35.6,32.1,34.4,122300
HHC,20100401,33.3,33.3,33.3,33.3,100000
HHC,20100331,31.2,31.2,31.2,31.2,28300
HHC,20100330,28.8,30.3,28.8,29.2,380900
HHC,20100329,28.2,28.6,28.2,28.4,35400
HHC,20100326,28.4,28.4,27.3,27.9,36800
HHC,20100325,26,28.1,25.1,27.2,37900
HHC,20100324,26.6,28,25.1,26.3,13000
HHC,20100323,27.4,27.4,26,26.3,12800
HHC,20100322,30.1,30.2,26.5,27.9,23400
HHC,20100319,28.4,28.4,26.7,28.3,193700
HHC,20100318,25.4,26.7,25.4,26.6,92100
HHC,20100317,25,25.5,23.8,25,42500
HHC,20100316,25,26,24.3,25.3,30400
HHC,20100315,24.2,24.3,24.2,24.3,48300
HHC,20100312,22.2,23,22.2,22.8,4300
HHC,20100311,23.2,23.2,23.1,23.2,400
HHC,20100310,23,23.2,23,23.1,4700
