<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HNM,20100729,16.1,16.3,16,16.2,58100
HNM,20100728,16.2,16.3,16,16.1,83600
HNM,20100727,16.7,16.7,15.9,16.2,203800
HNM,20100726,16.5,16.7,16.2,16.4,114100
HNM,20100723,16.8,17,16.5,16.7,60800
HNM,20100722,17,17.2,16.6,16.8,102800
HNM,20100721,17.7,18.3,17.1,17.7,378800
HNM,20100720,16.4,17.3,16.4,17.2,452900
HNM,20100719,16.1,16.3,16,16.2,61900
HNM,20100716,16.4,16.4,16.1,16.3,199900
HNM,20100715,16.6,16.6,16.1,16.3,63000
HNM,20100714,17,17.2,16.3,16.5,72200
HNM,20100713,16.5,16.7,16.3,16.5,86000
HNM,20100712,16.4,16.4,16,16.2,44000
HNM,20100709,16.2,16.4,16.1,16.1,62200
HNM,20100708,16.8,16.8,16.2,16.4,75300
HNM,20100707,16.7,16.8,16.1,16.4,75100
HNM,20100706,16.5,16.5,16,16.2,73800
HNM,20100705,16.5,16.6,16.1,16.3,93000
HNM,20100702,16.5,16.5,16.2,16.3,64900
HNM,20100701,16.5,16.6,16.2,16.3,81300
HNM,20100630,16.2,16.6,16.1,16.3,101500
HNM,20100629,16.6,17,16.5,16.7,63700
HNM,20100628,16.3,17.2,16.3,16.9,81900
HNM,20100625,16,17.2,16,16.8,152900
HNM,20100624,16,17.7,16,17.2,250500
HNM,20100623,16.6,16.9,16.5,16.7,67200
HNM,20100622,16.3,16.9,16.3,16.7,19900
HNM,20100621,15.2,16.9,15.2,16.7,141400
HNM,20100618,16.4,16.4,16.2,16.3,74500
HNM,20100617,16.3,16.5,16.2,16.3,70100
HNM,20100616,16.3,17.1,16.3,16.5,71900
HNM,20100615,16.1,16.5,16.1,16.3,86400
HNM,20100614,16.6,16.8,16.4,16.5,60500
HNM,20100611,16.5,16.7,16.1,16.3,72000
HNM,20100610,16.6,16.6,16,16.2,64000
HNM,20100609,16.8,16.9,16,16.3,74000
HNM,20100608,16.1,16.7,15.9,16.2,81400
HNM,20100607,16.7,16.7,15.9,16.1,120500
HNM,20100604,17.2,17.2,16.7,16.9,67800
HNM,20100603,17.5,17.7,16.8,17.1,38400
HNM,20100602,16.5,17.3,16.5,16.9,46100
HNM,20100601,17.3,17.3,16.6,16.8,63300
HNM,20100531,17.9,18,16.8,16.9,159500
HNM,20100528,18,18.5,17.7,18,142600
HNM,20100527,17.9,18,16.9,17.4,57800
HNM,20100526,17,17.8,17,17.4,121300
HNM,20100525,16.3,17,16,16.8,107200
HNM,20100524,16,16.6,15.8,16.2,107300
HNM,20100521,16.4,16.4,15.3,15.6,284300
HNM,20100520,16.5,17.5,15.5,16.4,115000
HNM,20100519,16.7,17.2,16.2,16.4,155000
HNM,20100518,17.2,17.5,17,17.2,148000
HNM,20100517,19,19,17.3,17.7,156700
HNM,20100514,18.8,18.8,18,18.6,128200
HNM,20100513,18,18.4,17,17.6,196300
HNM,20100512,18.1,18.1,17.2,17.3,334100
HNM,20100511,19.6,20,18.1,18.4,371700
HNM,20100510,20.7,21.6,19.1,19.4,256600
HNM,20100507,20.8,20.8,19,20.5,606600
HNM,20100506,19,19.5,19,19.5,302600
HNM,20100505,18,18.5,17.3,18.3,606900
HNM,20100504,17,17.8,17,17.3,117200
HNM,20100429,17.2,17.5,16.8,17.2,144200
HNM,20100428,18,18,17.2,17.4,76700
HNM,20100427,16.5,17.8,16.4,17.5,296500
HNM,20100426,16.6,16.9,16.6,16.7,75800
HNM,20100422,17.1,17.5,16.9,17.1,167600
HNM,20100421,16.9,17.2,16.5,16.9,122600
HNM,20100420,16.9,17,16.7,16.9,90300
HNM,20100419,16.5,17.1,16.5,16.9,100100
HNM,20100416,16.8,17.5,16.8,17.2,68700
HNM,20100415,16.5,17.3,16.5,17.1,131800
HNM,20100414,17,17,16.3,16.5,69300
HNM,20100413,16.7,16.8,16.3,16.5,200200
HNM,20100412,17,17.2,16.8,17,93400
HNM,20100409,17.3,17.8,17.2,17.5,130400
HNM,20100408,17.8,18.5,17.4,17.9,178000
HNM,20100407,16.7,17.9,16.5,17.8,606900
HNM,20100406,17.4,17.4,16.5,16.8,175600
HNM,20100405,17.2,17.5,16.9,17.3,247700
HNM,20100402,15.8,16.6,15.8,16.5,184000
HNM,20100401,15.5,15.9,14.9,15.6,32800
HNM,20100331,15.5,15.8,15,15.4,33300
HNM,20100330,16,16.1,15.2,15.8,78200
HNM,20100329,15.9,16.2,15.9,16,36900
HNM,20100326,16,16.5,15.7,16,56900
HNM,20100325,16.5,16.5,15.2,15.9,98900
HNM,20100324,16.4,16.5,16,16.3,65700
HNM,20100323,17,17,16,16.4,87200
HNM,20100322,17,17.3,16.8,17,116900
HNM,20100319,17.9,18.1,16.9,17.4,202100
HNM,20100318,16.8,17.2,16.2,17.1,833300
HNM,20100317,16.3,16.5,15.8,16.1,44400
HNM,20100316,17,17.2,16,16.2,121500
HNM,20100315,16.1,17.2,16,16.6,280100
HNM,20100312,16.9,16.9,15.6,16.1,88900
HNM,20100311,17,17.4,16.1,16.7,135500
HNM,20100310,16.6,16.6,16,16.5,373300
HNM,20100309,14.7,15.7,14.4,15.6,221000
HNM,20100308,14.5,15,14.4,14.7,118000
HNM,20100305,14.2,14.7,14,14.4,82900
HNM,20100304,15,15.1,14.3,14.7,53300
HNM,20100303,15,15,14.1,14.6,56900
HNM,20100302,15.2,15.2,14.1,14.6,84900
HNM,20100301,15.4,15.4,14.5,15,146700
HNM,20100226,14.3,14.4,14.3,14.4,104700
HNM,20100225,13.4,13.9,13.1,13.5,51800
HNM,20100224,13,13.2,12.8,13,10700
HNM,20100223,12.9,13,12.8,12.9,14500
HNM,20100222,13.4,13.4,12.7,13.1,14500
HNM,20100212,13,13,12.6,13,12500
HNM,20100211,12.6,13,12.5,12.7,18500
HNM,20100210,12.5,12.8,12.5,12.7,10800
HNM,20100209,12.4,12.9,12.4,12.6,26300
HNM,20100208,12.6,12.9,12.5,12.6,9300
HNM,20100205,13.1,13.1,12.4,12.6,23100
HNM,20100204,13,13.2,13,13.1,14000
HNM,20100203,12.6,13.2,12.5,12.8,11100
HNM,20100202,12.6,12.8,12.5,12.6,18700
HNM,20100201,13.2,13.2,12.2,12.6,13800
HNM,20100129,13,13.3,13,13.1,19400
HNM,20100128,13,13,13,13,700
HNM,20100127,13.9,14.3,13.2,13.5,4300
HNM,20100126,13.5,13.8,13.1,13.5,31800
HNM,20100125,13,13.1,12.8,12.9,20500
HNM,20100122,13.1,13.2,12.5,12.8,19600
HNM,20100121,13.5,13.5,13,13.1,14600
HNM,20100120,13,13.5,13,13.5,16500
HNM,20100119,13.5,13.8,13.2,13.6,24600
HNM,20100118,13.5,13.5,13,13.2,22200
HNM,20100115,13.4,13.9,13.3,13.5,3300
HNM,20100114,14.3,14.4,13.7,13.9,9900
HNM,20100113,14,14.2,13,13.5,46700
HNM,20100112,14.1,14.5,13.6,13.8,52900
HNM,20100111,15,15,14.2,14.6,37500
HNM,20100108,14.8,15,14.5,14.7,38200
HNM,20100107,14.6,14.9,14.5,14.6,37600
HNM,20100106,15.5,15.5,14.5,14.9,35700
HNM,20100105,15,15.1,14.8,15.1,115800
HNM,20100104,13.4,14.3,13.4,14.2,63700
HNM,20091231,13.5,13.8,13.2,13.4,11300
HNM,20091230,13.1,13.5,13.1,13.3,20200
HNM,20091229,13.5,13.5,13,13.2,24900
HNM,20091228,14.1,14.1,13.3,13.5,35300
HNM,20091225,14,14.2,14,14.1,42300
HNM,20091224,13.1,13.9,13,13.5,26300
HNM,20091223,13.6,14,13.2,13.6,6700
HNM,20091222,14.4,14.4,13.6,14.1,6900
HNM,20091221,13.7,14.1,13.7,14,39100
HNM,20091218,12.5,13.3,12.5,13.2,31000
HNM,20091217,12.7,12.7,12.2,12.5,9500
HNM,20091216,12.8,12.8,12.5,12.7,13000
HNM,20091215,13.2,13.5,13.2,13.4,3900
HNM,20091214,13.7,13.8,13,13.5,31600
HNM,20091211,13.4,13.5,12.7,13.2,61000
HNM,20091210,13.9,13.9,13.3,13.5,84600
HNM,20091209,13.2,13.5,13.2,13.4,88200
HNM,20091208,13,14,13,13.5,49900
HNM,20091207,13.3,14,13.3,13.6,49000
HNM,20091204,13.6,13.7,13.4,13.4,39200
HNM,20091203,13.5,13.8,13.3,13.5,16100
HNM,20091202,15,15,13.5,14,42300
HNM,20091201,14.1,14.7,14,14.4,27700
HNM,20091130,13.6,14.1,13.6,13.8,63000
HNM,20091127,12.3,14,12.3,13.2,63100
HNM,20091126,13.5,13.5,13.2,13.2,95900
HNM,20091125,14.7,14.7,14,14.1,156600
HNM,20091124,15,15,14.6,14.8,88300
HNM,20091123,14.8,15.1,14.7,14.9,32500
HNM,20091120,15,15.2,14.9,15,59600
HNM,20091119,15.3,15.4,15,15.1,37100
HNM,20091118,14.8,15.3,14.6,15,45600
HNM,20091117,15,15,14.8,14.9,30800
HNM,20091116,14.7,15,14.7,14.9,44300
HNM,20091113,15.3,15.4,15,15.3,38900
HNM,20091112,15.2,15.6,15.1,15.3,93700
HNM,20091111,14.9,15.4,14.6,15.1,64600
HNM,20091110,15.7,15.7,14.5,15,82900
HNM,20091109,15.3,15.3,14.9,15,112400
HNM,20091106,16.3,16.5,15.1,16,77800
HNM,20091105,16,16,15.4,15.8,121700
HNM,20091104,15,15.8,15,15.3,77500
HNM,20091103,15.3,16,14.7,15.2,187500
HNM,20091102,16.8,16.8,15.3,15.5,161400
HNM,20091030,16.5,16.7,16.2,16.4,128400
HNM,20091029,16.5,16.5,15.7,15.9,282100
HNM,20091028,16.7,17,16.5,16.8,186000
HNM,20091027,17.2,17.2,16.5,16.7,148600
HNM,20091026,17.8,17.8,17,17.2,89700
HNM,20091023,17.5,18,17,17.6,218300
HNM,20091022,17.5,18,17.3,17.5,202900
HNM,20091021,18.3,18.3,17.4,17.9,149100
HNM,20091020,18.2,19,18,18.3,256300
HNM,20091019,18.5,19,17.9,18.2,299500
HNM,20091016,19.7,19.7,18.5,19.2,881400
HNM,20091015,18.5,18.5,18.5,18.5,309500
HNM,20091014,17,17.5,16.7,17.3,230300
HNM,20091013,16.3,17,15.9,16.4,269800
HNM,20091012,16.4,16.5,16.2,16.3,150800
HNM,20091009,16.6,16.6,16.1,16.3,183500
HNM,20091008,16.5,16.5,16.1,16.3,86400
HNM,20091007,17,17,16.3,16.5,51500
HNM,20091006,16,16.9,16,16.5,63300
HNM,20091005,15.7,16.2,15.5,15.8,104600
HNM,20091002,16,16,15.2,15.7,138800
HNM,20091001,16.3,16.4,16.1,16.2,137100
HNM,20090930,16.7,16.7,16.3,16.5,116500
HNM,20090929,16.7,16.9,16.6,16.6,131300
HNM,20090928,16.6,16.8,16.5,16.7,207900
HNM,20090925,16.8,16.8,16.5,16.6,198300
HNM,20090924,17.1,17.1,16.7,16.8,71500
HNM,20090923,16.9,17.3,16.7,17.1,220600
HNM,20090922,16.8,17,16.6,16.8,217800
HNM,20090921,16.5,17.1,16.5,16.9,219100
HNM,20090918,17,17.4,16.9,17.1,243900
HNM,20090917,17,17.4,17,17.2,201700
HNM,20090916,17.7,17.7,17.2,17.3,230400
HNM,20090915,17.8,18.1,17.5,17.7,259500
HNM,20090914,17.7,18,17.5,17.8,265000
HNM,20090911,18,18,17.5,17.7,284100
HNM,20090910,18.5,19,17.5,17.9,195000
HNM,20090909,18.2,18.7,17.8,18.2,501000
HNM,20090908,17,17.6,17,17.5,316300
HNM,20090907,16.8,17,16.1,16.5,167700
HNM,20090904,17.4,17.7,16.5,17.1,182900
