<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPC,20100729,14.7,15.3,14.7,15.2,155900
HPC,20100728,15,15.1,14.6,14.8,185700
HPC,20100727,15.2,15.5,15,15.2,94700
HPC,20100726,15.5,15.5,14.9,15.2,118800
HPC,20100723,15.5,15.7,15.4,15.5,91400
HPC,20100722,15.4,15.8,15.3,15.5,78400
HPC,20100721,15.5,15.7,15.2,15.4,208000
HPC,20100720,16,16,15.1,15.8,216100
HPC,20100719,16,16.2,15.9,16,196200
HPC,20100716,16.2,16.6,16.1,16.4,145500
HPC,20100715,17.5,17.6,16.3,16.6,189300
HPC,20100714,17.1,17.1,16.6,17,934300
HPC,20100713,15.6,16.1,15.4,16,321100
HPC,20100712,14.9,15.2,14.8,15.1,93400
HPC,20100709,15.2,15.2,15,15,91800
HPC,20100708,15.7,15.7,14.9,15.2,152400
HPC,20100707,15.7,15.7,14.8,14.9,59800
HPC,20100706,15.2,15.2,14.7,14.9,109300
HPC,20100705,15.7,15.7,15,15.2,69900
HPC,20100702,15,15.4,15,15.2,116900
HPC,20100701,15,15.3,14.9,15,63900
HPC,20100630,15.6,15.6,15.1,15.2,73300
HPC,20100629,15.7,15.8,15.5,15.6,95200
HPC,20100628,15.5,15.7,15.4,15.6,53500
HPC,20100625,15.6,15.8,15.5,15.6,102300
HPC,20100624,16,16.1,15.8,15.9,96100
HPC,20100623,15.9,16,15.7,15.9,72300
HPC,20100622,16.2,16.3,15.9,16,113700
HPC,20100621,16.4,16.5,16.2,16.3,101100
HPC,20100618,16.3,16.3,16.1,16.3,116200
HPC,20100617,16.5,16.5,16.1,16.3,91500
HPC,20100616,16.1,17,16.1,16.4,200000
HPC,20100615,16.3,16.3,15.9,16.1,76200
HPC,20100614,16.4,16.6,16.2,16.2,70000
HPC,20100611,16.5,16.6,16,16.2,89200
HPC,20100610,16,16.1,15.8,16,69600
HPC,20100609,16.3,16.3,15.9,16,71000
HPC,20100608,16,16.2,15.8,16,174300
HPC,20100607,16.5,16.5,15.8,16,224600
HPC,20100604,17.2,17.3,16.6,16.7,100100
HPC,20100603,17.3,17.3,16.8,16.9,127800
HPC,20100602,16.4,17,16.4,16.9,67800
HPC,20100601,17,17.1,16.5,16.9,90300
HPC,20100531,16.9,17.5,16.8,17,87900
HPC,20100528,17.2,17.8,17.2,17.6,420200
HPC,20100527,16.7,16.9,16.5,16.7,143100
