<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPG,20100729,35.6,36.6,35.4,35.4,472220
HPG,20100728,37.4,37.5,36.6,36.7,318900
HPG,20100727,37.9,37.9,37.3,37.4,476650
HPG,20100726,37.3,38,37.3,37.9,166160
HPG,20100723,38.2,38.2,38,38,260170
HPG,20100722,38.5,38.5,38.2,38.2,114970
HPG,20100721,38.3,38.6,38.3,38.5,193420
HPG,20100720,39,39,38.7,38.9,166700
HPG,20100719,38.5,39,38.5,39,229210
HPG,20100716,39.4,39.4,39,39,176920
HPG,20100715,39.1,39.6,39,39,215430
HPG,20100714,40,40,39.2,39.2,273770
HPG,20100713,39.1,40.4,38.9,40,358710
HPG,20100712,38.8,38.9,38.6,38.8,271470
HPG,20100709,39.1,39.1,38.5,38.8,264450
HPG,20100708,39.5,39.7,38.8,38.8,161800
HPG,20100707,40,40.2,39.2,39.2,120370
HPG,20100706,41,41,40,40,313890
HPG,20100705,40.5,41,40.5,41,274180
HPG,20100702,41,41,40.4,40.5,378360
HPG,20100701,41.5,41.5,40.8,40.8,71850
HPG,20100630,40.7,41.5,40.7,41.5,196340
HPG,20100629,41.6,41.6,41.3,41.3,285000
HPG,20100628,41,41.3,41,41,186510
HPG,20100625,41.4,41.5,41.2,41.2,247430
HPG,20100624,41.5,41.6,41.3,41.4,286340
HPG,20100623,41.4,41.5,41.3,41.5,91440
HPG,20100622,41.2,41.5,41.2,41.4,262430
HPG,20100621,41.5,41.5,41.2,41.3,353020
HPG,20100618,41.4,41.5,41,41.4,746880
HPG,20100617,41.4,41.5,41.2,41.4,349870
HPG,20100616,41.8,41.9,41.6,41.6,356890
HPG,20100615,41.8,41.8,41.5,41.8,279590
HPG,20100614,41.6,41.7,41.5,41.6,161540
HPG,20100611,42,42,41.5,41.5,304430
HPG,20100610,40.5,41.5,40.5,41.5,122590
HPG,20100609,41.1,41.8,41.1,41.1,285370
HPG,20100608,41.5,41.6,41,41.3,267800
HPG,20100607,40.3,41.8,40.3,41.8,341410
HPG,20100604,41.5,42.2,41.5,42,165550
HPG,20100603,43,43,42,42,331490
HPG,20100602,42,42.1,41.9,42,278700
HPG,20100601,41.1,42.2,41.1,42,145940
HPG,20100531,42,42.2,41.7,41.9,270000
HPG,20100528,42.5,42.5,40.2,42,288170
HPG,20100527,40.8,40.9,40.5,40.8,300120
HPG,20100526,40.5,40.8,40,40.8,205260
HPG,20100525,40.2,40.6,39.5,39.5,490640
HPG,20100524,41.5,41.5,40.4,40.5,338810
HPG,20100521,40.5,42,40.4,40.5,377000
HPG,20100520,40.5,42.5,40.5,42.5,276780
HPG,20100519,41.2,41.5,40.6,40.7,458670
HPG,20100518,42,42.5,42,42.1,223530
HPG,20100517,44,44,42.5,42.5,273040
HPG,20100514,44.5,44.7,44,44,166660
HPG,20100513,44,44.4,43.8,44,228970
HPG,20100512,44,44.2,43.7,43.9,435210
HPG,20100511,45,45.5,44.9,44.9,328330
HPG,20100510,45.3,45.3,44.8,44.9,656620
HPG,20100507,45.9,46,45.1,45.4,565930
HPG,20100506,46.2,46.7,46.1,46.5,499330
HPG,20100505,47,47.2,46.5,46.5,624960
HPG,20100504,47.9,48,47.5,47.6,382080
HPG,20100429,48.3,48.4,47.7,47.7,488110
HPG,20100428,48.3,48.8,48.3,48.4,1065180
HPG,20100427,48.3,48.3,48,48.3,2002680
HPG,20100426,46,46.3,45.7,46,923660
