<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HTV,20100729,30.1,31,30.1,30.8,215380
HTV,20100728,31.5,31.5,29.1,30.1,842450
HTV,20100727,28.7,30.1,28.7,30.1,598450
HTV,20100726,27.3,28.7,27.3,28.7,440280
HTV,20100723,28.6,28.7,28.5,28.6,214760
HTV,20100722,28,28.6,26.4,28.6,1015890
HTV,20100721,27.3,27.3,26.1,27.3,960530
HTV,20100720,26,26,26,26,285370
HTV,20100719,24.8,24.8,24.8,24.8,374760
HTV,20100716,23.7,23.7,23.6,23.7,815160
HTV,20100715,22.6,22.6,22.6,22.6,389000
HTV,20100714,23,23.3,21.6,21.6,855690
HTV,20100713,22.5,22.7,21.6,22.7,359080
HTV,20100712,20.7,22,20.7,21.7,851750
HTV,20100709,21.7,21.8,21.7,21.7,304680
HTV,20100708,22.8,22.8,22.8,22.8,25880
HTV,20100707,23.4,24,23.3,24,298850
HTV,20100706,22.8,23,22.3,23,1434300
HTV,20100705,21.9,21.9,21.9,21.9,121880
HTV,20100702,20.9,20.9,20.9,20.9,94160
HTV,20100701,19.9,19.9,19.9,19.9,163720
HTV,20100630,17.3,19,17.3,19,1397950
HTV,20100629,18.1,18.1,18.1,18.1,72710
HTV,20100628,17.1,18.7,17.1,17.3,105950
HTV,20100625,18.3,18.6,17.9,17.9,131390
HTV,20100624,17.3,18.8,17.3,18.8,485270
HTV,20100623,17.2,18.1,17.2,17.9,115290
HTV,20100622,18.2,18.2,17.3,17.3,68730
HTV,20100621,17.8,18.2,17.8,18.2,353650
HTV,20100618,17.2,17.4,16.8,17.4,467200
HTV,20100617,15.8,16.6,15.7,16.6,104470
HTV,20100616,15.9,16.3,15.7,15.8,67200
HTV,20100615,16.3,16.3,15.9,15.9,20590
HTV,20100614,16.3,16.3,16,16.1,27050
HTV,20100611,15.8,16.2,15.8,16,57220
HTV,20100610,15.8,15.8,15.4,15.6,7500
HTV,20100609,15.8,16.1,15.6,15.8,25830
HTV,20100608,15.8,15.8,15.7,15.8,10110
HTV,20100607,15.5,15.8,15.4,15.7,55100
HTV,20100604,16.3,16.4,16.2,16.2,28160
HTV,20100603,16.4,16.8,16.3,16.3,10550
HTV,20100602,16.5,16.5,15.8,16.4,10970
HTV,20100601,15.8,16.7,15.8,16.3,5840
HTV,20100531,16.6,17,16.3,16.3,23810
HTV,20100528,16.4,16.6,16.2,16.6,92780
HTV,20100527,15.6,15.8,15.5,15.8,27260
HTV,20100526,15.4,15.8,15.4,15.7,44860
HTV,20100525,15.7,15.8,15.1,15.3,48040
HTV,20100524,15.1,15.7,14.9,15.7,37910
HTV,20100521,15.1,15.3,15.1,15.1,79300
HTV,20100520,14.8,15.9,14.8,15.9,99620
HTV,20100519,15.8,16,15.5,15.5,175410
HTV,20100518,16.6,16.6,16.3,16.3,83280
HTV,20100517,16.8,16.9,16.4,16.6,49550
HTV,20100514,16.8,17.3,16.8,16.8,64810
HTV,20100513,17.6,17.6,16.8,16.8,55590
HTV,20100512,17.5,17.5,16.9,16.9,238120
HTV,20100511,18.6,18.6,17.4,17.8,94090
HTV,20100510,18.2,18.5,17.9,17.9,205480
HTV,20100507,18.9,18.9,18.8,18.8,147500
HTV,20100506,19.6,19.7,19.1,19.7,156880
HTV,20100505,19.2,19.2,18.3,19.1,149230
HTV,20100504,19.1,19.2,18.8,19.2,473450
HTV,20100429,17.7,18.3,17.5,18.3,255320
HTV,20100428,17.3,17.7,17.2,17.5,50450
HTV,20100427,17.5,17.6,17.4,17.4,34990
HTV,20100426,17.7,17.8,17.5,17.5,44800
HTV,20100422,18.1,18.3,17.7,17.7,121620
HTV,20100421,17.4,17.7,17.2,17.5,134270
HTV,20100420,17.6,17.6,17,17.2,99810
HTV,20100419,17.5,17.6,17.2,17.4,66710
HTV,20100416,17.8,17.8,17.2,17.5,119920
HTV,20100415,17,17.3,16.9,17.3,174460
HTV,20100414,16.6,17,16.4,16.5,126260
HTV,20100413,17.5,17.6,17.2,17.2,98890
HTV,20100412,18.2,18.2,18.1,18.1,350170
HTV,20100409,16.8,17.4,16.8,17.3,129440
HTV,20100408,16.9,16.9,16.6,16.8,76480
HTV,20100407,16.6,16.8,16.4,16.5,33820
HTV,20100406,16.7,16.9,16.5,16.5,28170
HTV,20100405,16.9,17,16.5,16.7,85180
HTV,20100402,16.4,16.4,15.8,16.3,45880
HTV,20100401,16.1,16.3,16,16.3,33470
HTV,20100331,16.3,16.4,16.1,16.1,34120
HTV,20100330,16.2,16.6,16.2,16.3,25940
HTV,20100329,16.7,16.7,16.1,16.4,27530
HTV,20100326,17,17,16.1,16.3,64070
HTV,20100325,16.5,16.8,16.3,16.3,57280
HTV,20100324,16.6,17.2,16.6,17.1,35610
HTV,20100323,16.6,16.9,16.4,16.6,42040
HTV,20100322,17.1,17.3,16.4,16.4,28720
HTV,20100319,16.8,17.1,16.7,17.1,23830
HTV,20100318,16.5,17.1,16.5,16.8,27540
HTV,20100317,17,17.2,16.3,16.3,66120
HTV,20100316,17.3,17.8,17,17,139010
HTV,20100315,18.7,18.7,17.9,17.9,98960
HTV,20100312,18.5,18.8,17.8,18.7,52960
HTV,20100311,18.7,18.7,18.6,18.7,312190
HTV,20100310,17.8,17.8,17.8,17.8,128330
HTV,20100309,16.4,17.1,16.4,16.9,216340
HTV,20100308,15.9,16.6,15.9,16.6,127650
HTV,20100305,16.3,16.3,15.9,15.9,9800
HTV,20100304,16.7,17,16.3,16.3,40670
HTV,20100303,15.6,16.6,15.6,16.6,40760
HTV,20100302,16.3,16.3,15.8,15.9,9800
HTV,20100301,15.8,16.1,15.8,16.1,24560
HTV,20100226,15.6,15.8,15,15.8,30180
HTV,20100225,15.5,15.7,14.9,15.1,166420
HTV,20100224,15.8,15.9,15.6,15.7,4650
HTV,20100223,15.8,16.4,15.7,16.3,5430
HTV,20100222,16.4,16.4,16.4,16.4,9750
HTV,20100212,17,17,16.3,16.3,6440
HTV,20100211,16.3,16.3,16,16.3,5810
HTV,20100210,16.8,16.8,15.6,15.6,15670
HTV,20100209,16.3,16.6,16.1,16.4,5630
HTV,20100208,16.3,16.5,16.1,16.5,27640
HTV,20100205,16.8,16.9,16.6,16.6,22460
