<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ILC,20100729,21,21.5,21,21.2,42500
ILC,20100728,21.1,21.1,20,20.9,60100
ILC,20100727,22.2,22.2,21,21.1,12500
ILC,20100726,23.6,23.6,20.6,21.2,16500
ILC,20100723,22.1,22.1,22,22.1,16200
ILC,20100722,20.5,20.9,20.4,20.7,16100
ILC,20100721,19,19.8,19,19.6,3600
ILC,20100720,19,19,18.7,19,8000
ILC,20100719,20,20,19,19.3,7500
ILC,20100716,20,20,19.5,19.6,2100
ILC,20100715,19.5,20.3,19.5,20,4000
ILC,20100714,20.4,20.4,20,20.2,7400
ILC,20100713,20.8,20.8,20,20.2,8800
ILC,20100712,20.4,20.4,19.5,19.9,4600
ILC,20100709,20.2,20.2,19.1,19.5,4900
ILC,20100708,19.4,19.5,19,19.2,3200
ILC,20100707,20,20,19.2,19.3,1100
ILC,20100706,19,20.3,19,19.7,200200
ILC,20100705,20.4,20.4,20.4,20.4,6000
ILC,20100702,19.5,19.5,19,19.1,1000
ILC,20100701,19.5,19.5,19.5,19.5,7200
ILC,20100630,19,21.2,19,20.9,118100
ILC,20100629,20.4,20.4,20,20.4,3500
ILC,20100628,20.4,20.4,19,19.1,4200
ILC,20100625,19.3,19.5,19.3,19.4,5000
ILC,20100624,19.6,19.6,19.6,19.6,3000
ILC,20100623,19.9,19.9,19.9,19.9,1000
ILC,20100622,20,20,19.5,19.9,7000
ILC,20100621,21.3,21.3,19.9,20,13300
ILC,20100617,21.3,21.3,21.3,21.3,100
ILC,20100616,20.5,20.5,20.5,20.5,100
ILC,20100615,20,20,20,20,500
ILC,20100614,20.9,21,20.9,21,3600
ILC,20100611,20,20,19,19.7,5600
ILC,20100610,19.3,20.3,19.3,20.1,4400
ILC,20100609,20,20,18.6,19.1,8000
ILC,20100608,18.9,18.9,18.9,18.9,2200
ILC,20100607,19.2,20,19.2,19.7,3700
ILC,20100604,19.5,21,19.5,20.5,3400
ILC,20100603,20,21.5,20,20.1,3200
ILC,20100602,22.8,22.8,20,21.4,6400
ILC,20100601,21.4,22.8,21.4,21.5,29600
ILC,20100531,23,23,23,23,100
ILC,20100528,20,21.8,20,21.6,26500
ILC,20100527,20.5,20.6,20.3,20.4,44500
ILC,20100526,20,21.2,20,20.5,23600
ILC,20100525,19.2,20.8,19.2,19.9,6700
ILC,20100524,19.5,19.7,19.5,19.6,2400
ILC,20100521,18.5,19.4,18.3,18.5,35800
ILC,20100520,18.9,19.7,18.8,19.5,23000
ILC,20100519,18.6,19,18.4,18.5,37000
ILC,20100518,20.3,20.3,19.3,19.6,186800
ILC,20100517,21.6,23,20.3,20.7,31800
ILC,20100514,21.6,21.9,21.6,21.7,55000
ILC,20100513,24.5,24.6,22.9,23.2,38900
ILC,20100512,25,25,24.5,24.6,43200
ILC,20100511,27.5,27.5,26.1,26.3,27700
ILC,20100510,28.9,28.9,25.8,28,49300
ILC,20100507,26.3,28,25.5,27.1,132800
ILC,20100506,23.2,26.3,23,26.3,71700
ILC,20100505,24.5,25.9,24.1,24.6,86200
ILC,20100504,26.7,26.7,24.9,25.9,67800
ILC,20100429,27,28.1,25.2,26.7,75700
ILC,20100428,25.3,27.9,25,27,131700
ILC,20100427,26,28,25,26.6,46600
ILC,20100426,26.6,26.6,26,26.5,245100
ILC,20100422,24.9,24.9,24.9,24.9,103000
ILC,20100421,23.3,23.3,23,23.3,201800
ILC,20100420,21.8,21.8,21.8,21.8,16600
ILC,20100419,20.4,20.4,20.4,20.4,17400
ILC,20100416,18.6,19.4,18.3,19.1,34500
ILC,20100415,18.2,18.3,18.2,18.2,7500
ILC,20100414,18.5,18.7,18.5,18.6,6600
ILC,20100413,18,18.5,18,18.5,5100
ILC,20100412,18.1,18.2,18.1,18.2,1300
ILC,20100409,19,19.7,17.5,19.3,18200
ILC,20100408,19,19,18,18.5,3000
ILC,20100407,18.6,18.6,18.6,18.6,100
ILC,20100406,18,18.1,18,18,1900
ILC,20100405,17.4,18,17.4,17.7,400
ILC,20100402,18.5,18.5,18.5,18.5,100
ILC,20100331,18.1,18.1,17.8,18,2300
ILC,20100330,18.5,18.5,18.5,18.5,100
ILC,20100329,18.5,18.5,17.3,17.5,600
ILC,20100326,19.3,19.3,16.9,17.3,3300
ILC,20100325,19.5,19.5,17.9,18.1,3100
ILC,20100324,18.5,18.6,18.4,18.5,1200
ILC,20100323,19.7,19.7,19.7,19.7,100
ILC,20100322,19.5,19.8,19,19.2,5200
ILC,20100319,19.2,19.6,18.3,18.8,15200
