<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KBC,20100729,35.5,35.8,35,35.5,89130
KBC,20100728,35.6,35.9,35.5,35.5,301680
KBC,20100727,35.7,36,35.6,35.6,120250
KBC,20100726,36,36,35.7,35.9,51300
KBC,20100723,36,36.2,36,36,51540
KBC,20100722,36,36.1,35.9,36,271870
KBC,20100721,36.2,36.2,36,36,124050
KBC,20100720,36.1,36.3,36.1,36.2,136890
KBC,20100719,36.5,36.5,36,36.1,94320
KBC,20100716,36.6,36.7,36.4,36.5,100930
KBC,20100715,37,37,36.4,36.4,56840
KBC,20100714,37.8,37.8,37,37,132370
KBC,20100713,36.5,37.8,36.5,37.3,282140
KBC,20100712,36,36.1,35.9,36,77280
KBC,20100709,36,36.1,35.8,36,164670
KBC,20100708,36,36,35.6,35.6,62560
KBC,20100707,36.4,36.4,35.7,35.7,97720
KBC,20100706,36.5,37,36.1,36.1,185080
KBC,20100705,36,37,35.6,37,306070
KBC,20100702,35.7,35.8,35.5,35.6,236490
KBC,20100701,36.1,36.2,35.8,35.9,232250
KBC,20100630,35.2,36.4,35.2,36.4,340240
KBC,20100629,37.9,37.9,36.5,36.5,290790
KBC,20100628,36.1,37.5,36.1,37.4,1274960
KBC,20100625,36.3,36.7,36,36,1116640
KBC,20100624,38,38,37.3,37.3,906250
KBC,20100623,37.7,38,37.3,38,369510
KBC,20100622,38,38.7,37.7,38,487680
KBC,20100621,39.3,39.3,38.7,38.7,717290
KBC,20100618,39,39.3,39,39.3,981000
KBC,20100617,38,38.7,38,38.7,1011910
KBC,20100616,37.7,38,37.3,38,423100
KBC,20100615,37.3,37.7,37,37.7,459720
KBC,20100614,37,37.3,36.7,37.3,373230
KBC,20100611,37,37,36.3,37,630660
KBC,20100610,36.3,36.7,36,36.7,386390
KBC,20100609,36.3,36.3,36,36.3,428970
KBC,20100608,36,36,35.3,36,428950
KBC,20100607,35.3,36,34.7,35.7,866130
