<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KKC,20100729,38.6,40.5,38.6,40,349700
KKC,20100728,41.9,41.9,39,39.4,89000
KKC,20100727,44,44,40.3,40.7,65300
KKC,20100726,40.3,43,40.3,41.5,134600
KKC,20100723,41.8,41.8,38,40.2,99500
KKC,20100722,40,41,40,40.4,74100
KKC,20100721,42,42,40.9,41.2,138800
KKC,20100720,42.3,42.5,41.5,41.9,101000
KKC,20100719,42.1,42.7,41.9,42.2,219900
KKC,20100716,43,43.5,42.5,42.9,72600
KKC,20100715,43,44.9,43,43.9,194100
KKC,20100714,43.9,44.5,42.7,43.5,78800
KKC,20100713,42.8,43.8,42.5,43.3,240500
KKC,20100712,41.8,42.8,41.3,42,69600
KKC,20100709,42.2,42.2,41.5,41.9,126300
KKC,20100708,43,44,41.6,42.2,107500
KKC,20100707,43,43,41.3,41.9,183400
KKC,20100706,42.5,42.5,41,41.7,105700
KKC,20100705,44.2,44.2,42.2,43,120600
KKC,20100702,42.6,43.9,42,43.1,116300
KKC,20100701,43.7,44,42.2,42.8,214800
KKC,20100630,45,45,43,43.6,215500
KKC,20100629,45.6,47.4,45.1,46,133800
KKC,20100628,47.5,47.5,44.7,45.6,190600
KKC,20100625,47.8,48.3,45,47.3,553100
KKC,20100624,45.3,45.3,45,45.3,651600
KKC,20100623,42,43,42,42.4,123200
KKC,20100622,42.7,45,42,43.1,282800
KKC,20100621,43,43,42.3,42.7,157300
KKC,20100618,43.3,43.3,41.4,42.6,134800
KKC,20100617,45.8,45.8,42.1,43.3,73200
KKC,20100616,45,45.4,44,45.1,318900
KKC,20100615,41,43.2,40.6,42.5,450600
KKC,20100614,40,41.2,39.9,40.4,213900
KKC,20100611,39.8,40.5,39.6,40,153000
KKC,20100610,38.5,39.7,38,39.3,168900
KKC,20100609,39.5,40,38.5,39.2,80600
KKC,20100608,35.6,39.8,35.6,38.8,204900
KKC,20100607,39.5,39.5,38.1,38.2,174200
KKC,20100604,41,41.8,40.1,40.9,82500
KKC,20100603,43.9,43.9,41.5,42.2,89100
KKC,20100602,39.1,42.8,38.6,41.9,314700
KKC,20100601,40.5,42,39.2,40.3,228500
KKC,20100531,42,43.4,40,40.9,163500
KKC,20100528,42.5,42.5,42,42.5,210700
KKC,20100527,40,40,36.8,39.8,264900
KKC,20100526,36,37.8,36,37.4,105700
KKC,20100525,34,36.6,33.7,35.4,297600
KKC,20100524,34.5,36.8,34.5,36.2,149300
KKC,20100521,39,39,35.8,35.8,209400
KKC,20100520,37.7,41.8,37.5,38.4,307800
KKC,20100519,41,41,40.2,40.3,189600
KKC,20100518,46,46,42.4,43.2,87600
KKC,20100517,44.9,45.9,43,45.5,215600
KKC,20100514,42,42.9,42,42.9,203900
KKC,20100513,40,43,39.9,40.1,615400
KKC,20100512,45.5,45.5,42.8,42.9,130500
KKC,20100511,51,52,45.4,46,349700
KKC,20100510,51.5,53,48.4,48.8,364500
KKC,20100507,54.6,54.6,51.9,52,507800
KKC,20100506,56,58,54.5,55.7,562500
KKC,20100505,58.5,58.5,55,56.6,266800
KKC,20100504,60,60.5,57.1,58.7,230300
KKC,20100429,54,57,54,56.6,295200
KKC,20100428,50.2,54.3,50,53.3,478100
KKC,20100427,51,52,49.5,50.8,303000
KKC,20100426,50,53,48.5,49.8,340600
KKC,20100422,53,54.4,48.1,51.5,448500
KKC,20100421,51,51,48.5,51,733700
KKC,20100420,46.5,48.2,45.5,47.7,195400
KKC,20100419,43.7,46.6,41.5,45.1,811500
KKC,20100416,43.7,43.7,41,43.6,569400
KKC,20100415,39.4,41,39.4,40.9,248800
KKC,20100414,37,39.4,37,38.4,427900
KKC,20100413,37.8,37.9,36.5,37,203300
KKC,20100412,38,39.4,37.2,38.2,316300
KKC,20100409,39.3,41.5,38.8,39.6,363100
KKC,20100408,37.9,40,37.9,39.3,440400
KKC,20100407,37.5,38.9,36.9,37.9,442500
KKC,20100406,37.4,37.4,36.6,37.3,998100
KKC,20100405,33,35,33,35,64300
KKC,20100402,33.4,33.4,32.4,32.8,130500
KKC,20100401,33.2,33.9,32,32.7,118100
KKC,20100331,33.7,33.8,32.7,33.4,154400
KKC,20100330,33.8,34.3,33.2,33.7,92000
KKC,20100329,33.3,34.9,32.6,33.6,215000
KKC,20100326,34.5,34.5,31.7,33,135400
KKC,20100325,34.4,34.4,32.3,33.3,155200
KKC,20100324,34,35.3,33.8,34.4,125900
KKC,20100323,34.2,34.5,33.1,33.7,168600
KKC,20100322,35.8,35.8,34,34.7,90500
KKC,20100319,35.8,36.5,35,35.5,110200
KKC,20100318,34.4,36.5,33.5,35.2,200800
KKC,20100317,35,36,33.5,34.5,202800
KKC,20100316,36.8,37,35,35.9,307600
KKC,20100315,38.3,38.9,37.1,37.6,285900
KKC,20100312,38.5,39.5,37.5,38.4,206200
KKC,20100311,35.5,37.3,35.2,37.2,419300
KKC,20100310,35,35.9,34,34.9,232400
KKC,20100309,36,36,33,35,156600
KKC,20100308,34,35.5,34,35.4,302800
KKC,20100305,33.1,33.9,32.2,33.2,281300
KKC,20100304,33.3,34.3,32.8,33.4,175100
KKC,20100303,34,34,32,33.4,159900
KKC,20100302,33.1,33.1,32,32.9,493200
KKC,20100301,29.8,31.2,29.5,31,268000
KKC,20100226,28.9,29.6,28.7,29.2,91100
KKC,20100225,29,29.1,28.4,28.9,54400
KKC,20100224,27.5,29.3,27.3,28.4,67700
KKC,20100223,28,28,27.3,27.6,84800
KKC,20100222,30,30,28.5,29.1,41400
KKC,20100212,29.5,30,28.8,29,64800
KKC,20100211,27.8,29,27.8,28.6,46800
KKC,20100210,28.8,28.9,28,28.2,21600
KKC,20100209,28.6,28.7,27.7,28,16000
KKC,20100208,29.8,29.8,28.2,28.7,33000
KKC,20100205,28.6,30.1,28.1,29.4,260700
KKC,20100204,28,28.8,27.8,28.5,107400
KKC,20100203,28.2,28.5,28,28.3,66700
KKC,20100202,29.5,29.5,27.6,28.2,30100
KKC,20100201,28,28.9,27.6,28.4,67500
KKC,20100129,28.1,28.2,27,28,83600
KKC,20100128,28.5,29,27.6,28.1,84800
KKC,20100127,30.5,30.7,27.8,29.5,116000
KKC,20100126,28.8,28.8,28.8,28.8,65300
KKC,20100125,26.1,27.2,26.1,27,106100
KKC,20100122,24.2,26.4,24.2,25.5,70500
KKC,20100121,25.6,26.5,25.1,25.3,135200
KKC,20100120,28.6,28.7,26.6,26.9,148000
KKC,20100119,26.8,29.5,26.8,28.6,82200
KKC,20100118,29.5,29.6,28.7,28.8,52600
KKC,20100115,31.9,33,29.7,30.8,61600
KKC,20100114,30.5,31.8,30.5,31.7,162200
KKC,20100113,29,31.5,27.9,29.8,130500
KKC,20100112,30.5,31,28.9,29.9,169500
KKC,20100111,32.3,32.5,30.2,31,111900
KKC,20100108,31,34,30.5,32.3,218600
KKC,20100107,31,33.4,31,32.1,195300
KKC,20100106,34.3,34.3,31.1,32.6,252600
KKC,20100105,32.6,32.6,32.1,32.6,177500
KKC,20100104,30,30.6,30,30.5,51200
KKC,20091231,27.9,28.7,27.9,28.6,238800
KKC,20091230,26,27.6,25,26.9,132900
KKC,20091229,25.9,27.2,25.6,26.2,125200
KKC,20091228,27.9,28.2,26.6,27.4,136700
KKC,20091225,26.3,26.7,26.3,26.7,50500
KKC,20091224,24.2,25.7,23.6,25,178800
KKC,20091223,23.7,25.2,22.8,24.1,157200
KKC,20091222,25.3,25.3,23.3,24.2,93000
KKC,20091221,23.6,23.7,23.6,23.7,182400
KKC,20091218,22,22.3,21.5,22.2,54700
KKC,20091217,20.7,22,20.7,20.9,97900
KKC,20091216,22.2,22.4,22.1,22.2,75100
KKC,20091215,24.5,24.6,23.1,23.7,99700
KKC,20091214,20.5,23.3,20.5,23.1,143900
KKC,20091211,22.6,22.6,21.8,21.8,102000
KKC,20091210,25,25,23.1,23.4,86900
KKC,20091209,26.4,26.4,24.7,24.8,92500
KKC,20091208,27,27.4,25.7,26.5,79500
KKC,20091207,27.1,27.4,27,27.1,62600
KKC,20091204,27.5,27.9,26.6,27.1,72500
KKC,20091203,26.1,27.6,26.1,27,71100
KKC,20091202,29,29.2,26.6,27.8,201900
KKC,20091201,27.8,28.7,27.8,28.6,158000
KKC,20091130,26,27.6,26,26.9,133700
KKC,20091127,25.3,28,25.3,26,210400
KKC,20091126,27.2,28,27.1,27.1,105900
KKC,20091125,29.5,30,28.9,29.1,120200
KKC,20091124,33.1,33.1,30.8,31,156600
KKC,20091123,34.8,35,32.4,33.1,99300
KKC,20091120,36.1,36.1,34.1,34.8,102400
KKC,20091119,35.5,36.5,35.5,36.1,143500
KKC,20091118,37,38,33.6,34.9,197300
KKC,20091117,35.6,35.6,34.2,35.6,374500
KKC,20091116,33.3,33.3,33.3,33.3,44200
KKC,20091113,30.1,32.1,29.5,31.2,277000
KKC,20091112,30,30.9,29.1,30,185800
