<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KSD,20100729,26.3,26.3,25.5,25.7,37100
KSD,20100728,27.3,27.3,25.4,25.7,163800
KSD,20100727,28.4,28.4,26.8,27.3,44200
KSD,20100726,29.5,29.5,27.9,28.1,112200
KSD,20100723,32.7,32.9,28.8,29.9,155400
KSD,20100722,30.5,30.8,28.9,30.8,415100
KSD,20100721,28,28.8,28,28.8,244100
KSD,20100720,26.3,27.9,26.3,27,35100
KSD,20100719,26,27,26,26.7,29100
KSD,20100716,27.2,27.3,26.6,26.8,19300
KSD,20100715,26.6,27.5,26.2,26.6,27700
KSD,20100714,27.5,28,27.2,27.5,17900
KSD,20100713,28.5,28.5,27.6,27.7,13600
KSD,20100712,27.1,27.3,27,27.1,10800
KSD,20100709,26.5,27.2,26.5,27,24600
KSD,20100708,26.8,27,26.5,26.6,25500
KSD,20100707,27.5,27.5,26,26.8,40400
KSD,20100706,28,28,27,27.4,21700
KSD,20100705,28.1,28.1,27.6,27.8,32800
KSD,20100702,28,28,27.3,27.6,9100
KSD,20100701,28.2,28.3,27.1,27.9,26700
KSD,20100630,27.6,28.5,27.5,27.8,42400
KSD,20100629,31.3,31.3,28.6,29.1,32900
KSD,20100628,32,32,29.3,29.9,31200
KSD,20100625,29.5,31.2,29.2,30.5,80800
KSD,20100624,29,30,27.8,29.2,65300
KSD,20100623,30,31,29.3,29.8,60800
KSD,20100622,32,32.5,30.1,31,39000
KSD,20100621,32,34.5,31.1,32.3,72000
KSD,20100618,34,34,32.3,32.5,126500
KSD,20100617,34.7,34.7,34,34.7,120000
KSD,20100616,32.5,32.5,32,32.5,130500
KSD,20100615,30.4,30.4,30.4,30.4,86600
KSD,20100614,26.4,28.6,26.4,28.5,106500
KSD,20100611,27.7,27.8,26.6,26.8,25000
KSD,20100610,26.8,27.2,26,26.4,7000
KSD,20100609,28.4,28.4,27,27.3,4300
KSD,20100608,27.6,27.7,26.9,27.4,6800
KSD,20100607,27.5,27.5,25.8,26.1,31900
KSD,20100604,27.9,27.9,27,27.7,11500
KSD,20100603,27.5,28,27,27.6,11600
KSD,20100602,27,27.8,27,27.3,10300
KSD,20100601,27,28,26.6,27.1,20100
KSD,20100531,29,29.8,28.2,28.6,23600
KSD,20100528,30.9,30.9,29,30.3,53800
KSD,20100527,28,29.5,27.5,28.9,19800
KSD,20100526,25.8,28,25.8,27.6,43500
KSD,20100525,26,26.6,25.8,26.2,31000
KSD,20100524,27.5,29.5,27.5,27.7,21400
KSD,20100521,29.5,29.5,29.5,29.5,12100
KSD,20100520,31,35.3,31,31.7,45300
KSD,20100519,33.3,33.4,33.3,33.3,23900
KSD,20100518,38,38,35.4,35.7,30000
KSD,20100517,36,38.3,36,38,65700
KSD,20100514,33.8,38.8,33.8,35.8,80000
KSD,20100513,36.3,36.3,36.3,36.3,11000
KSD,20100512,39,39,39,39,20800
KSD,20100511,41.9,43,41.9,41.9,48500
KSD,20100510,45,45,45,45,300
KSD,20100507,48.3,48.3,48.3,48.3,3000
KSD,20100506,51.5,54,51.5,51.9,17600
KSD,20100505,56,56.5,53.3,55.3,10000
KSD,20100504,52.5,56.1,50,53.3,45300
KSD,20100429,49,53.3,49,52.5,70600
KSD,20100428,50,61,46.2,49.9,124700
