<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
L61,20100729,21.4,22,20.6,21.6,12700
L61,20100728,22,22.4,20.4,21,33700
L61,20100727,22,22,20.8,21,36900
L61,20100726,21.8,22,21,21.7,32300
L61,20100723,21.9,22,21.7,21.8,26800
L61,20100722,22.3,22.4,21.7,21.9,48600
L61,20100721,24,24.3,22.8,23.2,102400
L61,20100720,22,23.1,22,22.9,294000
L61,20100719,21.2,22.1,21,21.6,95900
L61,20100716,20.9,21.8,20.3,21.3,42800
L61,20100715,21,21.1,20.5,20.9,19200
L61,20100714,22.3,22.3,20.5,21.1,56100
L61,20100713,22.5,22.6,20,21.7,55700
L61,20100712,20,21.5,20,21.3,68700
L61,20100709,20.7,20.7,19.7,20.1,33100
L61,20100708,21.3,21.4,20,20.7,47400
L61,20100707,21,21,20,20.4,63100
L61,20100706,20.6,21.4,20.6,20.8,41200
L61,20100705,21.6,22.4,21.6,21.9,35700
L61,20100702,23.2,23.2,21.8,22.4,59800
L61,20100701,21,21.8,21,21.7,117200
L61,20100630,19.8,21.9,19.2,20.4,110900
L61,20100629,21.5,21.5,20.1,20.6,68400
L61,20100628,22.8,22.9,21.3,21.6,83800
L61,20100625,22.5,23.2,21.7,22.8,232700
L61,20100624,21.5,21.7,20.5,21.7,161700
L61,20100623,19.4,20.7,18.5,20.3,157100
L61,20100622,20,20,18.8,19.4,65500
L61,20100621,18.5,19.3,18.5,19.3,82700
L61,20100618,18.5,18.5,17.7,18.1,29300
L61,20100617,18.8,18.8,18.2,18.5,27700
L61,20100616,17.7,18.9,17.7,18.8,79400
L61,20100615,17.5,18,17.4,17.7,32000
L61,20100614,17.7,17.9,17.6,17.7,9800
L61,20100611,18.5,18.5,17.5,17.6,16100
L61,20100610,17.8,18,17.3,17.7,6200
L61,20100609,17.6,17.7,17,17.4,38700
L61,20100608,16.5,17,16.1,16.6,36600
L61,20100607,17.5,17.5,16.5,16.6,39300
L61,20100604,18.1,18.4,17,17.7,13400
L61,20100603,19,19,17.9,18,20200
