<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LCS,20100729,31.2,31.2,30,31.2,178600
LCS,20100728,29.2,29.2,29.2,29.2,300
LCS,20100727,27.7,28,26.7,27.3,149100
LCS,20100726,28,28.7,27.7,28,112900
LCS,20100723,29.7,30.1,28.2,29.2,53900
LCS,20100722,29.7,29.7,28.7,29.7,166100
LCS,20100721,27.9,28.3,27.1,27.9,143700
LCS,20100720,26.1,27.3,26.1,26.6,39900
LCS,20100719,27.3,28,27,27.7,65500
LCS,20100716,26.3,27.1,26,26.6,63000
LCS,20100715,27.1,27.3,26.8,27.1,34500
LCS,20100714,28.6,28.6,27.7,27.9,52000
LCS,20100713,29.2,29.4,28,29.1,50500
LCS,20100712,27.4,29.3,27.4,27.6,133500
LCS,20100709,29.3,29.3,29.3,29.3,1000
LCS,20100708,32.1,32.1,28.7,31.4,202800
LCS,20100707,30.1,30.1,30.1,30.1,30700
LCS,20100706,25.3,30.7,24.7,28.2,278800
