<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MCC,20100729,23.7,23.7,23.5,23.7,103050
MCC,20100728,22.5,22.7,22.2,22.2,69900
MCC,20100727,24.5,24.5,22.2,22.3,3100
MCC,20100726,23.5,23.9,23.5,23.7,2200
MCC,20100723,25,25,25,25,100
MCC,20100722,24.4,24.4,24,24.2,4000
MCC,20100721,24.9,24.9,24.2,24.4,1400
MCC,20100720,24.1,24.5,24,24.2,5200
MCC,20100719,24.2,24.2,24,24.1,3200
MCC,20100716,25,25,25,25,100
MCC,20100715,24.7,24.7,24,24.2,300
MCC,20100714,25,25,24,24.2,6100
MCC,20100713,25.8,25.8,24.2,24.3,4800
MCC,20100712,26.1,26.1,24,24.2,6200
MCC,20100709,25,25,25,25,100
MCC,20100708,24.2,24.2,24.2,24.2,13000
MCC,20100707,26,26,26,26,100
MCC,20100706,24.7,24.7,24,24.5,4300
MCC,20100705,25.8,26.1,24.3,24.7,2200
MCC,20100702,24.5,24.9,24.2,24.4,4300
MCC,20100701,25,25,24.3,24.4,54000
MCC,20100630,25,25,24.5,24.7,2300
MCC,20100629,26.5,26.5,26,26,1200
MCC,20100628,26.7,26.7,25,25.4,1100
MCC,20100625,25,25,25,25,600
MCC,20100624,25.6,25.6,25.4,25.4,9200
MCC,20100623,25.5,26.9,25.5,25.7,2700
MCC,20100622,26,27,25,26.1,51300
MCC,20100621,26.1,26.1,26,26,800
MCC,20100618,26,26,26,26,200
MCC,20100617,27.6,27.6,26,26.7,4900
MCC,20100616,26,26.9,26,26,68700
MCC,20100615,28.5,28.5,27,27.9,1200
MCC,20100614,26,26.9,26,26.7,1300
MCC,20100611,25.2,25.2,25.2,25.2,100
MCC,20100610,26.9,26.9,26.9,26.9,1000
MCC,20100609,27,27,27,27,100
MCC,20100608,25.9,27.1,25.9,26.2,2000
MCC,20100607,25.4,27.1,25.3,25.4,4700
MCC,20100604,27.1,27.1,27.1,27.1,1000
MCC,20100603,28.8,28.8,28.8,28.8,100
MCC,20100602,27.9,27.9,27.1,27.3,2400
MCC,20100601,28,28,27.8,27.9,300
MCC,20100531,27.2,27.3,27.2,27.2,1300
MCC,20100528,27.9,28,27.9,28,3900
MCC,20100527,26.5,27,24,26.2,4400
MCC,20100526,25.5,25.5,25.1,25.3,6000
MCC,20100525,25.3,25.3,23.9,23.9,30400
MCC,20100524,26,26,25.6,25.6,2400
MCC,20100521,28.5,28.5,26.6,27.5,12100
MCC,20100520,28,30.5,28,28.6,10700
MCC,20100519,30.2,30.2,28.1,28.6,2500
MCC,20100518,30.2,30.2,30.2,30.2,100
MCC,20100517,29.6,30.6,29.6,30.1,400
MCC,20100514,30.5,31.5,30.4,30.9,10100
MCC,20100513,29.5,29.5,29.5,29.5,200
MCC,20100512,30.5,30.7,30.5,30.6,24100
MCC,20100511,31.3,31.3,30,30.3,18200
MCC,20100510,30.5,31.4,30.5,31.1,5400
MCC,20100507,30,32,30,31.3,1600
MCC,20100506,32,32,32,32,12000
MCC,20100505,30.8,32,30.8,31.7,8900
MCC,20100504,31.3,31.3,30,30.8,1800
MCC,20100429,31.5,31.5,31,31.2,12200
MCC,20100428,31.5,32,30.5,30.9,4900
MCC,20100427,33,34,31,32,6500
MCC,20100426,32,35,30.1,32.8,5800
