<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MIH,20100729,53.5,53.6,53,53.3,62100
MIH,20100728,54.5,54.6,52.8,53.7,64400
MIH,20100727,54,54.7,53.9,54.5,40600
MIH,20100726,56,56.5,53.5,54.7,59000
MIH,20100723,55,55.8,54.5,55,106600
MIH,20100722,56,56.5,55.8,55.9,63200
MIH,20100721,57.7,57.7,55.2,56.9,71600
MIH,20100720,54,57.8,54,55.9,90100
MIH,20100719,54.5,55.5,54,54.1,111500
MIH,20100716,56.7,56.7,54.8,55.1,60600
MIH,20100715,57,57,56.3,56.7,37100
MIH,20100714,54.8,57.5,54.8,56.5,51800
MIH,20100713,54,54.5,53.5,53.9,66700
MIH,20100712,52.9,52.9,51,52.4,54300
MIH,20100709,53.8,53.8,50.5,52.6,63200
MIH,20100708,54.2,54.5,52,53.6,33400
MIH,20100707,54,55,53.3,53.9,42100
MIH,20100706,55,55,52.7,53.1,35400
MIH,20100705,49.5,55,49.5,53,49900
MIH,20100702,54.5,55,50.1,53.2,37600
MIH,20100701,54.7,54.7,52,53.8,85900
MIH,20100630,50,52,50,51.2,24200
MIH,20100629,42,51,42,48.6,44900
