<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MTG,20100729,25.9,25.9,25.1,25.9,105940
MTG,20100728,26.3,26.3,25,25.1,119460
MTG,20100727,26,26.1,25.5,25.5,72380
MTG,20100726,26.2,26.8,26,26,68690
MTG,20100723,26.7,27.4,26.1,26.2,122940
MTG,20100722,27.1,27.4,26.3,26.5,163500
MTG,20100721,28,28,26.8,27.4,118280
MTG,20100720,28.5,28.5,27.1,28,37100
MTG,20100719,28.5,28.8,27.8,28.2,207060
MTG,20100716,27.7,27.7,27.5,27.7,322580
MTG,20100715,26.4,26.4,26.4,26.4,136880
MTG,20100714,26.2,26.5,25.2,25.2,58340
MTG,20100713,26,26.2,26,26.2,64180
MTG,20100712,26.2,26.2,25,25,73270
MTG,20100709,25.3,26.7,25.3,25.9,36920
MTG,20100708,27,27.5,26,26,106490
MTG,20100707,27.2,28.5,27,27,59690
MTG,20100706,28,28.2,27.4,27.4,71760
MTG,20100705,28,28.8,28,28.8,46200
MTG,20100702,27.5,28,27,28,60300
MTG,20100701,27.5,27.5,26.8,27,4480
MTG,20100630,25.4,27.4,25.4,26.7,156800
MTG,20100629,27.9,28.3,26.7,26.7,121890
MTG,20100628,28.7,28.8,27.9,27.9,47900
MTG,20100625,28.7,29.2,28.6,28.6,101820
MTG,20100624,31,31,30,30,83560
MTG,20100623,29,30,28.7,30,215280
MTG,20100622,28.2,29.4,28.2,28.6,133860
MTG,20100621,30.5,30.5,28.6,28.6,196380
MTG,20100618,30.4,30.4,28.9,29.4,133430
MTG,20100617,32,32,30.4,30.4,179560
MTG,20100616,32,32,31.7,32,408020
MTG,20100615,30.3,31.4,29.7,30.5,207980
MTG,20100614,32,32,31,31.2,143780
MTG,20100611,30.4,30.5,30,30.5,282990
MTG,20100610,27.5,29.2,27.4,29.1,259000
MTG,20100609,28,28.5,27.7,27.9,204530
MTG,20100608,28.1,28.9,27.8,27.9,147950
MTG,20100607,29,29,27.7,28.8,639360
MTG,20100604,27.7,27.7,27.7,27.7,178400
MTG,20100603,26.4,26.4,26.4,26.4,219610
MTG,20100602,25.2,25.2,25.2,25.2,86100
MTG,20100601,24,24,24,24,53010
