<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PLC,20100729,45.2,47.8,45.2,47.8,25700
PLC,20100728,48.7,48.7,45,45.7,22200
PLC,20100727,49,49,47,47.6,10200
PLC,20100726,48.2,48.2,47.2,47.4,12500
PLC,20100723,48.5,48.5,48,48.2,24000
PLC,20100722,50,50,47.6,48.3,14200
PLC,20100721,49.5,49.5,48.2,48.5,41500
PLC,20100720,49,49,48.5,48.7,11500
PLC,20100719,48.5,49.3,48.5,49,25800
PLC,20100716,49,49.5,47.5,49,31800
PLC,20100715,48.5,49.5,48.5,49,21700
PLC,20100714,51,51,49,49.5,13800
PLC,20100713,50.1,50.2,49.8,50,25400
PLC,20100712,49.5,49.5,48,48.9,22600
PLC,20100709,49,49.4,48.1,48.9,11000
PLC,20100708,51.2,51.2,48.6,49.2,43600
PLC,20100707,50,50,48.7,49,70200
PLC,20100706,51.5,51.5,48.8,49.5,42100
PLC,20100705,51.1,52,51,51.2,18900
PLC,20100702,52,52.4,51,51.5,31900
PLC,20100701,52.7,52.7,51.2,51.5,47800
PLC,20100630,53.2,53.2,51.2,52.2,172500
PLC,20100629,49.6,50.4,49.6,49.8,95400
PLC,20100628,49.6,51.1,48.8,49.7,73600
PLC,20100625,50.4,50.8,50,50.2,68300
PLC,20100624,53.5,53.5,50.8,51.6,43000
PLC,20100623,52,52.8,51.8,52.2,59300
PLC,20100622,49.2,51.8,49.2,51.8,132800
PLC,20100621,49.1,51,46.7,48.5,120700
PLC,20100618,51,51.2,49.8,50.2,61000
PLC,20100617,50.4,50.4,49.6,50.1,13800
PLC,20100616,50.8,51.2,50.3,50.6,38700
PLC,20100615,49.6,51,49.6,50.3,31500
PLC,20100614,50.4,51.4,49.8,50.6,18000
PLC,20100611,51.2,51.2,49.6,49.8,16300
PLC,20100610,48.4,49.7,48.4,49.5,25800
PLC,20100609,49.5,49.5,48.2,48.4,21700
PLC,20100608,44.6,49.5,44.6,48.2,21000
PLC,20100607,48.7,48.7,47.6,47.8,68600
PLC,20100604,51,51.3,50,50.2,24800
PLC,20100603,52,52,51.2,51.5,80200
PLC,20100602,51.2,52,50.2,51.3,50100
PLC,20100601,50.5,51.8,50,51.2,24500
PLC,20100531,55.1,55.1,50.8,51.4,42600
