<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PSC,20100729,34.8,36.5,34.8,36.5,29100
PSC,20100728,34,35,33.9,34.2,133000
PSC,20100727,35,35,34,34,26200
PSC,20100726,34.2,34.2,33.1,34,35800
PSC,20100723,34,34.5,33.8,34.1,33300
PSC,20100722,33.4,34,33.3,33.7,35300
PSC,20100721,33,33.9,33,33.4,49400
PSC,20100720,34,34,32.5,33.3,33800
PSC,20100719,30.1,34.1,30.1,33,49200
PSC,20100716,31.4,31.9,31.4,31.9,27600
PSC,20100715,29,30.5,29,29.9,43500
PSC,20100714,28.5,29.3,28.5,28.9,28600
PSC,20100713,28.1,28.5,28,28.1,5400
PSC,20100712,28,28.4,28,28.4,2300
PSC,20100709,28.2,28.2,27.8,28,1800
PSC,20100708,28.2,28.5,28,28.3,4400
PSC,20100707,28.1,28.5,28,28.2,4800
PSC,20100706,28.2,28.5,27,28.1,5600
PSC,20100705,28.6,28.6,28.6,28.6,3700
PSC,20100702,28.6,28.6,28,28.3,9300
PSC,20100701,27.8,28,27.7,27.8,11600
PSC,20100630,28,28.3,27.6,27.9,15000
PSC,20100629,28.6,28.6,28,28.4,6900
PSC,20100628,28,28.4,28,28,1200
PSC,20100625,28,28.5,27.9,28.3,3400
PSC,20100624,29.5,29.5,28.6,28.9,9400
PSC,20100623,29.3,29.5,29.3,29.4,6900
PSC,20100622,29.5,29.9,29,29.3,19200
PSC,20100621,29.5,30,29.1,29.8,26100
PSC,20100618,29.1,29.2,29,29.1,9100
PSC,20100617,28.8,30,28.7,29.1,9300
PSC,20100616,30,30.5,29,29.4,8700
PSC,20100615,28.5,29.3,28.5,28.9,13500
PSC,20100614,28.7,29,28.5,28.7,18700
PSC,20100611,29,29.5,28.3,28.7,5200
PSC,20100610,27.1,29.2,27.1,28.5,25400
PSC,20100609,27.5,27.6,27,27.4,2300
PSC,20100608,27,28.2,27,27.4,14900
PSC,20100607,27.5,27.9,26.4,27.1,16200
PSC,20100604,28.4,28.5,27,27.9,22200
PSC,20100603,30.5,30.8,26.9,28.5,30700
PSC,20100602,29.5,29.5,28.8,28.9,8500
PSC,20100601,28.5,29.4,27.1,28.1,12700
PSC,20100531,30,30,28.5,29,6400
PSC,20100528,29.4,29.9,29.4,29.9,43300
PSC,20100527,26.7,28.9,26.7,28,8500
PSC,20100526,29,29.3,27,28.6,15200
PSC,20100525,26.8,27.6,26.8,27.4,31700
PSC,20100524,25.2,26.8,25.2,25.8,35700
PSC,20100521,25.5,26,25.1,25.2,69500
PSC,20100520,27,28.5,26.6,26.9,34700
PSC,20100519,31.7,31.7,27.8,28.5,32800
PSC,20100518,30.5,30.9,29,29.8,31600
PSC,20100517,32.9,33,30,31.1,13700
PSC,20100514,31.9,32.9,29.2,31.4,12100
PSC,20100513,31.3,31.5,31.2,31.2,45200
PSC,20100512,33.5,33.6,33.4,33.5,14800
PSC,20100511,38,38,35.8,35.9,18100
PSC,20100510,40,43,37.7,38.4,28200
PSC,20100507,40.5,40.5,40,40.5,144700
PSC,20100506,36.1,38.6,36,37.9,33000
PSC,20100505,37,37.5,35,36.1,89200
PSC,20100504,36.2,36.2,36,36.1,78400
PSC,20100429,33.8,33.9,33.8,33.9,36500
PSC,20100428,30.5,31.9,29.9,31.7,62800
PSC,20100427,30,30,29.2,29.9,20400
PSC,20100426,31,31,29.4,29.5,5100
PSC,20100422,30.1,31.5,30.1,30.5,3700
PSC,20100421,30.4,30.5,29.5,30.1,27300
PSC,20100420,31.8,31.8,29.3,29.5,17100
PSC,20100419,31.5,31.9,30.8,31.5,33000
PSC,20100416,30.5,30.6,30,30.4,14500
PSC,20100415,29,29.3,27.8,28.6,32500
PSC,20100414,28.7,28.7,26.8,27.4,35000
PSC,20100413,30.4,30.4,28.4,28.8,15700
PSC,20100412,32.6,32.7,29.4,30.5,21300
PSC,20100409,32.8,32.8,30.9,31.6,32500
PSC,20100408,30,31.3,29.3,30.9,46400
PSC,20100407,30,30,29,29.3,9500
PSC,20100406,30.7,31.5,30.6,30.7,11800
PSC,20100405,29.1,31.1,29.1,30.8,46200
PSC,20100402,29.9,30.9,29,29.1,20300
PSC,20100401,29.8,29.8,29.8,29.8,500
PSC,20100331,29.9,29.9,29.2,29.3,6600
PSC,20100330,29,29.4,29,29.2,18200
PSC,20100325,29,29.5,29,29.4,500
PSC,20100324,27.5,28.8,27.5,28.6,600
PSC,20100323,29,29,29,29,400
PSC,20100322,28.8,28.8,28.8,28.8,100
PSC,20100319,28,28,28,28,1000
PSC,20100318,28,29,28,28.8,4900
PSC,20100317,29.2,29.2,29.2,29.2,200
PSC,20100316,27.5,29.2,27,27.4,1700
PSC,20100315,28,28,28,28,2600
PSC,20100312,27.6,28,27.6,27.8,200
PSC,20100311,28.5,28.5,28,28.1,1300
PSC,20100310,28.2,29.3,28.2,28.9,300
PSC,20100309,28.1,28.3,28,28.1,1700
PSC,20100308,28.5,28.6,28.5,28.5,1300
PSC,20100305,29.8,29.8,28.5,28.9,4200
PSC,20100303,29.4,29.4,28,28.1,1000
PSC,20100302,28,28,27.9,28,1200
PSC,20100301,30,30,30,30,100
PSC,20100226,29.4,29.4,28,28.5,300
PSC,20100225,27.6,27.6,27.6,27.6,400
PSC,20100224,29.5,29.5,29.5,29.5,100
PSC,20100222,28.9,28.9,28.9,28.9,100
PSC,20100212,27.1,27.1,27.1,27.1,300
PSC,20100211,29.8,29.8,27.5,29,600
PSC,20100210,28.5,28.5,28,28.1,500
PSC,20100209,29.4,29.4,26.8,27,1100
PSC,20100208,28.2,28.2,27.7,28.1,2600
PSC,20100205,29.7,29.7,29.7,29.7,100
PSC,20100204,29,29.9,27.1,28.2,2500
PSC,20100203,28.8,28.8,28.8,28.8,100
PSC,20100202,27,27,27,27,2800
PSC,20100201,29.8,29.8,28,28.9,200
PSC,20100129,28,28,28,28,200
PSC,20100128,27.5,27.5,27.5,27.5,2000
PSC,20100127,27,28.8,27,28.5,1500
PSC,20100126,28.5,28.5,28.2,28.2,800
PSC,20100125,28,28,28,28,100
PSC,20100122,26.5,27,26.5,26.7,2500
PSC,20100121,28.5,28.5,26.5,26.8,800
PSC,20100120,26.5,28.9,26.2,27.2,3500
PSC,20100119,28.1,28.1,28.1,28.1,1000
PSC,20100118,26.8,29.9,26.8,28.6,2500
PSC,20100115,28.8,30,28.6,28.8,5000
PSC,20100114,28.5,30,28.5,29.4,5000
PSC,20100113,26,28.6,26,28.2,2000
PSC,20100112,27,30,26.6,26.9,6800
PSC,20100108,30.3,30.4,28,28.6,3300
PSC,20100107,29.5,29.5,29.2,29.4,9500
PSC,20100106,28,28,27.5,27.6,2800
PSC,20100105,30.2,30.2,28.7,29.4,3700
PSC,20100104,28.8,29.3,27.5,28.7,9800
PSC,20091231,27,28,26.6,27.4,4100
PSC,20091230,25.4,26.9,25.4,26.3,5100
PSC,20091229,26,26,25,25.4,1600
PSC,20091228,26,26.4,25.2,25.6,3800
PSC,20091225,27,27,27,27,2500
PSC,20091224,25.3,26.6,25.2,25.9,8700
PSC,20091223,27,27,27,27,1000
PSC,20091222,28.4,28.4,26.1,27,500
PSC,20091221,27.8,27.8,27.8,27.8,300
PSC,20091218,26.9,27,26.8,26.9,1100
PSC,20091217,25.5,25.5,25.5,25.5,100
PSC,20091216,26.6,26.6,26.6,26.6,300
PSC,20091215,26.8,26.8,26.8,26.8,200
PSC,20091214,25.6,26.5,25.6,25.9,4000
PSC,20091211,25.6,25.7,25.6,25.6,2000
PSC,20091210,27.5,27.5,27.5,27.5,100
PSC,20091209,27.7,29.7,27.7,29.4,2100
PSC,20091208,30,30,29.1,29.7,1500
PSC,20091207,30.6,30.6,29.6,29.9,300
PSC,20091204,30.1,30.1,28.5,29.4,4600
PSC,20091203,27.1,30.1,27.1,28.5,14600
PSC,20091202,27.4,29.6,27.4,28.8,5500
PSC,20091201,30.1,30.1,28.9,29.5,6300
PSC,20091130,27.6,29.1,27.6,28.7,9000
PSC,20091127,27.1,27.2,27.1,27.2,1300
PSC,20091126,25.4,25.4,25.4,25.4,11700
PSC,20091125,28.1,28.1,27.1,27.3,7700
PSC,20091124,28.7,28.7,28.6,28.6,5100
PSC,20091123,29.1,29.1,28.7,28.9,10100
PSC,20091120,29.6,29.6,29,29.1,7400
PSC,20091119,29.1,29.3,29.1,29.2,3200
PSC,20091118,28.7,29.2,28.7,28.9,9800
PSC,20091117,29.1,29.1,29.1,29.1,300
PSC,20091116,30,30,28.6,29,3500
PSC,20091113,28,29.1,28,28.4,2800
PSC,20091112,28.6,29.1,28.6,28.7,3300
PSC,20091111,28.4,28.6,27.2,27.8,11100
PSC,20091110,29.4,29.4,27.9,28.4,3500
PSC,20091109,29.6,29.6,27.5,27.9,12100
PSC,20091106,32,32,28.6,29.6,13500
PSC,20091105,29.9,30.2,28.5,29.9,15800
PSC,20091104,28.4,28.8,28.1,28.2,3400
PSC,20091103,31.2,31.2,28,28.3,7900
PSC,20091102,30.1,30.1,29,29.3,14400
PSC,20091030,32.7,32.8,28.4,31.2,9600
PSC,20091029,31.5,31.5,29.6,30.6,12700
PSC,20091028,32.1,32.1,31.1,31.5,8300
PSC,20091027,32.8,32.8,31.1,31.4,11300
PSC,20091026,33.9,33.9,32.1,32.8,14900
PSC,20091023,35.1,35.2,32.7,33.9,29300
PSC,20091022,34.1,34.3,33.3,34,15500
PSC,20091021,34.1,35.1,32.9,33.9,32200
PSC,20091020,33.1,34.1,32.1,32.9,34400
PSC,20091019,32.4,32.5,31.6,31.9,22900
PSC,20091016,32.9,33.6,32.1,32.6,20900
PSC,20091015,34.6,34.6,32.9,33.1,43200
PSC,20091014,32.8,33.2,32.7,32.9,26700
PSC,20091013,35.3,35.5,32.1,33.7,19400
PSC,20091012,32.9,33.3,32.9,33.2,55700
PSC,20091009,31.2,31.2,30.9,31.1,11100
PSC,20091008,32,32,30.1,30.8,7900
PSC,20091007,29.7,30.2,29.6,30,18400
PSC,20091006,27.9,29.1,27.9,28.2,15700
PSC,20091005,27.6,28.1,26.9,27.9,29200
PSC,20091002,28.6,29.9,27.8,28.6,18500
PSC,20091001,30.6,30.6,28.5,29.9,14600
PSC,20090930,30.1,31,30.1,30.7,6000
PSC,20090929,34.1,34.1,30.7,31,16700
PSC,20090928,32.2,34.4,32.2,32.2,74300
PSC,20090925,35.1,35.1,34.1,34.6,3400
PSC,20090924,37.7,37.7,32.7,34.5,7700
PSC,20090923,35.2,35.2,34.8,35.2,129400
PSC,20090922,31.1,33.3,31.1,32.9,40300
PSC,20090921,31.6,31.6,30.7,31.1,3700
PSC,20090918,31.9,32.8,31.9,32.4,23100
PSC,20090917,33.3,33.3,31.7,31.9,11900
PSC,20090916,34.1,34.1,34,34.1,70600
PSC,20090915,35.3,36.5,35.3,35.8,39200
PSC,20090914,34.3,34.3,34.1,34.3,65000
PSC,20090911,32,32,31.9,32,46100
PSC,20090910,29.9,29.9,29.9,29.9,15500
PSC,20090909,27.9,27.9,27.9,27.9,16800
PSC,20090908,26.1,26.2,26,26.1,2500
PSC,20090907,24.6,24.6,24.3,24.5,5300
PSC,20090904,25.7,25.8,25.6,25.7,3500
PSC,20090903,26.6,26.6,26.1,26.2,2700
PSC,20090901,27.1,27.2,27.1,27.1,3600
PSC,20090831,27.6,27.6,26.6,27.1,12500
PSC,20090828,26.6,26.6,26.1,26.4,5100
PSC,20090827,25.1,25.6,25.1,25.4,3000
PSC,20090826,24.7,25.6,24.7,25.4,800
PSC,20090825,25.7,25.7,24.7,25.1,2100
PSC,20090824,27.2,27.2,25.7,26.4,3200
PSC,20090821,27.2,27.5,25.7,27.3,45200
PSC,20090820,26.1,26.1,25.6,25.6,44700
PSC,20090819,24.2,25.2,24.2,24.9,2500
PSC,20090818,25.2,25.2,24.7,25,4100
PSC,20090817,25.2,25.2,24.1,24.8,300
PSC,20090814,26.5,26.5,24.2,25.8,10500
PSC,20090813,24.7,24.7,24.7,24.7,9700
PSC,20090812,24.7,24.7,22.2,23,5200
PSC,20090811,21.8,23.7,21.7,23.1,4000
PSC,20090810,22.2,23.2,22.2,22.5,6100
PSC,20090806,21.7,22.2,21.7,22,600
PSC,20090805,22.2,22.2,22.2,22.2,100
PSC,20090804,22.3,24.2,22.3,23.9,700
PSC,20090731,23.2,23.2,23.2,23.2,2500
PSC,20090730,23.1,23.1,23.1,23.1,100
PSC,20090729,22.2,22.2,22.2,22.2,500
PSC,20090728,23.7,23.7,23.7,23.7,1000
PSC,20090727,25.2,25.2,25.2,25.2,100
PSC,20090724,23.8,24,23.8,24,1300
PSC,20090723,22.4,22.4,22.4,22.4,600
PSC,20090722,20.9,20.9,20.9,20.9,100
PSC,20090720,22.2,22.2,22.2,22.2,100
PSC,20090717,22.2,22.2,22.2,22.2,400
PSC,20090715,23.8,23.8,23.8,23.8,100
PSC,20090714,22.3,22.4,22.2,22.3,3000
PSC,20090713,23.2,23.7,23.2,23.4,17000
PSC,20090710,24,24.2,24,24.1,1200
PSC,20090709,23.2,23.2,23.2,23.2,600
PSC,20090708,22.6,22.7,22.5,22.6,4200
PSC,20090707,24.2,24.6,24.2,24.3,700
PSC,20090706,23,23,23,23,200
PSC,20090703,23.7,25.1,23.7,24.8,700
PSC,20090702,24.7,24.7,24.7,24.7,1200
PSC,20090701,22,25.4,22,23,9900
PSC,20090630,23.7,23.7,23.7,23.7,500
PSC,20090629,25.6,25.6,25.6,25.6,100
PSC,20090626,23.3,25.1,23.3,24.5,1500
PSC,20090625,24.2,24.2,24.2,24.2,5200
PSC,20090624,22.5,22.5,22.5,22.5,100
PSC,20090623,20.9,21.2,20.9,21,5100
PSC,20090622,22.2,22.4,22.2,22.3,4200
PSC,20090619,24.2,24.2,23.6,23.9,1500
PSC,20090618,25.7,25.7,23.4,23.4,14900
PSC,20090617,25.2,25.2,25.2,25.2,11900
PSC,20090616,27,29.1,27,27.2,1200
PSC,20090615,29.1,29.1,29.1,29.1,300
PSC,20090612,32.1,32.1,30,31.4,300
PSC,20090611,33.5,33.5,31.8,32.1,4700
PSC,20090610,34.2,34.2,30.1,31.2,4600
PSC,20090609,32.5,32.5,32.3,32.5,54200
PSC,20090608,30.3,30.3,29.7,30.3,68800
PSC,20090605,28.2,28.2,28.2,28.2,2800
PSC,20090604,26.2,27.3,26.2,26.3,12300
PSC,20090603,27.2,27.2,27.2,27.2,4400
PSC,20090602,28.7,28.7,28.3,28.5,7700
PSC,20090601,29.6,29.6,28.7,28.9,600
PSC,20090527,28.4,28.9,28.4,28.7,9400
PSC,20090526,29.2,30.4,29.2,29.7,11900
PSC,20090525,26.9,28.6,26.9,28.4,36600
PSC,20090522,26.7,26.7,26.7,26.7,15900
PSC,20090521,24.5,26.3,22.7,24.9,57300
PSC,20090520,24.5,24.5,24.5,24.5,31800
PSC,20090519,22.8,22.8,22.2,22.8,23500
PSC,20090518,20.2,21.5,20.2,21.2,17700
PSC,20090515,20.2,20.7,19.9,20,26400
PSC,20090514,18.5,20.2,18.5,19.9,12100
PSC,20090513,19.7,20.3,19.2,19.9,18400
PSC,20090512,18.6,19,18.6,18.9,5200
PSC,20090511,17.3,20.1,17.3,17.7,22900
PSC,20090508,18.4,19,18.4,18.7,11300
PSC,20090507,19.7,20.2,19.7,19.9,1300
PSC,20090506,20.2,20.2,19.5,19.7,3600
PSC,20090505,21.2,21.2,20.9,21.1,10000
PSC,20090504,19.2,19.7,18.2,19.7,25800
PSC,20090429,20.2,20.2,18.2,18.3,4000
PSC,20090428,20,20,18.8,19.7,3600
PSC,20090427,20.3,20.3,20.3,20.3,100
PSC,20090424,19.3,19.3,18.7,19.1,10300
PSC,20090423,18.3,19.2,16.8,18,7200
PSC,20090422,18.1,20.2,18.1,18.2,70800
PSC,20090421,19.5,19.5,19.5,19.5,100
PSC,20090420,21,21,21,21,100
PSC,20090417,22.7,22.7,22.7,22.7,6500
PSC,20090416,24.5,24.5,24.5,24.5,5200
PSC,20090415,26.4,28,26.4,26.4,8600
PSC,20090414,28.8,28.8,25.1,28.5,108800
PSC,20090413,26.8,26.8,26.8,26.8,600
PSC,20090410,25,25,25,25,2000
PSC,20090409,23.3,23.3,23.3,23.3,1100
PSC,20090408,21.7,21.7,21.2,21.7,67700
PSC,20090407,19.7,20.2,19.7,20.2,11200
PSC,20090403,18,19,18,18.8,10200
