<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PTC,20100729,16.3,16.5,15.5,16,116730
PTC,20100728,16.6,16.6,16,16.1,235890
PTC,20100727,17.3,17.3,16.8,16.8,118910
PTC,20100726,17.7,17.7,16.9,16.9,133630
PTC,20100723,17.4,17.8,17.2,17.3,145340
PTC,20100722,17.5,17.8,17.4,17.4,127780
PTC,20100721,18.2,18.3,17.6,17.7,124900
PTC,20100720,17.9,18.2,17.8,18.2,418480
PTC,20100719,17.2,17.8,17.2,17.4,165110
PTC,20100716,17.2,17.9,17.2,17.2,95700
PTC,20100715,17.2,17.6,17.1,17.2,100350
PTC,20100714,18.2,18.3,17.3,17.4,97490
PTC,20100713,17.7,18,17.5,18,171740
PTC,20100712,17.4,17.4,16.9,17.2,119370
PTC,20100709,16.8,17.3,16.8,17,113920
PTC,20100708,17,17.3,17,17,98660
PTC,20100707,17.3,17.5,17,17,126490
PTC,20100706,18,18,17.2,17.3,75640
PTC,20100705,18.4,18.4,17.9,17.9,165220
PTC,20100702,17.5,17.9,17.5,17.9,196840
PTC,20100701,18,18,17,17.1,298450
PTC,20100630,17.5,17.9,17.4,17.6,156840
PTC,20100629,18.4,18.5,17.7,17.9,161150
PTC,20100628,19,19,18,18,133330
PTC,20100625,19,19.6,18.4,18.5,282710
PTC,20100624,20.4,20.7,19.3,19.3,267130
PTC,20100623,19.1,20,18.8,20,596850
PTC,20100622,20.2,20.8,19.1,19.1,343070
PTC,20100621,19.5,20.1,19.4,20.1,391080
PTC,20100618,18.5,19.2,18.3,19.2,452980
PTC,20100617,18.6,18.9,18.1,18.3,349500
PTC,20100616,19.1,19.9,19,19,287870
PTC,20100615,19.5,19.5,18.6,19.5,1052540
PTC,20100614,18.6,18.6,18.6,18.6,150540
PTC,20100611,17.2,17.8,17,17.8,404860
PTC,20100610,16.9,17,16.8,17,94180
PTC,20100609,17.3,17.4,16.7,16.9,120310
PTC,20100608,16.5,17.1,16.3,16.7,309780
PTC,20100607,17.1,17.2,17.1,17.1,287900
PTC,20100604,17.6,18,17.4,17.9,213290
PTC,20100603,18.3,18.3,17.6,18,233520
PTC,20100602,17.6,18,17.4,17.9,166830
PTC,20100601,17.6,18.3,17.6,17.9,300070
PTC,20100531,17.9,18.7,17.1,18.5,570370
PTC,20100528,17.9,17.9,17.9,17.9,101890
PTC,20100527,17.1,17.1,16.9,17.1,274200
PTC,20100526,16.3,16.3,16.3,16.3,70250
PTC,20100525,15.5,16.5,15.5,15.6,910060
PTC,20100524,16.3,16.3,16.3,16.3,62020
PTC,20100521,17.1,17.1,17.1,17.1,42790
PTC,20100520,18,18,18,18,181620
PTC,20100519,18.9,19,18.9,18.9,72760
PTC,20100518,20.7,20.7,19.8,19.8,287930
PTC,20100517,19.7,20.8,19.7,20.8,908950
PTC,20100514,19.9,20.9,19.9,19.9,574800
PTC,20100513,20.9,20.9,20.9,20.9,17800
PTC,20100512,21.9,21.9,21.9,21.9,49340
PTC,20100511,25.3,25.3,23,23,682560
PTC,20100510,26.6,26.6,24.2,24.2,1587170
PTC,20100507,25.4,25.4,25,25.4,1033730
PTC,20100506,24.2,24.2,24.2,24.2,16160
PTC,20100505,23.1,23.1,23.1,23.1,86530
PTC,20100504,22,22,22,22,28120
PTC,20100429,21,21,21,21,103450
PTC,20100428,20,20,20,20,116220
PTC,20100427,19.1,19.1,19.1,19.1,119190
PTC,20100426,18.2,18.2,18.2,18.2,421250
PTC,20100422,17.4,17.4,16.9,17.4,1613800
PTC,20100421,16.6,16.6,16.6,16.6,132360
PTC,20100420,15.9,15.9,15.9,15.9,192860
PTC,20100419,15.2,15.2,15,15.2,616840
PTC,20100416,14.5,14.5,14.2,14.5,664860
PTC,20100415,13.5,13.9,13.3,13.9,467560
PTC,20100414,13.8,13.8,13.2,13.3,328980
PTC,20100413,13.7,13.9,13.5,13.8,749330
PTC,20100412,13.9,13.9,13.3,13.3,160060
PTC,20100409,14.5,14.5,13.5,13.9,735230
PTC,20100408,13.9,13.9,13.3,13.9,826990
PTC,20100407,13.3,13.3,13.3,13.3,173340
PTC,20100406,12.7,12.7,12.7,12.7,53490
PTC,20100405,12.1,12.1,12.1,12.1,47270
