<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PVG,20100729,22.5,22.9,21.8,22.2,89500
PVG,20100728,23,23,21.7,22.1,147600
PVG,20100727,23.8,24,22.8,23.3,199100
PVG,20100726,24.8,25.5,24,24.5,170600
PVG,20100723,25,25,23.5,24,99300
PVG,20100722,25,25.4,24.1,24.3,252100
PVG,20100721,26.6,26.7,25,25.9,809100
PVG,20100720,25,25,25,25,166300
PVG,20100719,22.2,23.6,22.2,23.4,151000
PVG,20100716,21.6,22.3,21.6,22.1,124000
PVG,20100715,22.5,22.5,21.6,22,42000
PVG,20100714,23,23,22.2,22.6,61500
PVG,20100713,22.5,22.6,21.8,22.4,57100
PVG,20100712,22.5,22.5,21.4,21.9,53500
PVG,20100709,21.7,21.8,21.4,21.6,29500
PVG,20100708,22,22.5,21.1,21.7,38300
PVG,20100707,21.7,22.7,21.1,21.5,93000
PVG,20100706,22.2,22.3,21.5,21.7,58400
PVG,20100705,22,22.4,22,22.2,62400
PVG,20100702,22.3,22.5,22,22.4,68300
PVG,20100701,22,22.6,21.7,22.3,94800
PVG,20100630,23,23,21.7,22.1,62700
PVG,20100629,22.8,23.3,22.5,22.9,191800
PVG,20100628,21.8,22.3,21.8,22.1,49200
PVG,20100625,22.1,22.6,21.9,22.3,97000
PVG,20100624,22.5,23.4,22.5,22.9,151200
PVG,20100623,22.6,23,21.5,22.4,64800
PVG,20100622,22.5,23,22,22.5,182900
PVG,20100621,22.5,22.5,22,22.2,76700
PVG,20100618,23,23,21.8,22,76500
PVG,20100617,22.6,22.6,21.9,22.2,51900
PVG,20100616,22,23,22,22.5,108200
PVG,20100615,21.5,21.7,21.4,21.5,112400
PVG,20100614,21.4,21.8,21,21.5,40000
PVG,20100611,21.8,22,21.1,21.3,58700
PVG,20100610,20.6,21.3,20.6,21,25200
PVG,20100609,21.8,21.8,20.5,21,53200
PVG,20100608,20.7,21.4,20.5,20.9,80500
PVG,20100607,21,21.3,20.5,20.7,142200
PVG,20100604,22.5,22.6,21.8,22,88900
PVG,20100603,23,23.5,22.2,22.7,102200
PVG,20100602,23,23,21.2,22,44400
PVG,20100601,22,22.5,21.7,22.2,98700
PVG,20100531,24.5,24.5,22.3,22.8,81800
PVG,20100528,23.5,23.7,23.4,23.7,207900
PVG,20100527,22.3,22.6,21,22.2,176500
PVG,20100526,21.4,22.4,21.4,22.1,141600
PVG,20100525,21,22,20.2,21.3,151900
PVG,20100524,19.6,20.9,19.5,20.6,104000
PVG,20100521,20.3,21.6,19.4,19.6,290000
PVG,20100520,20,22.5,20,20.8,245200
PVG,20100519,22.9,22.9,21.3,21.5,205000
PVG,20100518,23.4,23.4,22.5,22.9,134400
PVG,20100517,24.6,25,23,23.7,155200
PVG,20100514,24.6,24.7,24,24.3,67200
PVG,20100513,24.6,25.2,23.8,24.2,130100
PVG,20100512,25,25,24.5,24.6,309500
PVG,20100511,27,27,25.7,26.3,248500
PVG,20100510,27,27.2,25.4,26,206900
PVG,20100507,27.4,28.7,26.4,27.2,383100
PVG,20100506,26,27.7,26,27,420600
PVG,20100505,26.9,28,25,25.9,281000
PVG,20100504,28.8,28.8,26.3,26.9,302300
PVG,20100429,26.9,26.9,26.7,26.9,319000
PVG,20100428,25,25.5,24.5,25.1,240900
PVG,20100427,24.5,26,24.5,25.2,363500
PVG,20100426,24.7,25.5,24.6,24.7,436000
PVG,20100422,28,28.8,26.3,26.5,346700
PVG,20100421,30.2,30.4,26.4,28.3,387300
PVG,20100420,28.4,28.5,27.2,28.4,740400
PVG,20100419,26,26.7,25.5,26.6,808200
PVG,20100416,23.6,25.3,23.6,24.9,760100
