<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PXI,20100729,28.5,29.7,28.5,29.4,314280
PXI,20100728,30.6,30.6,29.2,29.2,1362910
PXI,20100727,30.3,30.8,29.8,30.5,445940
PXI,20100726,30.4,30.8,30,30.4,1217400
PXI,20100723,29,29.6,28.2,29.6,653480
PXI,20100722,29.9,29.9,28.7,28.9,480860
PXI,20100721,30.7,30.7,29.8,29.9,562720
PXI,20100720,30.3,30.3,29.7,29.7,889390
PXI,20100719,30,30.5,29.8,30,292080
PXI,20100716,30,30.5,29.9,30.4,387530
PXI,20100715,30.8,31.4,30.5,30.5,734300
PXI,20100714,31.5,31.9,30.5,30.5,381900
PXI,20100713,31.5,32,30.8,31.5,412610
PXI,20100712,30.2,30.9,30.2,30.8,485110
PXI,20100709,30.8,31.2,30.1,30.1,548640
PXI,20100708,32.1,32.3,30.4,31,686650
PXI,20100707,33,33,30.9,31.4,549060
PXI,20100706,33.7,33.8,32,32,1672660
PXI,20100705,31.7,32.4,31.7,32.4,877300
PXI,20100702,31,31.4,30.4,30.9,525430
PXI,20100701,32,32,30.6,30.6,533300
PXI,20100630,32.1,32.5,31.8,31.9,658390
PXI,20100629,32.6,34,32.6,33,1032320
PXI,20100628,33.5,33.6,32.5,32.6,1193030
PXI,20100625,33,34.9,32,33.6,1358250
PXI,20100624,33.3,33.3,33.1,33.3,1115720
PXI,20100623,31.8,31.8,31.5,31.8,1033400
PXI,20100622,29,30.3,28.6,30.3,1570740
PXI,20100621,25.6,29,25.6,28.9,1478250
