<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAF,20100729,31.2,31.2,31.2,31.2,24400
SAF,20100728,33.5,33.5,33.5,33.5,1200
SAF,20100727,36,36,36,36,100
SAF,20100726,38.9,38.9,36.5,38.7,1000
SAF,20100723,38,40,35.4,39.2,26000
SAF,20100722,38,38,38,38,100
SAF,20100721,36,36,36,36,100
SAF,20100720,34,34.6,34,34.2,1500
SAF,20100719,31.9,33,31.9,32.4,38600
SAF,20100716,34.3,34.3,34.3,34.3,1000
SAF,20100714,34.3,34.3,34.3,34.3,100
SAF,20100713,34.3,34.3,34.3,34.3,200
SAF,20100707,36.8,36.8,36.8,36.8,100
SAF,20100706,34.4,34.4,34.4,34.4,200
SAF,20100705,36.9,36.9,36.9,36.9,100
SAF,20100625,32.9,35,32.9,34.9,9400
SAF,20100624,35.2,35.2,35.2,35.2,1300
SAF,20100623,35.2,35.2,35.2,35.2,200
SAF,20100622,35.2,35.2,35.2,35.2,2200
SAF,20100621,36.9,36.9,35,35.2,1100
SAF,20100618,33.9,37.9,33.9,36.9,400
SAF,20100617,34.3,36.8,34.3,36.4,1300
SAF,20100616,36.8,36.8,36.8,36.8,1200
SAF,20100615,42.2,42.2,37,39.5,21600
SAF,20100614,39.6,39.6,39.6,39.6,100
SAF,20100611,37.1,37.1,37.1,37.1,200
SAF,20100610,34.7,34.7,34.7,34.7,1200
SAF,20100609,33.5,34,31.7,32.5,15000
SAF,20100608,34,34,34,34,3400
SAF,20100607,32.1,32.1,32.1,32.1,200
SAF,20100604,34,34,34,34,200
SAF,20100603,34.4,34.4,34.3,34.4,20000
SAF,20100602,34,36,34,34.3,12100
SAF,20100601,33.9,34,33.9,34,6000
SAF,20100531,34.3,34.3,34.3,34.3,5000
SAF,20100526,32.1,32.1,32.1,32.1,100
SAF,20100525,31.2,31.2,31.2,31.2,6100
SAF,20100524,32.9,32.9,32.9,32.9,2300
SAF,20100520,30.8,30.8,30.8,30.8,1400
SAF,20100519,30.8,30.8,30.7,30.8,11600
SAF,20100513,32.2,32.2,31.3,32.2,15100
SAF,20100512,32.2,32.2,32.2,32.2,10000
SAF,20100511,31.2,32.3,31.2,32.2,10600
SAF,20100510,30.2,30.9,30.2,30.3,12000
SAF,20100507,32.3,32.7,30.6,32.4,30500
SAF,20100506,32.1,34.8,32.1,32.8,21500
SAF,20100505,33,33,32.8,32.8,20000
SAF,20100504,32.8,32.8,32.8,32.8,8300
SAF,20100429,32.9,33.2,31.2,32.8,85700
SAF,20100428,31.1,31.2,29.6,31.1,40200
SAF,20100427,29.3,29.3,29.3,29.3,12700
SAF,20100426,27.4,27.4,27.4,27.4,500
SAF,20100422,27.2,28.1,25.4,25.6,43100
SAF,20100421,29,30.4,26.8,27.2,13100
SAF,20100420,29.5,29.5,26.9,28.5,26900
SAF,20100419,28.7,29.5,28.6,28.8,10300
SAF,20100416,30.4,30.4,30.4,30.4,1500
SAF,20100415,30.4,30.4,30.4,30.4,100
SAF,20100414,29,31,29,29.7,1600
SAF,20100413,29,29,29,29,500
SAF,20100408,28.1,30.3,28.1,30.2,5400
SAF,20100407,29.8,29.8,27.9,29.5,3600
SAF,20100406,28.7,28.7,27.7,28.2,6100
SAF,20100405,28.1,29.8,28.1,29.6,5600
SAF,20100402,28.6,28.6,28.6,28.6,300
SAF,20100401,31.6,31.6,28.8,29.1,2000
SAF,20100331,31,31,31,31,100
SAF,20100330,32.1,35,30.9,33.3,18700
SAF,20100329,32.1,33.6,31.2,33.1,11500
SAF,20100326,30.2,32.3,30.2,31.4,7000
SAF,20100325,30.3,30.3,30.3,30.3,3000
SAF,20100324,30.3,30.3,28.6,29.6,19100
SAF,20100323,30.4,30.4,27.9,29.5,23000
SAF,20100322,29,29,28.4,28.6,3400
SAF,20100319,29,31.2,29,30.4,6400
SAF,20100318,29.4,29.4,29.4,29.4,5000
SAF,20100317,29.7,29.7,28.1,29.1,11000
SAF,20100316,29.5,29.6,28.1,29.6,5500
SAF,20100315,28.6,30.9,28.6,30.1,15200
SAF,20100312,28.5,29.7,28.5,29.7,5200
SAF,20100311,30.3,30.3,30.3,30.3,3100
SAF,20100310,30.3,30.3,30.3,30.3,2000
SAF,20100309,29.8,29.8,29.5,29.8,5100
SAF,20100308,30.4,30.4,28.1,29.6,9300
SAF,20100305,29.5,29.5,29.5,29.5,3000
SAF,20100304,27,28.7,27,28.2,19000
SAF,20100303,26.9,27.1,26.9,26.9,3100
SAF,20100302,25.9,27.1,25.9,27.1,3100
SAF,20100301,26.7,26.8,26.7,26.8,200
SAF,20100226,26.3,26.3,26.3,26.3,100
SAF,20100225,28,28,26.6,27.9,2300
SAF,20100224,28.1,28.1,28.1,28.1,7000
SAF,20100223,28.2,28.4,27.7,28.3,1400
SAF,20100222,28.4,28.5,28.4,28.4,5000
SAF,20100212,28,28,27,27.8,6600
SAF,20100211,26,27.5,25.9,27.4,5300
SAF,20100210,28,28,26.1,27.7,9700
SAF,20100209,27.8,27.8,27.8,27.8,100
SAF,20100208,26.7,26.7,26.7,26.7,100
SAF,20100205,25.9,25.9,25.1,25.5,600
SAF,20100204,27.8,27.8,26.8,26.9,1200
SAF,20100203,28.8,28.8,26.2,26.2,2100
SAF,20100202,28,28,28,28,100
SAF,20100201,26.6,26.6,26.6,26.6,700
SAF,20100129,28.6,28.6,28.6,28.6,100
SAF,20100127,28.5,28.5,28.5,28.5,1000
SAF,20100126,28.5,28.6,28.4,28.5,1500
SAF,20100125,27.5,27.5,27.5,27.5,100
SAF,20100122,28.1,28.1,25.7,25.8,2000
SAF,20100121,27.5,27.5,27.5,27.5,100
SAF,20100120,26.2,26.2,26.2,26.2,500
SAF,20100119,28.2,28.2,28.1,28.1,600
SAF,20100118,26.7,26.7,26.7,26.7,1800
SAF,20100115,28.7,28.7,28.7,28.7,100
SAF,20100114,26.9,28,26.8,27.4,400
SAF,20100113,25.9,29,25.4,26.5,800
SAF,20100112,27.5,27.5,27.1,27.2,800
SAF,20100111,28.2,28.2,28.1,28.2,2500
SAF,20100108,30.7,30.7,28.6,30.2,900
SAF,20100107,30.6,30.7,30.6,30.7,200
SAF,20100106,29.5,29.5,29.3,29.4,1500
SAF,20100105,31.7,32.1,30.6,31.1,13900
SAF,20100104,32.7,33,32.7,32.9,12700
SAF,20091231,32.1,33.6,29.9,32.7,189700
SAF,20091230,32.9,32.9,30,32.1,15500
SAF,20091229,32.1,32.6,29,32.2,23400
SAF,20091228,29.2,31,27.7,30.8,33100
SAF,20091225,30.3,30.3,26.8,29.3,17700
SAF,20091224,29,29.2,25.6,28.7,18100
SAF,20091223,27.3,27.3,27.3,27.3,1200
SAF,20091222,29.4,29.4,28.6,29.3,5900
