<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAP,20100729,16.8,17.4,15.9,16.6,13800
SAP,20100728,17.1,17.1,16,16.6,6200
SAP,20100727,16.5,17.3,15.9,16,39700
SAP,20100726,17.5,17.5,17,17.1,3500
SAP,20100723,18.5,19,17.9,18.3,31200
SAP,20100722,17.3,18.3,17.3,18.2,63400
SAP,20100721,17.2,17.3,16.3,17.1,59200
SAP,20100720,16.4,16.5,16,16.2,13700
SAP,20100719,17.2,17.2,16,16.2,40100
SAP,20100716,16.1,16.6,15.5,16.1,11900
SAP,20100715,15.5,15.8,15.5,15.5,21300
SAP,20100714,17.5,17.5,16,16.7,16900
SAP,20100713,17.4,17.4,16.5,16.7,1100
SAP,20100712,16.7,16.7,16.7,16.7,2300
SAP,20100709,18.9,18.9,16.8,17.9,16900
SAP,20100708,19,19,16.7,18,10300
SAP,20100707,17.2,18.1,16.2,17.8,16700
SAP,20100706,16.8,17,16.5,16.9,7500
SAP,20100705,15.9,15.9,15.9,15.9,2100
SAP,20100702,16.8,16.8,16.8,16.8,3100
SAP,20100701,18,18,17.9,18,1100
SAP,20100630,16.2,17.3,16.2,17.2,36100
SAP,20100629,15.7,16.2,15.7,16.2,20100
SAP,20100628,13.8,15.6,13.8,15.2,10200
SAP,20100625,14.5,14.7,14.5,14.6,1000
SAP,20100624,14.7,16.3,14.7,15,2600
SAP,20100623,15.3,15.5,14.4,15.3,6500
SAP,20100622,16.9,16.9,14.8,15.5,7300
SAP,20100621,15.8,16,15.6,15.9,7700
SAP,20100618,15.2,15.2,14.5,15,10700
SAP,20100617,13.8,15.1,13.6,14.2,11500
SAP,20100616,14.8,14.8,13.1,14.1,2100
SAP,20100615,13.8,13.8,13.8,13.8,2700
SAP,20100614,12.9,12.9,12.9,12.9,100
SAP,20100611,14,14,13.4,13.9,12600
SAP,20100610,13.1,13.1,13.1,13.1,100
SAP,20100609,12.8,13.9,12.8,13.8,3400
SAP,20100608,12.7,13.1,12.7,13,600
SAP,20100607,13.8,13.8,13.5,13.6,2500
SAP,20100604,15.8,15.8,14.4,14.5,2400
SAP,20100603,14.8,14.8,14.8,14.8,1100
SAP,20100602,13.8,13.8,13.8,13.8,7600
SAP,20100601,14.1,15.5,14.1,14.8,200
SAP,20100531,15.2,15.2,14.5,15,300
SAP,20100528,15.5,15.9,15.5,15.6,1300
SAP,20100527,15.1,15.1,15.1,15.1,6100
SAP,20100525,16.3,16.3,15.2,16.2,1400
SAP,20100521,16.3,16.3,16.3,16.3,100
SAP,20100520,16.5,16.5,16.5,16.5,800
SAP,20100519,16.9,16.9,14.7,15.6,2100
SAP,20100518,16,16,15.7,15.8,400
SAP,20100517,15,15,15,15,1000
SAP,20100514,14.8,17,14.8,15.1,10100
SAP,20100513,15.9,16,15.9,15.9,1800
SAP,20100512,17.1,17.1,17.1,17.1,2100
SAP,20100511,18.4,18.4,18.4,18.4,14000
SAP,20100510,20,20,18.5,19.8,7000
SAP,20100507,18.8,18.8,17.7,18.7,43600
SAP,20100506,17.5,17.6,17.5,17.6,9500
SAP,20100505,16.6,16.6,16.3,16.5,20000
SAP,20100504,15.5,15.5,15.5,15.5,9400
SAP,20100429,14.5,14.5,14.5,14.5,6300
SAP,20100428,12,13.7,12,13.6,2800
SAP,20100427,12.8,12.8,12.8,12.8,2400
SAP,20100426,13.8,13.8,13.8,13.8,1100
SAP,20100422,14.8,14.8,14.7,14.8,7300
SAP,20100421,13.8,14,13.6,13.8,4500
SAP,20100420,12.5,13.4,12.5,13.1,4100
SAP,20100419,12.5,12.7,12,12.5,7000
SAP,20100416,12,12,12,12,1100
SAP,20100415,11.3,11.5,11.3,11.3,1300
SAP,20100412,11.3,11.3,11.3,11.3,400
SAP,20100409,11.6,11.9,11.6,11.8,400
SAP,20100408,11.5,11.5,10.5,11.3,500
SAP,20100407,10.8,10.8,10.8,10.8,1100
SAP,20100406,11,11,10.6,10.8,1900
SAP,20100405,10.8,11.4,10.8,11.4,4000
SAP,20100402,10.7,10.7,10.7,10.7,200
SAP,20100401,11.5,11.5,11.5,11.5,500
SAP,20100331,11,11,11,11,200
SAP,20100330,11,11,11,11,2300
SAP,20100324,11.7,11.7,11.7,11.7,800
SAP,20100322,11.4,11.4,11.4,11.4,200
SAP,20100319,11.5,11.6,10.9,11.4,500
SAP,20100318,11.6,11.6,11.6,11.6,100
SAP,20100317,11,11.2,11,11.1,1100
SAP,20100316,11.8,11.8,11.8,11.8,100
SAP,20100315,11.4,12.2,11.4,11.9,300
SAP,20100312,11,11.5,11,11.4,3700
SAP,20100311,10.7,10.8,10.7,10.7,2700
SAP,20100308,11.5,11.5,11,11.5,2800
SAP,20100305,10.7,10.9,10.7,10.8,2400
SAP,20100304,10.5,10.5,10.3,10.4,2000
SAP,20100303,10.5,10.5,10.5,10.5,700
SAP,20100302,10.5,10.5,10.3,10.4,9400
SAP,20100301,10.1,10.2,10.1,10.1,2400
SAP,20100226,10.2,10.2,9.7,9.9,300
SAP,20100225,10.1,10.1,10.1,10.1,400
SAP,20100210,10.6,10.6,9.8,10.1,300
SAP,20100205,9.6,10.3,9.6,9.9,700
SAP,20100204,10,10,9.5,9.6,400
SAP,20100203,9.9,9.9,9.9,9.9,100
SAP,20100129,10,10,9.7,9.8,600
SAP,20100128,10.5,10.5,10.5,10.5,100
SAP,20100127,11,11,11,11,11700
SAP,20100126,10.7,11.5,10.7,11,800
SAP,20100125,11.4,11.4,10.6,10.7,2100
SAP,20100122,11,11,11,11,100
SAP,20100119,11.5,11.5,11.5,11.5,200
SAP,20100118,11.6,11.6,10.7,10.9,400
SAP,20100115,11.4,11.4,10.8,11.1,200
SAP,20100114,12,12,10.5,10.8,2800
SAP,20100113,11.3,11.3,11.3,11.3,100
SAP,20100112,12.1,12.1,12.1,12.1,1000
SAP,20100111,12.9,12.9,12.9,12.9,100
SAP,20100108,11.9,12.8,11.9,12.5,3800
SAP,20100107,12,12,11.5,11.9,1200
SAP,20100106,12.3,12.3,12.3,12.3,100
SAP,20100105,14,14,12.5,13.3,2800
SAP,20100104,13,13.2,13,13.1,1500
SAP,20091231,12.1,12.5,12.1,12.3,1100
SAP,20091228,13,13,11.7,12.1,400
SAP,20091225,11.5,13.2,11.5,12.6,1700
SAP,20091224,12.3,13.1,11.8,12.4,300
SAP,20091222,13,13,12,12.3,700
SAP,20091221,12.1,12.1,12.1,12.1,1000
SAP,20091218,11.3,11.5,11.3,11.3,62100
SAP,20091217,10.5,11.3,10.5,10.9,1500
SAP,20091216,11.1,11.1,9.8,10.5,1200
SAP,20091215,9.5,10.9,9.5,10.4,400
SAP,20091211,10.5,10.5,10.2,10.2,2300
SAP,20091210,11,11,11,11,500
SAP,20091209,11,11.2,11,11.1,1300
SAP,20091208,11.9,11.9,11.9,11.9,100
SAP,20091207,12.7,12.7,12.7,12.7,100
SAP,20091203,13.7,13.7,13.7,13.7,300
SAP,20091202,13,13,13,13,500
SAP,20091201,13,13,13,13,1600
SAP,20091130,11.6,12.5,11.6,12.1,4100
SAP,20091127,11.8,12.7,11.8,12.5,1400
SAP,20091126,12.8,12.8,12.7,12.7,3400
SAP,20091125,13.7,13.7,13.7,13.7,1000
SAP,20091123,14.5,15,14.5,14.8,3600
SAP,20091120,15,15,14.4,14.5,12100
SAP,20091119,16,16,15.3,15.5,2600
SAP,20091118,16.5,16.5,16.3,16.5,400
SAP,20091116,17.5,17.5,17.5,17.5,100
SAP,20091113,17,17.1,17,17.1,6500
SAP,20091112,16,16,16,16,5300
SAP,20091111,14,16,14,14.9,900
SAP,20091110,15,15,15,15,300
SAP,20091109,16,16,15.6,15.6,5000
SAP,20091106,16.6,17,16.6,16.8,6200
SAP,20091105,16,16.9,15,15.9,2000
SAP,20091104,15.8,16,15.7,15.8,1300
SAP,20091103,15,15.6,14.4,15,5200
SAP,20091102,15.5,15.8,15.5,15.5,11500
SAP,20091030,16.8,16.8,16.7,16.7,14700
SAP,20091029,18,18,18,18,400
SAP,20091028,19.4,19.4,19.4,19.4,1800
SAP,20091027,20.9,20.9,20.9,20.9,700
SAP,20091026,22.5,22.5,22.4,22.5,5500
SAP,20091023,24.3,24.3,24.1,24.1,4600
SAP,20091022,26,26,25.8,25.9,1700
SAP,20091021,28.1,28.1,25.1,27.8,34500
SAP,20091020,26.8,26.8,25,26.2,31200
SAP,20091019,23.1,26.7,23.1,25,64900
SAP,20091016,28,28,24.4,24.9,6800
SAP,20091015,26,27.1,25,26.3,61900
SAP,20091014,25.3,25.3,25,25.3,103400
SAP,20091013,23.6,23.6,23.6,23.6,6300
SAP,20091012,22,22,22,22,15200
SAP,20091009,20.5,20.5,20.5,20.5,22500
SAP,20091008,19,19.2,18,19.1,69800
SAP,20091007,17.5,18,17,17.9,121000
SAP,20091006,16.6,16.8,16.5,16.8,49400
SAP,20091005,15.5,15.7,15.5,15.7,25300
SAP,20091002,13.7,15.9,13.7,14.7,117500
SAP,20091001,16.5,16.5,14.3,14.8,59400
SAP,20090930,15.4,15.4,15.1,15.4,238300
SAP,20090929,14.4,14.4,14.4,14.4,26800
SAP,20090928,12.9,13.8,12.9,13.4,36700
SAP,20090925,12.2,13,12.2,12.9,3500
SAP,20090924,13.5,13.5,12.8,13,32900
SAP,20090923,13.2,14.1,13.1,13.6,89800
SAP,20090922,12.9,13.2,12.9,13.2,105500
SAP,20090921,12.1,12.3,11.8,12.3,70400
SAP,20090918,11.4,11.6,11.4,11.5,13700
SAP,20090917,11.2,12,11.2,11.4,17600
SAP,20090916,11,11.4,11,11.3,14000
SAP,20090915,11.3,11.7,11.2,11.4,27400
SAP,20090914,12,12,11.2,11.8,35400
SAP,20090911,12,12.4,11.8,12.1,19700
SAP,20090910,11.7,11.7,11.3,11.6,43200
SAP,20090909,10.6,11.3,10.5,10.9,26000
SAP,20090908,11,11,9.8,10.5,24800
SAP,20090907,10.5,10.7,10.4,10.5,9300
SAP,20090904,10.8,10.8,10.7,10.8,8500
SAP,20090903,11.2,11.2,11,11.1,2600
SAP,20090901,11.2,11.2,10.9,11,11300
SAP,20090831,12,12,11.2,11.6,5200
SAP,20090828,10.3,11.5,10.3,11.2,19300
SAP,20090827,11,11.3,11,11.1,11300
SAP,20090826,11,11,10.9,11,8300
SAP,20090825,11,11,10.7,10.9,17300
SAP,20090824,11.3,11.6,10.8,11.3,12600
SAP,20090821,11.6,11.6,11.2,11.3,10200
SAP,20090820,11.8,11.8,11,11.3,7600
SAP,20090819,11.5,11.6,11.3,11.4,7000
SAP,20090818,11.7,11.7,11.4,11.5,14200
SAP,20090817,12.6,12.6,11.6,11.8,11900
SAP,20090814,11,12.2,10.7,11.7,15900
SAP,20090813,12.1,12.1,11.1,11.4,17900
SAP,20090812,11.1,11.9,10.5,11.6,22300
SAP,20090811,11.3,11.9,11,11.1,24100
SAP,20090810,12.8,13,11.8,11.9,38000
SAP,20090807,12.7,13,12.5,12.7,74600
SAP,20090806,11.9,12.1,11.9,12.1,25600
SAP,20090805,10.9,11.5,10.7,11.3,36100
SAP,20090804,10.4,10.9,10.4,10.7,14300
SAP,20090803,10.7,10.7,10.2,10.4,2300
SAP,20090731,10.2,10.5,10.2,10.4,15600
SAP,20090730,10,10.2,9.9,10.1,7000
SAP,20090729,10.2,10.3,10.2,10.3,2000
SAP,20090728,11.5,11.5,10.3,10.9,6100
SAP,20090727,11,11,10.9,11,18000
SAP,20090724,10.2,10.2,10.2,10.2,11800
SAP,20090723,9.2,9.8,9.2,9.5,6000
SAP,20090722,9.2,9.2,9,9.1,1700
SAP,20090721,9.3,9.5,8.8,9.2,3500
SAP,20090720,9.1,9.9,8.8,8.9,10100
SAP,20090717,9.5,9.5,9.1,9.2,5100
SAP,20090716,10,10.1,9.5,9.6,10100
SAP,20090715,10,10.1,10,10,3600
SAP,20090714,10,10,9.9,10,200
SAP,20090713,10,10,9.5,9.8,11200
SAP,20090710,9.8,10,9.8,10,2300
SAP,20090709,10.5,10.5,9.7,10.1,16100
SAP,20090708,10.4,10.5,10.4,10.5,3700
SAP,20090707,10.5,10.5,10.3,10.4,2600
SAP,20090706,10.3,10.7,10,10.5,5200
SAP,20090703,10.5,10.5,10.1,10.2,1400
SAP,20090702,10.3,10.3,9.1,10.1,6700
SAP,20090701,10.8,10.8,9.6,9.8,12800
SAP,20090630,11.3,11.3,9.8,10.4,8000
SAP,20090629,10.5,11,10.5,10.6,400
SAP,20090626,10.5,10.5,10.2,10.4,2600
SAP,20090625,11.1,11.1,10.9,11,700
SAP,20090624,10,10.8,10,10.5,2900
SAP,20090623,10.2,10.2,9.6,10,5900
SAP,20090622,10.3,10.5,10.2,10.2,27000
SAP,20090619,11,11.8,10.5,11.2,800
SAP,20090618,11,11,11,11,7100
SAP,20090617,10.2,10.6,10.2,10.2,24300
