<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SD7,20100729,51.9,51.9,50.2,51,120700
SD7,20100728,52,53.9,50.6,51.8,259400
SD7,20100727,54.5,54.7,52.8,54.2,89200
SD7,20100726,54.7,54.7,53.3,53.9,89200
SD7,20100723,55.4,55.7,53.6,54.5,104200
SD7,20100722,55.9,55.9,54.1,54.6,176100
SD7,20100721,55,56,55,55.6,322400
SD7,20100720,56.5,56.5,54.2,55.1,75100
SD7,20100719,55,57.5,54,55.5,395700
SD7,20100716,54,55.3,53.2,54.5,257400
SD7,20100715,54.4,54.5,52.8,53.7,118000
SD7,20100714,55,55.6,53.5,54.7,74400
SD7,20100713,54,55.8,53.6,54.6,138300
SD7,20100712,52.2,54,52.1,53.3,116600
SD7,20100709,52,52.6,51.5,52,105800
SD7,20100708,53.4,53.8,51,52.8,95000
SD7,20100707,53,53.9,51.8,53,99000
SD7,20100706,54,54,52,52.5,163000
SD7,20100705,54,54.7,53,53.9,126900
SD7,20100702,52.3,53,52.3,52.6,106300
SD7,20100701,52.5,53,51.7,52.2,112500
SD7,20100630,52.7,54.5,51,52.8,127700
SD7,20100629,54.6,54.8,53.2,54.1,182400
SD7,20100628,54.4,54.4,53,53.9,120200
SD7,20100625,54.5,54.8,52.5,53.7,178700
SD7,20100624,55,56,53.7,54.8,129800
SD7,20100623,55,55.6,54,54.3,114400
SD7,20100622,56.5,56.7,54,56,87800
SD7,20100621,55.5,57,55,55.8,193500
SD7,20100618,55.5,55.8,54.5,55.1,137600
SD7,20100617,56,56,54.3,55.1,234800
SD7,20100616,56,56.8,55,55.7,206900
SD7,20100615,56.4,56.9,54.9,55.7,170600
SD7,20100614,55.1,56.4,55,56,177400
SD7,20100611,55.4,55.4,53.9,54.4,86700
SD7,20100610,54.8,54.8,53.5,54,49900
SD7,20100609,54.2,55.8,54,54.3,88100
SD7,20100608,53,54.9,52.5,54.1,114700
SD7,20100607,53.1,56.3,53.1,53.5,486600
SD7,20100604,55.5,59,55,57,395700
SD7,20100603,55.7,57,53.7,55.2,86100
SD7,20100602,52.2,54.3,52.2,53.7,211000
SD7,20100601,52.9,54.5,52.9,54,127100
SD7,20100531,57,57,53.6,54.1,230900
SD7,20100528,52.5,54.7,52.5,54.5,201800
SD7,20100527,51.2,52.4,49.5,51.2,186000
SD7,20100526,48.8,51.8,48.8,50.4,190500
SD7,20100525,49,49.2,48,48.5,167400
SD7,20100524,47.7,49.4,47.7,48.4,163700
SD7,20100521,50,50,47,47.7,266500
SD7,20100520,51.9,53,47.7,50.5,270600
SD7,20100519,52.5,53.8,50.5,51.2,228100
SD7,20100518,54.8,55.9,53.2,54.2,280400
SD7,20100517,56,56.8,53.4,54.9,125500
SD7,20100514,55,55.5,54.1,55.1,152500
SD7,20100513,54.5,57,54,55.2,216900
SD7,20100512,56.5,56.5,53.2,54,348000
SD7,20100511,57.7,59,56.1,57.1,217000
SD7,20100510,57,58.3,55,56.8,183400
SD7,20100507,59.2,59.5,57.1,58.1,315900
SD7,20100506,60,60.9,59.1,60,241000
SD7,20100505,59.6,60.9,59,59.8,141800
SD7,20100504,61.5,63.4,61.2,61.8,261300
SD7,20100429,61.5,63,60.5,61.4,342900
SD7,20100428,59,61,58,59.2,389300
SD7,20100427,61,61.5,59.5,60.2,250400
SD7,20100426,62.7,62.7,59,60.4,341900
SD7,20100422,65.2,66.5,60,62.7,464800
SD7,20100421,60,65.1,60,63.8,920400
SD7,20100420,62,62.5,60.1,60.9,264000
SD7,20100419,61,64.5,59,62.3,470600
SD7,20100416,64,64,61.1,61.9,300400
SD7,20100415,59.1,62.5,59,62,655900
SD7,20100414,57,59.3,57,58.5,229400
SD7,20100413,59.5,59.6,57,58.1,295400
SD7,20100412,58.3,62.9,57.9,59.5,324400
SD7,20100409,65,65,59.2,62.2,358200
SD7,20100408,60,63.6,60,63.1,669600
SD7,20100407,58,61,58,59.5,479200
SD7,20100406,56.9,58.8,56.8,58.1,723400
SD7,20100405,53.5,56.5,53.5,55,245100
SD7,20100402,53,54,52.7,53.3,170000
SD7,20100401,52,53.1,51.1,52.1,132300
SD7,20100331,52,53.8,51.7,52.2,154800
SD7,20100330,54.9,54.9,53.1,53.5,138200
SD7,20100329,53.5,54.5,52.5,53.5,188200
SD7,20100326,52.4,53.2,51.5,52.3,109800
SD7,20100325,53.2,54,51.5,52.3,177700
SD7,20100324,53.8,55.9,53.6,54.2,142800
SD7,20100323,54.1,55,53.1,53.8,144300
SD7,20100322,55.9,56,54.7,55.4,122600
SD7,20100319,56.5,58.2,55.3,55.9,186900
SD7,20100318,55.7,57,53.8,55.7,199400
SD7,20100317,56,56.9,53,54.8,294500
SD7,20100316,58,58.5,55.5,56.4,385200
SD7,20100315,59,61,58.8,59.6,259300
SD7,20100312,58.6,59.5,58.2,59,276700
SD7,20100311,58,59.8,58,59,314500
SD7,20100310,57.3,59.5,55.8,57.7,416400
SD7,20100309,57,57.9,56,57,357900
SD7,20100308,59,61,57.7,58.7,218400
SD7,20100305,57.7,59,56.1,58.1,345700
SD7,20100304,58.1,58.1,56,57.9,492300
SD7,20100303,52,55.7,52,54.3,380400
SD7,20100302,51.5,53.2,50.2,52.1,442600
SD7,20100301,49,51.3,49,50,195200
SD7,20100226,48.5,48.9,48.2,48.5,39500
SD7,20100225,48.5,49.5,48.1,48.9,41500
SD7,20100224,47.5,48.7,47.4,48,94600
SD7,20100223,49,49,48,48.2,71700
SD7,20100222,51.1,51.1,49.6,50.1,36100
SD7,20100212,50,50.6,49.5,50.1,55800
SD7,20100211,48,49.7,47.5,49,85100
SD7,20100210,48.3,49.3,48.3,48.9,62200
SD7,20100209,48,49,46.9,47.5,201100
SD7,20100208,49,49.5,48.6,49,52600
SD7,20100205,51,51,49,49.7,158500
SD7,20100204,49.5,51,49.2,50.2,135900
SD7,20100203,48.5,49.5,48.5,49.2,238600
SD7,20100202,49.6,49.6,48.5,49,68200
SD7,20100201,49,50,48.3,49,78100
SD7,20100129,46.5,49.5,46.5,48.5,139600
SD7,20100128,50,50,48,48.6,173900
SD7,20100127,53.9,54,48.7,51.2,241300
SD7,20100126,48.9,50.9,48.9,50.7,124200
SD7,20100125,47,48.2,46.5,47.6,112700
SD7,20100122,43.6,47.8,43.6,46.6,147300
SD7,20100121,47,49,46.3,46.8,340600
SD7,20100120,52.1,52.1,48.2,49.7,115300
SD7,20100119,47.8,53,47.4,51.5,129500
SD7,20100118,53.5,54.1,50.5,50.9,204600
SD7,20100115,57,57,52.6,54.2,154500
SD7,20100114,54.6,54.6,53.2,54.5,333800
SD7,20100113,50,55.4,48.3,51.1,400900
SD7,20100112,52.5,54.2,50.5,51.9,300300
SD7,20100111,55.7,55.9,53.2,54.2,168600
SD7,20100108,53.9,58.4,51,55.4,343500
SD7,20100107,55,56,52.5,54.6,429500
SD7,20100106,55.6,57.5,54.5,56.3,412900
SD7,20100105,57.7,57.7,55.5,57.3,313800
SD7,20100104,53.6,54,53.5,54,42600
SD7,20091231,50,50.8,48,50.5,402300
SD7,20091230,44.5,49,44.5,47.5,277800
SD7,20091229,47.2,48,45,46,448900
SD7,20091228,46.9,47.5,45,47.2,390500
SD7,20091225,44,44.4,44,44.4,67600
SD7,20091224,41,42.5,39.5,41.5,243500
SD7,20091223,37.5,41.1,37,39.8,363900
SD7,20091222,38.5,38.8,37.5,38.5,324400
SD7,20091221,36.4,36.4,35,36.3,81700
SD7,20091218,33,34.3,33,34.1,172200
SD7,20091217,32.1,34,31.9,32.1,197400
SD7,20091216,36.5,36.5,34.1,34.3,82100
SD7,20091215,36.8,37.8,35.5,36.6,83200
SD7,20091214,37,38.2,33.7,36.9,153100
SD7,20091211,36.5,38,36,36.1,129700
SD7,20091210,40,41.5,38,38.7,153400
SD7,20091209,42,42,40.7,40.8,143300
SD7,20091208,45.1,45.3,43,43.7,81200
SD7,20091207,45.1,46,44.1,45.4,133000
SD7,20091204,44.9,45.5,43.7,44.7,170600
SD7,20091203,43.5,45.9,42.9,44,127900
SD7,20091202,48.5,48.5,44.4,45.9,161500
SD7,20091201,45.5,47.9,45.5,47.6,244800
SD7,20091130,40.8,46,40.8,44.8,132600
SD7,20091127,42.6,47.9,42.6,43.8,356600
SD7,20091126,46.7,46.7,45.6,45.7,53000
SD7,20091125,52,52,48.4,49,278700
SD7,20091124,53.5,54,50.8,52,280500
SD7,20091123,56.8,57,53.3,53.9,190100
SD7,20091120,58.2,58.5,56.5,57.3,181200
SD7,20091119,59.5,59.5,57.7,58.2,201900
SD7,20091118,57,58.1,55.2,57.2,251700
SD7,20091117,60,60,57.1,57.7,183800
SD7,20091116,54.5,58.1,54.5,57.5,564100
SD7,20091113,53.8,55.9,51.9,54.3,182700
SD7,20091112,53.5,55,51,54.3,232900
SD7,20091111,52.5,54.4,51,52.8,262200
SD7,20091110,54.5,56,51.7,52.3,349600
SD7,20091109,57,57,55.3,55.5,119400
SD7,20091106,59.5,60.2,57,59.4,395100
SD7,20091105,53.8,57.4,53.8,56.3,320000
SD7,20091104,52,56,51.4,53.7,357500
SD7,20091103,58,58,54.5,55.1,197000
SD7,20091102,58.4,61.1,58.4,58.5,124300
SD7,20091030,62,63.8,60.5,62.7,283200
SD7,20091029,63.5,63.5,59,59.7,253200
SD7,20091028,57,64.5,57,63.4,287200
SD7,20091027,62,62.4,60.4,60.9,414500
SD7,20091026,63,70,62.6,64.9,360600
SD7,20091023,72,72,66.5,67.2,581100
SD7,20091022,73,73,70,71.5,420500
SD7,20091021,76,76,71.5,73.2,578700
SD7,20091020,78,78,74.5,76.5,707100
SD7,20091019,73,73,70,72.9,527100
SD7,20091016,71,71.8,66.8,68.3,916600
SD7,20091015,76.9,78.5,69.5,71.8,744500
SD7,20091014,75.4,75.4,69.8,73.4,811800
SD7,20091013,70.9,70.9,68,70.8,886700
SD7,20091012,66.3,66.3,66.3,66.3,114200
SD7,20091009,60,62.1,60,62,839500
SD7,20091008,60.5,60.5,56,58.1,550800
SD7,20091007,56,57.4,55.1,57.3,275500
SD7,20091006,54,55.5,52.1,53.7,450500
SD7,20091005,52.2,54.5,51.8,52.9,255700
SD7,20091002,53,54,52.4,52.7,557300
SD7,20091001,59,60.5,54.5,56.3,635000
SD7,20090930,58.9,58.9,56,58.6,782400
SD7,20090929,53.5,56.2,52.6,55.1,749800
SD7,20090928,53.5,54.9,51.8,52.6,571500
SD7,20090925,52,53.5,49.4,51.9,554900
SD7,20090924,50.3,53.9,50.3,52,573600
