<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDG,20100728,28,28.2,28,28.1,5600
SDG,20100727,28,28.2,27.5,28,18600
SDG,20100726,28,28,28,28,500
SDG,20100723,30,30,30,30,100
SDG,20100722,30.8,30.8,30.8,30.8,100
SDG,20100721,30,30.2,28,29.5,9900
SDG,20100720,28,28.8,28,28.3,9600
SDG,20100719,27,27,27,27,2500
SDG,20100714,27.5,29,27.5,28.2,6400
SDG,20100713,26.2,29.7,26.2,27.4,4800
SDG,20100712,28.1,28.1,28.1,28.1,900
SDG,20100709,26.5,26.5,26.5,26.5,1000
SDG,20100708,26,28.3,26,28,17200
SDG,20100707,28,28,26.3,26.5,3100
SDG,20100706,26.1,26.8,26.1,26.5,4500
SDG,20100705,25,28,24.5,26.1,2000
SDG,20100702,26,26.5,26,26.3,4200
SDG,20100701,27.1,27.1,27,27.1,5300
SDG,20100630,28.1,28.2,28.1,28.1,2000
SDG,20100629,32,32.2,29,30.2,2400
SDG,20100628,30.7,30.7,29.5,30.5,700
SDG,20100625,30,30,29.5,29.7,1900
SDG,20100624,28.6,28.7,28.5,28.6,8100
SDG,20100623,26.8,28.2,26.6,26.9,13000
SDG,20100622,26.2,27.4,24.6,26.8,14500
SDG,20100621,25,25.8,25,25.6,4700
SDG,20100618,24.6,25.8,24.6,25.5,13600
SDG,20100617,23.8,25.4,23.8,25.1,8000
SDG,20100616,23.8,23.8,23.8,23.8,600
SDG,20100615,26.2,26.2,24.6,25.5,2500
SDG,20100614,23.8,25,23.8,24.5,5300
SDG,20100611,23.7,23.7,23.7,23.7,300
SDG,20100610,25.4,25.4,25.4,25.4,100
SDG,20100609,24.6,26,24,24.6,5900
SDG,20100608,24.5,24.5,24.5,24.5,1000
SDG,20100607,26,26,22.6,23,3400
SDG,20100604,24.6,24.6,24.2,24.3,3600
SDG,20100602,26.5,26.5,25.5,26,200
SDG,20100528,27.7,27.7,26.2,27.3,3600
SDG,20100527,26.9,26.9,26.9,26.9,600
SDG,20100526,25.4,25.4,25.4,25.4,1000
SDG,20100525,25.5,25.5,25,25.3,1400
SDG,20100524,25.2,25.4,25,25.3,5100
SDG,20100521,24.1,24.1,24,24,34300
SDG,20100520,25.8,25.8,25.8,25.8,2000
SDG,20100519,26.9,27.5,25.3,26.3,14200
SDG,20100518,27.2,27.6,26.9,27.2,32400
SDG,20100517,28.3,28.3,25.9,26.3,4600
SDG,20100513,29.4,29.4,27.2,27.8,4300
SDG,20100512,29.4,29.4,28.8,29.2,1700
SDG,20100511,29.2,29.2,29.2,29.2,900
SDG,20100510,29.5,29.5,27.9,28.7,4300
SDG,20100507,30.5,30.5,28.8,30,900
SDG,20100506,30.8,30.8,30.4,30.6,4100
SDG,20100505,30.8,30.9,30.8,30.9,8200
SDG,20100504,31.1,31.1,30.2,30.6,14900
SDG,20100429,31.1,31.1,29.2,29.7,16000
SDG,20100428,30.8,31.8,29.8,31.3,15600
SDG,20100427,30.6,30.6,29.7,29.8,600
SDG,20100426,32.8,32.8,30.1,31.7,6200
SDG,20100422,31.1,31.1,29.6,30.8,59500
SDG,20100421,29.6,29.6,28.5,29.1,12600
SDG,20100420,29.2,29.2,27.4,28.4,4900
SDG,20100419,28.5,28.5,27.3,27.8,2100
SDG,20100416,28.3,28.5,25.1,27.4,7300
SDG,20100415,29.9,29.9,26.2,26.8,14400
SDG,20100414,29.5,29.6,27.2,28.2,15100
SDG,20100413,29.4,29.9,28.8,29.2,9100
SDG,20100412,28.1,29.2,28.1,28.5,2000
SDG,20100409,28.1,28.5,27.7,28.4,19600
SDG,20100408,25.4,27.2,25.4,26.9,32400
SDG,20100407,26.1,26.2,25.2,25.4,8700
SDG,20100406,25,25.4,25,25.3,9600
SDG,20100405,25,25,24.9,25,5400
SDG,20100402,24.9,24.9,24.9,24.9,1700
SDG,20100401,24.8,25.3,24.7,24.9,5800
SDG,20100331,24.9,26.2,24.7,24.8,47400
SDG,20100330,25,25,24.8,24.9,7700
SDG,20100329,26.1,26.1,24.6,25,5600
SDG,20100326,24.6,26.2,24.6,25.2,50500
SDG,20100325,25.8,25.8,24.1,25,24400
SDG,20100324,26.2,26.2,25.2,25.8,37000
SDG,20100323,24.5,24.5,24.5,24.5,26900
SDG,20100322,23.1,23.1,22.7,23,37800
SDG,20100319,20.8,21.8,20.8,21.6,12900
SDG,20100318,20.8,22.2,20.8,21.5,13900
SDG,20100317,19.6,22.3,19.6,21.8,21500
SDG,20100316,22.8,22.8,20.8,21.1,11100
SDG,20100315,24.2,24.2,21.9,22.4,12500
SDG,20100312,22.5,23.2,22.5,22.9,8100
SDG,20100311,21.2,22.1,20.8,21.7,15800
SDG,20100310,20.8,20.9,20.4,20.7,14200
SDG,20100309,20.8,21,20.7,20.8,13200
SDG,20100308,20.6,21.2,20.6,20.9,15300
SDG,20100305,19.2,20,19.2,19.8,1000
SDG,20100304,20.4,20.4,20,20.3,7800
SDG,20100303,20.3,20.3,20,20.2,3800
SDG,20100302,20,20,20,20,2000
SDG,20100301,20.2,20.2,20.2,20.2,300
SDG,20100226,18.9,19.7,18.8,18.9,1100
SDG,20100225,19.6,19.6,19.2,19.3,1400
SDG,20100224,20,20,18.8,19.7,2400
SDG,20100223,20,20,20,20,100
SDG,20100222,20.7,20.7,20.2,20.5,900
SDG,20100212,19.3,19.4,19.3,19.4,5000
SDG,20100211,18.2,18.2,18.2,18.2,1300
SDG,20100210,19.3,19.3,18.5,18.7,7500
SDG,20100209,19.3,19.3,19.1,19.2,4000
SDG,20100208,19.5,19.6,18.8,19.3,3300
SDG,20100205,21.4,21.4,19.5,19.6,9300
SDG,20100204,20.8,20.8,19.3,20.2,800
SDG,20100203,19.5,19.5,19.5,19.5,1700
SDG,20100202,20.3,20.3,19.3,19.5,3200
SDG,20100201,18.6,19.6,18.6,19.3,2300
SDG,20100129,18.5,19.7,18.4,19.1,12200
SDG,20100128,20,20,19.5,19.7,4200
SDG,20100127,21.5,21.7,19.9,21,8100
