<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDP,20100729,30.5,32.5,30.5,32.5,62800
SDP,20100728,32.3,32.8,30.8,31.5,56100
SDP,20100727,33.5,33.8,32.3,32.8,75700
SDP,20100726,34.3,35,33,33.8,163400
SDP,20100723,33.2,33.8,32.4,33.2,190800
SDP,20100722,33,33.3,32.3,32.6,173500
SDP,20100721,34,34.1,32.8,33.2,215200
SDP,20100720,34.2,34.5,33.7,34,82900
SDP,20100719,33.8,34.8,33.8,34.2,60500
SDP,20100716,36,36,34.4,34.8,109500
SDP,20100715,35,37.2,34.8,36.7,856100
SDP,20100714,34.2,35.6,33.6,34.8,414200
SDP,20100713,33,33.8,33,33.5,124800
SDP,20100712,32.9,32.9,32,32.5,29800
SDP,20100709,31.5,32.9,31.5,32.1,95700
SDP,20100708,31.8,32.6,31.2,31.5,131600
SDP,20100707,32,32,31.5,31.8,109500
SDP,20100706,32.7,32.7,31.6,31.8,88700
SDP,20100705,33.5,33.5,32.7,32.9,76700
SDP,20100702,32,33.4,32,32.7,118800
SDP,20100701,32,33.8,31.6,32.9,184700
SDP,20100630,31.2,32.3,31.2,31.7,233000
SDP,20100629,34,34,33,33.5,92200
SDP,20100628,33,34,33,33.5,71800
SDP,20100625,33.5,33.5,32.5,32.9,142000
SDP,20100624,34.5,35.1,33.5,34,119100
SDP,20100623,34.2,34.5,33.6,34.2,73300
SDP,20100622,35,35,33.8,34.3,119200
SDP,20100621,35,35.3,34.5,35,182900
SDP,20100618,34.8,35,33.8,34.5,245300
SDP,20100617,35,36.1,34.3,34.8,333300
SDP,20100616,36.5,37,35.3,36.1,136800
SDP,20100615,37.5,37.5,35.2,36.1,138800
SDP,20100614,36,36.5,35.1,36.4,310400
SDP,20100611,32.6,34.7,32.5,34.2,666800
SDP,20100610,32.5,33.2,31.9,32.5,109600
SDP,20100609,33.8,33.8,32.7,33.2,107100
SDP,20100608,33,33.5,31.7,32.7,136100
SDP,20100607,34.5,34.5,31.5,33.2,343100
SDP,20100604,31.5,32.5,30.6,32.3,353400
SDP,20100603,31.9,31.9,30,30.4,106400
SDP,20100602,30,30.5,28.7,30,75800
SDP,20100601,31,31.3,29.5,30.3,92300
SDP,20100531,32,33,30.1,31.5,56200
SDP,20100528,30.5,31.4,30.5,31.3,197100
SDP,20100527,28.6,29.8,28.6,29.4,84500
SDP,20100526,28.6,30.3,28.6,29.6,139600
SDP,20100525,28,29.5,27.8,28.6,70400
SDP,20100524,27,28.5,27,28.2,118400
SDP,20100521,26.6,27.5,26.6,26.7,190300
SDP,20100520,27.4,30.5,26.9,28.5,148400
SDP,20100519,30,30,28.5,28.9,136000
SDP,20100518,32,32,30.2,30.6,170300
SDP,20100517,34.2,34.2,31.5,32.4,52300
SDP,20100514,33.6,33.7,32.7,33.2,48400
SDP,20100513,33.3,34.8,31.5,32.6,113700
SDP,20100512,35,35,33.1,33.3,227600
SDP,20100511,37,37,35,35.5,125900
SDP,20100510,37,37.1,34.9,35.3,109700
SDP,20100507,37.2,38.7,36.3,37.5,352400
SDP,20100506,36.5,37.3,35.5,36.6,298200
SDP,20100505,36,36,34.5,34.9,136200
SDP,20100504,36.6,37.2,35.6,36,185300
SDP,20100429,35.6,36.6,35.1,35.8,216200
SDP,20100428,36.4,36.4,35.3,35.5,206600
SDP,20100427,35.6,37.9,35.5,36.4,136000
SDP,20100426,36,36.6,35.2,35.5,189800
SDP,20100422,39.5,40.4,35.6,37.9,465300
SDP,20100421,35.4,37.8,35.4,37.7,399100
SDP,20100420,34.9,35.6,34.9,35.3,172400
SDP,20100419,35.6,36.2,34.6,35.2,199700
SDP,20100416,35.1,36.6,35.1,35.9,378100
SDP,20100415,34,35.1,33.7,34.6,351600
SDP,20100414,32.7,33.6,32.3,32.8,168000
SDP,20100413,33.1,33.9,32.3,32.7,91500
