<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ST8,20100727,30,31,30,31,310
ST8,20100726,30.5,30.5,30.5,30.5,10
ST8,20100723,30.5,30.9,30.5,30.9,4390
ST8,20100722,30,31,30,31,1100
ST8,20100721,31,31,30,30,680
ST8,20100720,31,31,31,31,10
ST8,20100715,31.1,31.1,30,30,4280
ST8,20100714,31.2,31.2,31,31,8460
ST8,20100713,31.2,31.2,31,31.2,1360
ST8,20100712,31.2,31.2,31.2,31.2,890
ST8,20100709,31,31.2,31,31.2,2010
ST8,20100708,30.7,31.2,30.7,31.2,12560
ST8,20100706,30.6,30.6,30.6,30.6,1000
ST8,20100705,30.9,30.9,30.9,30.9,10
ST8,20100702,30.9,30.9,30.9,30.9,10
ST8,20100701,30.4,30.9,30.4,30.9,2050
ST8,20100630,30.9,30.9,30.7,30.7,160
ST8,20100629,31,31,31,31,160
ST8,20100628,30.6,31,30.6,31,8730
ST8,20100625,31.9,31.9,31.9,31.9,10
ST8,20100624,30.9,30.9,30.9,30.9,310
ST8,20100623,31.9,32,31.9,32,2000
ST8,20100622,31.2,31.2,31.1,31.1,3460
ST8,20100621,31.1,31.1,31.1,31.1,3180
ST8,20100618,32,32,32,32,11100
ST8,20100617,30.9,33,30.9,31,2520
ST8,20100616,30.6,32,30.6,32,2710
ST8,20100615,30.4,32,30.4,32,2390
ST8,20100614,31.5,31.5,31.3,31.3,2050
ST8,20100611,32,32.3,32,32.3,3830
ST8,20100610,32.7,32.7,32.7,32.7,5890
ST8,20100609,31,31.9,31,31.9,19420
ST8,20100608,30.3,31,30.3,31,5260
ST8,20100607,31.8,31.8,31.8,31.8,370
ST8,20100604,30.2,31.8,30.2,31.8,270
ST8,20100603,31.5,31.5,30.7,30.7,1890
ST8,20100602,29.7,31.5,29.7,31,1220
ST8,20100601,30.5,32.2,30.5,30.6,6670
ST8,20100531,32.9,32.9,31.1,31.1,2110
ST8,20100528,31.1,32,31.1,32,4410
ST8,20100527,30.4,32,30.4,32,8880
ST8,20100526,32,32,31,31.9,9630
ST8,20100525,30.1,32,29.5,32,5770
ST8,20100524,30.8,30.8,30.8,30.8,300
ST8,20100521,31.3,32.5,31.3,32.4,6920
ST8,20100520,30.9,33,30.9,33,13440
ST8,20100519,33.1,33.1,31.3,32.5,9360
ST8,20100518,32.3,33.1,32.3,33,49230
ST8,20100517,32.5,32.5,30,31.5,38700
ST8,20100514,30,31.5,30,31.5,64640
ST8,20100513,30.4,30.4,29.9,30,36260
ST8,20100512,29.2,30.5,29.2,30,36190
ST8,20100511,28.9,29.5,28.9,29.5,29050
ST8,20100510,29,29.1,28.1,28.9,40850
ST8,20100507,29.2,29.2,28.7,29.2,31980
ST8,20100506,30,30.5,30,30.2,25830
ST8,20100505,30.2,30.7,29,30.2,14930
ST8,20100504,30.2,30.2,30.2,30.2,15080
ST8,20100429,28.3,29,28.3,28.8,11370
ST8,20100428,28,28.5,28,28.4,15620
ST8,20100427,29,29,28.5,28.6,3910
ST8,20100426,30.4,30.4,29.2,29.2,1560
ST8,20100422,29.3,29.5,29,29.2,12390
ST8,20100421,28.4,29.5,28.4,29.4,25910
ST8,20100420,29.8,29.8,29.8,29.8,20
ST8,20100419,29,29,28.5,28.8,568360
ST8,20100416,28.2,29,28.1,28.5,30510
ST8,20100415,30.5,31.1,30.5,30.5,5410
ST8,20100414,31.4,31.4,31.1,31.2,900
ST8,20100413,30.9,30.9,30.4,30.4,5850
ST8,20100412,31.9,31.9,31.4,31.4,3750
ST8,20100409,31.2,31.2,30.5,30.5,7860
ST8,20100408,30,30.1,29.5,30.1,9390
ST8,20100407,29.8,30.4,29.8,30,3910
ST8,20100406,31.1,31.1,30.4,31.1,1880
ST8,20100405,31.7,31.7,31.1,31.1,2010
ST8,20100402,30.4,30.4,29.8,30.3,5620
ST8,20100401,29.8,31.2,29.8,29.8,3140
ST8,20100331,30,30.9,30,30.9,910
ST8,20100330,31.4,31.4,29.9,29.9,1760
ST8,20100329,30.8,31.4,30.8,31.4,50
ST8,20100326,32,32,31,31,690
ST8,20100325,31.9,32.2,31.4,31.9,3300
ST8,20100324,31.4,31.9,31.4,31.9,1280
ST8,20100323,31.3,32.1,31.3,31.9,1540
ST8,20100322,31.4,32.2,31.1,32.2,2520
ST8,20100319,31.4,32.6,31.4,32.6,1620
ST8,20100318,32.4,32.4,30.9,32.2,30780
ST8,20100317,31.2,31.4,31.2,31.2,1110
ST8,20100316,31.9,31.9,31.2,31.2,2860
ST8,20100315,32.8,32.8,32.4,32.4,8090
ST8,20100312,33.3,33.3,32.4,32.5,3200
ST8,20100311,33,33.5,32.8,33.4,5380
ST8,20100310,33.7,33.7,33.3,33.5,12150
ST8,20100309,32.8,34,32.6,32.6,14000
ST8,20100308,33.7,34,32,34,8910
ST8,20100305,33.3,33.3,32.3,33.3,5210
ST8,20100304,34.2,34.2,33.3,33.3,6760
ST8,20100303,32.8,34.2,32.8,33.8,38290
ST8,20100302,32.5,33.5,32.5,33.3,68220
ST8,20100301,31.7,32.3,31.7,32.1,23030
ST8,20100226,31.2,31.7,31.2,31.7,20550
ST8,20100225,32.3,32.3,30.8,30.8,15740
ST8,20100224,31.4,32.3,31.4,32.3,4780
ST8,20100223,31.8,31.9,31.4,31.4,25950
ST8,20100222,33,33,32.3,32.9,10660
ST8,20100212,31.5,31.5,31.5,31.5,23390
ST8,20100211,30,30,30,30,700
ST8,20100210,29.8,29.8,29.8,29.8,10
ST8,20100209,28.8,28.8,28.6,28.6,7760
ST8,20100208,29.3,30,29.3,30,20030
ST8,20100205,28,29.3,27.9,29.3,5690
ST8,20100204,29.5,29.5,28.1,29.1,3260
ST8,20100203,28.5,29,28.5,29,700
ST8,20100202,28.5,28.5,28.5,28.5,2230
ST8,20100201,28,28,27.6,27.6,1520
ST8,20100129,27.5,28.5,27.4,28.5,2180
ST8,20100128,28.5,28.5,27.8,27.8,5520
ST8,20100127,28.3,29.5,28.3,29.2,650
ST8,20100126,28.8,30.2,28.7,29,7710
ST8,20100125,28.5,28.9,27.6,28.9,6260
ST8,20100122,27.6,28.9,27.6,28.9,18750
ST8,20100121,28.5,29,28.5,29,3630
ST8,20100120,30.4,30.4,28.6,28.6,2110
ST8,20100119,28.6,30,28.6,30,3150
ST8,20100118,28.7,29.4,28.5,29.4,8980
ST8,20100115,30.4,30.4,28.9,29.8,42070
ST8,20100114,29.3,29.3,29.3,29.3,12770
ST8,20100113,30.6,30.6,27.9,27.9,21630
ST8,20100112,29.8,30.9,29.3,29.3,12660
ST8,20100111,31.1,31.4,30.6,30.8,10500
ST8,20100108,30.9,32.2,30.9,32.2,3770
ST8,20100107,31.6,31.6,31.5,31.5,6510
ST8,20100106,33.3,33.3,30.9,33.1,2760
ST8,20100105,33.7,33.7,32.3,32.3,5530
ST8,20100104,32,32.8,30,32.8,9500
ST8,20091231,30.1,33,30.1,31.6,11260
ST8,20091230,30.7,31.7,29.5,31.6,27850
ST8,20091229,30.2,30.2,28.8,30.1,14080
ST8,20091228,29.4,30.4,29.4,30.2,12570
ST8,20091225,31.4,31.4,30.8,30.8,2510
ST8,20091224,30.3,30.5,29.3,30.5,14990
ST8,20091223,29.8,29.8,29.1,29.3,14220
ST8,20091222,29,30,28.8,29.5,16240
ST8,20091221,26.8,29,26.8,29,5230
ST8,20091218,26.3,27.7,26.3,27.7,17040
ST8,20091217,24.9,26.6,24.8,26.3,10170
ST8,20091216,26.6,26.6,26.1,26.1,5730
ST8,20091215,27.6,28.9,27.1,27.6,1450
ST8,20091214,26.6,28.4,26.6,28.2,6050
ST8,20091211,27.5,27.5,27.5,27.5,2130
ST8,20091210,28,29.9,27.5,28.9,5230
ST8,20091209,27.3,28.9,27.1,28.9,4560
ST8,20091208,28.5,30,28,28.5,10750
ST8,20091207,28.1,29.3,28.1,28.7,39160
ST8,20091204,30.1,30.1,29,29.5,740
ST8,20091203,28.3,29.5,28.3,29.4,1110
ST8,20091202,28.5,29.9,28.5,29.9,9230
ST8,20091201,28.5,29.8,28.5,29.8,8110
ST8,20091130,29.1,29.1,28.5,28.5,3300
ST8,20091127,25.2,27.9,25.2,27.9,12820
ST8,20091126,26.5,26.5,26.5,26.5,24440
ST8,20091125,29.5,29.5,28,28,7360
ST8,20091124,29.2,32,29.2,29.5,10140
ST8,20091123,30.8,30.9,30.4,30.4,5520
ST8,20091120,32.1,32.1,31.4,32,5920
ST8,20091119,31.9,32,31.9,32,3010
ST8,20091118,30.5,32.2,30.5,32,920
ST8,20091117,31.8,32.2,31.4,31.8,8170
ST8,20091116,33.3,33.4,31.6,31.8,14090
ST8,20091113,32,33.3,32,33.3,5190
ST8,20091112,31.9,32,31.7,32,25090
ST8,20091111,30,30.5,29.5,30.5,2970
ST8,20091110,30.9,31.4,29.1,29.1,10720
ST8,20091109,31.9,33.3,30.3,30.3,14590
ST8,20091106,32.7,32.7,31.9,31.9,17820
ST8,20091105,31.7,32,30.6,32,24330
ST8,20091104,31,32.2,30,30.6,4370
ST8,20091103,31.2,31.9,30.8,30.8,42380
ST8,20091102,32.7,32.7,32.4,32.4,34110
ST8,20091030,34.9,34.9,33.7,34.1,46380
ST8,20091029,33.3,34.5,32.9,33.3,33860
ST8,20091028,34.9,34.9,32.8,34.7,26050
ST8,20091027,34.5,34.5,32.8,34.3,72360
ST8,20091026,35.8,35.8,34.1,34.5,123200
ST8,20091023,34,34,34,34,40060
ST8,20091022,32.4,32.4,32.4,32.4,51550
ST8,20091021,29.4,30.9,28.9,30.9,24180
ST8,20091020,30.1,30.1,29.4,29.4,27590
ST8,20091019,30.1,30.1,29,29,16190
ST8,20091016,31.5,31.5,30.1,30.2,15310
