<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TIE,20100729,24.5,25.5,24.5,25,41830
TIE,20100728,25.8,26.4,25,25,53090
TIE,20100727,25.8,26,25.6,25.8,31410
TIE,20100726,26.9,26.9,25.8,25.8,38440
TIE,20100723,26.6,27,26.3,26.3,50000
TIE,20100722,27.5,27.5,26.6,26.6,49830
TIE,20100721,27,27.5,26.5,27.5,111490
TIE,20100720,26.9,27,26.5,26.5,66960
TIE,20100719,26.4,26.7,26,26.1,66610
TIE,20100716,27.2,27.2,26.5,26.8,34480
TIE,20100715,27.4,27.5,26.8,27.2,32880
TIE,20100714,28,28,26.8,26.8,62900
TIE,20100713,27.4,27.7,27.3,27.7,135460
TIE,20100712,26,26.5,26,26.4,90590
TIE,20100709,25.5,26.2,25.5,26.1,25940
TIE,20100708,26,26.1,25.5,25.5,29670
TIE,20100707,26.4,26.4,25.6,25.6,47310
TIE,20100706,26,26.3,25.6,25.9,62620
TIE,20100705,26.2,26.5,26,26.2,18270
TIE,20100702,26.2,26.7,26.1,26.2,27650
TIE,20100701,26.9,26.9,25.9,26.1,20320
TIE,20100630,26.1,26.8,26.1,26.3,53720
TIE,20100629,27.1,27.7,27,27,55590
TIE,20100628,27.8,27.8,27.1,27.3,34440
TIE,20100625,27.3,28.2,27.1,27.1,75540
TIE,20100624,27.4,28.3,27.4,28.2,148330
TIE,20100623,26.3,27.4,26.3,27,57400
TIE,20100622,28,28.3,27,27.1,117030
TIE,20100621,28.2,28.5,27.6,28,123300
TIE,20100618,28,28,27.2,27.7,103130
TIE,20100617,27.6,28.5,27.2,28,105190
TIE,20100616,28.5,29.1,27.7,28,100400
TIE,20100615,28.1,28.2,26.5,28.2,268820
TIE,20100614,26.9,26.9,26.9,26.9,65580
TIE,20100611,25.2,25.7,24.9,25.7,145310
TIE,20100610,24.3,24.5,23.9,24.5,20250
TIE,20100609,24.2,25,23.8,23.8,38100
TIE,20100608,24.2,24.8,24,24.2,25750
TIE,20100607,24.4,24.9,24.3,24.3,86390
TIE,20100604,26.2,26.5,25.4,25.5,44080
TIE,20100603,26.9,26.9,26.2,26.2,49300
TIE,20100602,26,26.3,25.8,26.2,58790
TIE,20100601,25.3,26.4,25.3,26,66420
TIE,20100531,27,27.1,25.7,26.1,46810
TIE,20100528,27,27,26.5,27,122740
TIE,20100527,25,26,25,25.8,54230
TIE,20100526,24,25.2,23.8,25.2,125240
TIE,20100525,23,24.3,23,24,90620
TIE,20100524,24,24.1,23.1,23.2,124980
TIE,20100521,24.3,24.9,24.3,24.3,45110
TIE,20100520,24.4,25.6,24.3,25.5,65850
TIE,20100519,26,26.1,25.5,25.5,65650
TIE,20100518,26,26.9,25.5,26.8,60410
TIE,20100517,27.5,27.5,26,26.6,52710
TIE,20100514,26.7,27.5,26.7,27.3,47950
TIE,20100513,26.6,29.2,26.6,27,230170
TIE,20100512,28.8,29,28,28,80430
TIE,20100511,31.5,31.5,29.5,29.5,121330
TIE,20100510,31,31.5,30.9,30.9,95110
TIE,20100507,33.5,34,32.2,32.5,345800
TIE,20100506,33.2,33.2,33.2,33.2,36360
TIE,20100505,30.1,31.6,30.1,31.6,201690
TIE,20100504,31,31,30.1,30.1,150090
TIE,20100429,30.3,30.4,29.8,30.1,159370
TIE,20100428,28.7,30.7,28.7,29.5,116850
TIE,20100427,28.5,29.5,28,29.5,185790
TIE,20100426,27.8,29.1,27.8,28.1,130400
TIE,20100422,28.2,29.3,28,28,142940
TIE,20100421,28.4,29.4,28.2,28.3,116420
TIE,20100420,29.5,30,28.3,28.3,196670
TIE,20100419,28.1,30.5,28.1,29.5,188100
TIE,20100416,30.5,30.8,29.2,29.2,179170
TIE,20100415,30.8,31.8,30.5,30.5,140800
TIE,20100414,29,30.8,28,30.8,295190
TIE,20100413,30.5,30.5,29.4,29.4,158320
TIE,20100412,31.5,32.3,30.8,30.9,314570
TIE,20100409,30.5,30.8,30.5,30.8,196660
