<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TPP,20100729,19.4,20.7,19.4,20,36100
TPP,20100728,20.7,20.7,20.5,20.5,59600
TPP,20100727,22,22.2,21.5,22,29400
TPP,20100726,22,22.3,20.9,21.8,124900
TPP,20100723,21,21.5,20.7,20.9,17600
TPP,20100722,21,21.6,20.2,20.9,66600
TPP,20100721,24,24,21.1,21.6,85600
TPP,20100720,22.5,22.5,22.2,22.5,145600
TPP,20100719,21,21.1,20.9,21.1,73500
TPP,20100716,19.5,20.5,19,19.8,50400
TPP,20100715,20.3,20.3,19.4,19.6,56500
TPP,20100714,21.5,21.5,20,20.8,53600
TPP,20100713,20.3,21.3,20.3,20.8,24200
TPP,20100712,21.5,21.5,20.1,20.3,71400
TPP,20100709,21.9,21.9,20.8,21.6,101200
TPP,20100708,19,21.1,18.5,20.5,143500
TPP,20100707,19.1,20,18.9,19.8,166000
TPP,20100706,18,18.7,18,18.7,95100
TPP,20100705,17.9,17.9,16.2,17.5,51500
TPP,20100702,17.5,17.6,17.2,17.3,26100
TPP,20100701,17.7,17.9,17,17.5,42700
TPP,20100630,17.6,18,17.6,17.7,44700
TPP,20100629,19,19.2,18.5,18.9,69500
TPP,20100628,20,20,18.5,18.9,8600
TPP,20100625,18,19.2,18,18.7,95900
TPP,20100624,17.2,18.1,17.2,18,70500
TPP,20100623,16.8,17.1,16.8,17,10300
TPP,20100622,18,18,17,17.3,7100
TPP,20100621,17,18,17,17.7,45000
TPP,20100618,16.3,17,16.3,16.9,35100
TPP,20100617,16.5,16.9,16.5,16.7,4800
TPP,20100616,17.1,17.1,16.5,16.8,12800
TPP,20100615,17.9,17.9,16.4,17.1,11000
TPP,20100614,16.2,17.3,16.2,16.9,58600
TPP,20100611,16.2,16.2,16.2,16.2,5000
TPP,20100610,15.8,16,15.7,15.8,17200
TPP,20100609,16.7,17,16.2,16.8,19400
TPP,20100608,16,16.9,15.8,16.6,19500
TPP,20100607,15.3,16.4,15.3,15.9,28400
TPP,20100604,17.1,17.1,16.2,16.2,7200
TPP,20100603,18.1,18.1,16,16.5,26700
TPP,20100602,17.4,17.6,16.8,17.2,10600
TPP,20100601,16.3,18,16.2,16.5,25500
TPP,20100531,18.1,18.1,17.3,17.4,17500
TPP,20100528,19,19.1,17.9,18.5,60400
TPP,20100527,17.5,18,17.5,17.9,22900
TPP,20100526,16.5,18,16.5,17.4,23500
TPP,20100525,16.9,17,16.1,17,5100
TPP,20100524,15.5,16.2,15.5,16.1,18500
