<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TTP,20100729,38,38,37.5,37.5,540
TTP,20100728,38,38,37.5,38,4490
TTP,20100727,38,38,38,38,16320
TTP,20100726,38,38,38,38,2370
TTP,20100723,38,38,38,38,420
TTP,20100722,38,38.5,38,38,570
TTP,20100721,38.5,38.8,38.4,38.5,4880
TTP,20100720,38.3,38.6,38.3,38.6,6600
TTP,20100719,38.5,38.9,38,38.9,1250
TTP,20100716,37.8,38.6,37.8,38.2,5450
TTP,20100715,39,39,37.6,37.6,2660
TTP,20100714,38.7,39,38,39,6880
TTP,20100713,37.7,38.8,37.7,38.8,2140
TTP,20100709,37.6,37.6,37.6,37.6,900
TTP,20100708,39,39,37.6,37.6,5310
TTP,20100707,37.6,39.4,37.6,39.4,1910
TTP,20100706,37.7,37.8,37.5,37.6,9400
TTP,20100705,38.5,38.5,37.6,37.6,8730
TTP,20100702,38.5,38.5,38.1,38.5,2670
TTP,20100701,39,39,38.6,38.6,880
TTP,20100630,39.2,39.6,39,39,4100
TTP,20100629,39,39.7,39,39.7,950
TTP,20100628,40,40,39.6,39.6,12690
TTP,20100625,39,39.8,39,39.8,5720
TTP,20100624,39.9,39.9,39.8,39.8,9520
TTP,20100623,39.8,39.9,39.8,39.9,8500
TTP,20100622,39.8,39.9,39.8,39.8,8050
TTP,20100621,39.5,40,39.5,39.8,1900
TTP,20100618,39.5,39.5,39.4,39.5,1800
TTP,20100617,39.7,39.9,39.5,39.8,20850
TTP,20100616,39.9,40,39,39.4,6050
TTP,20100615,39.3,39.4,39.2,39.4,9340
TTP,20100614,39.5,39.5,39,39.4,2900
TTP,20100611,39.8,39.8,39,39.6,4010
TTP,20100610,39.8,39.8,38.2,39.8,2480
TTP,20100609,39,39.5,39,39.4,3990
TTP,20100608,38.6,38.7,38.5,38.5,14010
TTP,20100607,38.8,39,38.6,38.6,77580
TTP,20100604,41,41,40.6,40.6,14020
TTP,20100603,41,41,40.5,40.8,8700
TTP,20100602,41,41.3,41,41.3,8040
TTP,20100601,41.8,41.8,40.5,41,15890
TTP,20100531,40.9,42,40.9,41.8,11400
