<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TV4,20100729,24.5,25,24,24.8,17700
TV4,20100728,24.5,24.5,23.5,23.7,37500
TV4,20100727,24.4,24.6,23.7,24,33200
TV4,20100726,24.2,25,24,24.3,12900
TV4,20100723,26.5,26.7,24.4,24.8,23400
TV4,20100722,26.5,26.5,24,25.9,22100
TV4,20100721,25.8,25.8,25.2,25.4,66100
TV4,20100720,25.4,26.4,25.2,25.7,87300
TV4,20100719,26,26,25.1,25.5,51100
TV4,20100716,26.7,27.7,26.3,26.6,67800
TV4,20100715,26.3,26.3,25.3,25.9,55800
TV4,20100714,27,27,25.3,26,83900
TV4,20100713,24.6,25.3,24.4,25.3,174100
TV4,20100712,24.1,24.2,23.3,23.8,39900
TV4,20100709,23.3,23.3,22.5,23.3,26900
TV4,20100708,24.6,24.6,23.2,23.5,39100
TV4,20100707,24,24,23.3,23.5,42300
TV4,20100706,24.1,24.1,23.1,23.4,19600
TV4,20100705,24.2,24.3,22.9,24.1,54100
TV4,20100702,22.5,23.4,22.3,22.8,36400
TV4,20100701,23.2,23.2,22,22.2,51600
TV4,20100630,23,23.2,22.8,22.8,73900
TV4,20100629,25.8,25.8,24.2,24.5,44900
TV4,20100628,25.7,25.8,23.8,24.3,94500
TV4,20100625,24.2,24.7,23.8,24.3,26000
TV4,20100624,25,25.6,24.4,24.8,107700
TV4,20100623,22.5,24.7,22,24.5,159300
TV4,20100622,23.3,23.3,22.8,23.1,51100
TV4,20100621,23.7,23.7,23.1,23.3,43500
TV4,20100618,22.9,23.1,22.3,22.8,39100
TV4,20100617,23.5,23.5,22.7,23.1,55500
TV4,20100616,23.8,23.8,22.3,23.2,70000
TV4,20100615,22.3,22.3,22.3,22.3,10200
TV4,20100614,20.2,21.2,20.2,20.8,48500
TV4,20100611,19.8,20.2,19.8,19.8,25900
TV4,20100610,19.6,19.9,19.6,19.8,16300
TV4,20100609,20.3,20.3,19.6,19.8,17400
TV4,20100608,19.8,19.9,19.2,19.6,8200
TV4,20100607,20,20,19.3,19.4,58300
TV4,20100604,20.7,20.8,20.5,20.8,27800
TV4,20100603,20.8,20.9,20.3,20.7,14500
TV4,20100602,20.8,20.8,20.3,20.5,8800
TV4,20100601,20.8,20.8,20,20.3,49400
TV4,20100531,22.1,22.1,20.7,21.5,27700
TV4,20100528,21.2,21.4,20.8,21.3,52400
TV4,20100527,19.8,20.4,19.5,20.1,46100
TV4,20100526,19.2,19.6,18.9,19.4,29000
TV4,20100525,18.6,19.1,17.8,18.3,25200
TV4,20100524,17.3,18.6,17.3,18,42100
TV4,20100521,17.5,17.9,17.3,17.4,57900
TV4,20100520,18.8,20,18.1,18.6,73100
TV4,20100519,20.2,20.2,19.2,19.4,55100
TV4,20100518,20.4,21.7,20,20.6,51500
TV4,20100517,22.5,22.5,21.3,21.5,55600
TV4,20100514,23.8,24.6,22.1,22.9,36100
TV4,20100513,23.5,24.8,23.2,23.6,19500
TV4,20100512,25,25,24.8,24.8,24900
TV4,20100511,28.3,28.3,25,26.7,81900
TV4,20100510,25.4,26.8,25.4,26.5,181900
TV4,20100507,26.3,26.3,24.8,25,130200
TV4,20100506,28.2,28.2,26,26.7,101200
TV4,20100505,24.6,27,24.4,26.7,207500
TV4,20100504,24.3,27.7,24.3,25.3,61900
TV4,20100429,26.4,26.4,24.9,26,191700
TV4,20100428,23.6,24.8,23.6,24.8,161800
TV4,20100427,23.3,24,22.3,23.3,123600
TV4,20100426,21.7,23.9,21.7,23.3,88500
TV4,20100422,24.2,24.2,22.3,22.4,88100
TV4,20100421,24.3,24.3,22.8,24,188700
TV4,20100420,22.8,22.8,22.4,22.8,167600
TV4,20100419,21,21.4,21,21.4,107800
TV4,20100416,20,20.4,19.2,20.1,155200
TV4,20100415,18.4,19.2,18.3,19.1,107700
TV4,20100414,17.9,18.3,17.8,17.9,12300
TV4,20100413,17.8,18,17.7,17.8,5900
TV4,20100412,17.7,18.3,17.6,17.9,19400
TV4,20100409,17.3,18.6,17.3,18,31200
TV4,20100408,18.3,19,17.9,18.6,10800
TV4,20100407,18.3,18.5,18.2,18.3,9200
TV4,20100406,17.8,18.3,17.5,17.7,33500
TV4,20100405,18.8,18.8,18.3,18.8,94800
TV4,20100402,17.5,17.8,17.3,17.7,63100
TV4,20100401,16.8,16.8,16.4,16.7,8300
TV4,20100331,16.3,16.5,15.9,16.2,10100
TV4,20100330,16.9,16.9,16.5,16.8,5600
TV4,20100329,17.3,17.3,17.3,17.3,200
TV4,20100326,16.5,17.1,16.3,16.5,7000
TV4,20100325,16.6,16.6,16.3,16.5,6600
TV4,20100324,16.7,16.8,16.6,16.7,4700
TV4,20100323,16.8,16.8,16.6,16.8,16000
TV4,20100322,16.9,16.9,16.8,16.8,2500
TV4,20100319,16.7,16.9,16.5,16.7,13800
TV4,20100318,16.7,16.7,16.7,16.7,2100
TV4,20100317,16.6,16.8,16.5,16.7,22300
TV4,20100316,16.7,16.8,16.5,16.6,13000
TV4,20100315,17.5,17.5,16.5,16.8,24400
TV4,20100312,16.8,17.4,16.8,17,3300
TV4,20100311,16.8,17.1,16.8,17,4200
TV4,20100310,17.3,17.4,16.8,17,15000
TV4,20100309,17.1,17.4,17.1,17.3,10300
TV4,20100308,17.3,17.7,17.3,17.7,36800
TV4,20100305,16.5,16.8,16.3,16.6,19900
TV4,20100304,17,17,16.4,16.5,17600
TV4,20100303,16.3,16.4,16.3,16.4,16700
TV4,20100302,16.4,16.5,16.1,16.3,6100
TV4,20100301,16.5,16.5,15.9,16.3,7500
TV4,20100226,15.8,15.8,15.8,15.8,5000
TV4,20100225,15.8,15.8,15.8,15.8,1300
TV4,20100224,15.8,15.9,15.8,15.8,2300
TV4,20100223,16.1,16.1,15.5,15.7,3500
TV4,20100222,16.4,16.4,15.8,16.1,1000
TV4,20100212,15.9,16,15.8,15.9,3300
TV4,20100211,15.8,16.2,15.8,15.8,5700
TV4,20100210,15.7,15.7,15.5,15.5,3200
TV4,20100209,15.7,15.7,15.4,15.5,6900
TV4,20100208,16.7,16.7,15.8,16,3300
TV4,20100205,16,16,15.6,15.8,11200
TV4,20100204,16,16.2,16,16.1,5200
TV4,20100203,15.7,15.7,15.7,15.7,2500
TV4,20100202,15.8,15.8,15.6,15.7,7600
TV4,20100201,15.7,15.8,15.7,15.8,2500
TV4,20100129,15.9,15.9,15.6,15.8,9700
TV4,20100128,15.9,16.1,15.8,15.9,12500
TV4,20100127,16.2,16.2,15.5,15.8,3000
TV4,20100126,16.4,16.6,16.2,16.5,21400
TV4,20100125,15.6,15.6,15.4,15.5,5000
TV4,20100122,16,16,15.3,15.6,12300
TV4,20100121,15.9,16,15.6,15.8,3300
TV4,20100120,16.1,16.1,15.8,16,4400
TV4,20100119,17.1,17.1,16.3,16.6,16200
TV4,20100118,17.3,17.3,16.4,17,99800
TV4,20100115,16.2,16.2,16.2,16.2,13800
TV4,20100114,15.2,15.2,15.2,15.2,6100
TV4,20100113,14.3,14.3,14.2,14.3,5000
TV4,20100112,14.6,14.6,14.3,14.5,15300
TV4,20100111,14.9,14.9,14.6,14.7,2200
TV4,20100108,14.8,15.3,14.7,15,12900
TV4,20100107,15.1,15.1,14.7,15,2000
TV4,20100106,15,15.4,15,15.2,7800
TV4,20100105,16.6,16.6,14.6,15.4,13500
TV4,20100104,15,15.7,15,15.5,9400
TV4,20091231,14.6,15,14.5,14.7,5600
TV4,20091230,14.2,14.3,14.2,14.3,4300
TV4,20091229,14.2,14.7,14.2,14.3,5700
TV4,20091228,14.6,14.9,14.6,14.7,12300
TV4,20091225,14.2,14.8,14.2,14.8,20100
TV4,20091224,13.8,14.5,13.8,14.1,6500
TV4,20091223,14.3,14.4,14.2,14.3,5300
TV4,20091222,14.6,14.6,14.2,14.3,3000
TV4,20091221,14.3,14.8,14,14.8,23400
TV4,20091218,13.9,13.9,13.9,13.9,11900
TV4,20091217,13.3,13.3,12.8,13.1,3800
TV4,20091216,13.8,13.8,13.3,13.4,5100
TV4,20091215,14.2,14.2,14.2,14.2,1500
TV4,20091214,14.2,14.2,13.3,14.2,5800
TV4,20091211,14.7,14.7,12.9,13.3,13500
TV4,20091210,13.8,13.8,13.7,13.8,13900
TV4,20091209,14.1,14.1,13.7,13.8,9100
TV4,20091208,14.4,14.7,14.3,14.3,4900
TV4,20091207,14.5,14.7,14.2,14.4,13600
TV4,20091204,14.7,14.8,14.5,14.6,8700
TV4,20091203,15.3,15.3,14.3,14.5,12300
TV4,20091202,15.4,16,14.9,15.3,27000
TV4,20091201,15.8,16.3,15.6,16,10300
TV4,20091130,15.4,15.6,15.2,15.4,36300
TV4,20091127,14.1,15.4,14.1,14.6,17500
TV4,20091126,15.1,15.1,15,15,21200
TV4,20091125,16.7,16.7,15.8,16.1,31500
TV4,20091124,17.2,17.3,16.8,17,11100
TV4,20091123,17.5,17.7,17.3,17.4,17800
TV4,20091120,18.3,18.5,17.2,17.8,23800
TV4,20091119,18.3,18.3,18.3,18.3,3400
TV4,20091118,17.8,18.2,17.2,17.7,26700
TV4,20091117,18,18,17.5,17.7,34900
TV4,20091116,18.3,19,18,18.8,12300
TV4,20091113,17.9,18.2,17.7,18,12800
TV4,20091112,18.4,18.4,17.8,18.1,24400
TV4,20091111,17.8,18.3,17.3,18,24700
TV4,20091110,17.8,17.8,17.2,17.4,18000
TV4,20091109,18.4,18.5,18.4,18.4,25600
TV4,20091106,19.9,20.2,18.8,19.8,43400
TV4,20091105,18.3,19.2,18.3,18.9,42300
TV4,20091104,18.7,18.7,17.6,18.3,34700
TV4,20091103,18.1,18.1,17.2,17.5,27900
TV4,20091102,18.3,18.3,18.1,18.1,27400
TV4,20091030,18.8,19.6,18.5,19.4,41500
TV4,20091029,19.2,19.2,17.7,18.3,49500
TV4,20091028,18.8,18.9,18.6,18.9,71400
TV4,20091027,17.7,18.2,17.6,17.8,45800
TV4,20091026,19.8,20.5,18.5,18.8,35800
TV4,20091023,20.8,20.8,19.4,19.8,42900
TV4,20091022,21.2,21.3,20,20.8,48300
TV4,20091021,20.5,20.8,20,20.3,53600
TV4,20091020,19.8,20.1,19.8,20.1,95500
TV4,20091019,18.8,19.6,18.5,18.8,56400
TV4,20091016,21.6,22.1,19.6,19.8,124400
TV4,20091015,20.9,21,20.8,21,103800
TV4,20091014,19.7,19.7,19.6,19.7,74000
TV4,20091013,18.3,18.4,18.3,18.4,112300
TV4,20091012,17.1,17.7,16.7,17.3,90200
TV4,20091009,17.1,17.1,16.3,16.6,26700
TV4,20091008,17.3,17.3,16,16.2,31500
TV4,20091007,15.8,16.2,15.8,16.2,44300
TV4,20091006,15.4,15.4,15,15.2,4300
TV4,20091005,14.6,15.4,14.6,15.2,2200
TV4,20091002,16.8,16.8,15,15.1,12300
TV4,20091001,15.8,15.8,15.5,15.7,14200
TV4,20090930,16.3,16.5,15.8,15.9,26900
TV4,20090929,16.2,16.3,16,16.2,21200
TV4,20090928,16.2,16.3,16.2,16.3,5700
TV4,20090925,15.7,16.7,15.7,16.2,6100
TV4,20090924,16.3,16.3,16,16.1,13800
TV4,20090923,16.3,17.1,15.8,16.4,24900
TV4,20090922,16.7,16.8,16,16.3,11900
TV4,20090921,16.2,17.2,16.2,17.1,61400
TV4,20090918,16.7,16.7,15.9,16.1,9100
TV4,20090917,15.9,16.3,15.8,15.9,41000
TV4,20090916,16.3,16.3,15.6,15.8,15100
TV4,20090915,17.1,17.5,15.8,16.4,21200
TV4,20090914,17.3,17.5,16.7,17,51600
TV4,20090911,15.6,16.7,15.6,16.4,101900
TV4,20090910,15.5,15.7,15.5,15.6,13400
TV4,20090909,15.4,15.8,15.2,15.5,10600
TV4,20090908,15.4,15.8,15.3,15.6,22300
TV4,20090907,15.8,15.8,14.8,15.3,37700
TV4,20090904,15.5,16.1,15.3,15.6,53900
TV4,20090903,15,15.5,15,15.3,22000
TV4,20090901,15.7,15.8,15.2,15.4,17600
TV4,20090831,16.8,17.1,15.5,16.3,38200
TV4,20090828,15.4,16.3,15.4,16.3,45400
TV4,20090827,14.8,15.7,14.7,15.3,55100
TV4,20090826,14.4,14.9,14.4,14.7,25000
TV4,20090825,14.6,14.6,14.4,14.5,15600
TV4,20090824,14.4,14.6,14.3,14.5,25400
TV4,20090821,14.4,14.6,14.1,14.4,17500
TV4,20090820,14.3,14.3,14.2,14.3,13800
TV4,20090819,14.2,14.2,13.9,14,20800
TV4,20090818,13,14.4,13,13.8,9600
TV4,20090817,13.8,14,13.8,13.9,6300
TV4,20090814,14.2,14.6,14.2,14.5,1000
TV4,20090813,14.6,15,14.3,14.6,25400
TV4,20090812,14.3,14.5,14.2,14.3,9900
TV4,20090811,14.2,14.3,14.1,14.2,13100
TV4,20090810,14,14.3,13.9,14.1,13400
TV4,20090807,14.1,14.1,13.8,13.8,6100
TV4,20090806,13.8,14,13.8,13.9,6800
TV4,20090805,14.4,14.4,13.4,13.6,11400
TV4,20090804,14.3,14.4,14.3,14.4,200
TV4,20090803,14.2,14.2,13.3,14.2,6100
TV4,20090731,14.1,14.2,13.8,14.1,5200
TV4,20090730,13.3,13.3,13.1,13.3,8300
TV4,20090729,13.5,13.7,13.2,13.4,9100
TV4,20090728,14.3,14.3,13.8,13.9,8400
TV4,20090727,15.4,15.5,14.6,14.8,13900
TV4,20090724,14.6,14.6,14.2,14.6,10500
TV4,20090723,13.3,13.8,13.3,13.7,2400
TV4,20090722,13.3,13.3,12.9,13.1,9700
TV4,20090721,13.3,13.3,13.3,13.3,2100
TV4,20090720,13.4,13.4,13,13.3,1400
TV4,20090717,13.3,13.4,13.3,13.4,2200
TV4,20090716,14.1,14.1,13.3,13.3,3000
TV4,20090715,13.8,13.8,13.2,13.3,8000
TV4,20090714,13.3,13.3,12.7,13,21000
TV4,20090713,13.3,13.8,13,13.2,12900
TV4,20090710,13.8,14.3,13.8,13.8,23700
TV4,20090709,14.8,14.8,14.3,14.5,5200
TV4,20090708,14.8,14.8,14.3,14.6,3900
TV4,20090707,15.6,15.6,14.3,14.8,5100
TV4,20090706,14.3,14.6,14.3,14.6,24900
TV4,20090703,13.3,14.8,13.3,13.7,11000
TV4,20090702,13.9,13.9,13.8,13.8,9500
TV4,20090701,13.3,13.3,12.9,13.1,17000
TV4,20090630,14.8,14.8,13.5,13.8,46600
TV4,20090629,14.3,15.3,14.3,14.5,34900
TV4,20090626,15.5,15.5,15.3,15.3,20500
TV4,20090625,17,17,16.3,16.4,8000
TV4,20090624,16.2,17.3,15.8,17,27300
TV4,20090623,16.2,16.2,16.2,16.2,5700
TV4,20090622,17.3,17.5,17.3,17.3,15300
TV4,20090619,18.3,18.7,18.3,18.6,80200
TV4,20090618,17.2,18.8,17.2,17.5,103400
TV4,20090617,18.4,18.4,18.4,18.4,6800
TV4,20090616,19.8,19.8,19.8,19.8,6000
TV4,20090615,23.6,23.6,20.6,21.2,111400
TV4,20090612,22.1,22.1,22.1,22.1,21600
TV4,20090611,20.7,20.7,20.7,20.7,43600
TV4,20090610,19.3,19.3,19.3,19.3,171700
TV4,20090609,18.1,18.1,18.1,18.1,21100
TV4,20090608,16.9,16.9,16.9,16.9,18100
TV4,20090605,15.3,15.8,15.3,15.8,90700
TV4,20090604,15,15.4,14.5,14.8,54000
TV4,20090603,15,15.1,14.7,14.8,22000
TV4,20090602,15.9,15.9,14.8,15,48800
TV4,20090601,14.2,15.2,14.1,14.9,11200
