<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
V11,20100729,26.5,27.5,26.5,27.5,70100
V11,20100728,28,28,26.1,26.9,90700
V11,20100727,29.8,29.8,27.2,28,40100
V11,20100726,29.6,29.8,28.7,29,107400
V11,20100723,31.5,31.5,29,29.3,63100
V11,20100722,31,31.3,29.7,30.4,64900
V11,20100721,32,32,30.1,31,120900
V11,20100720,31.8,32.2,31.5,32.1,429400
V11,20100719,28.8,30.8,28.8,30.1,187800
V11,20100716,28.8,29.5,28.5,28.8,120500
V11,20100715,31,31,29.1,29.9,113200
V11,20100714,30.4,30.4,28.6,30,391500
V11,20100713,28,28.5,28,28.5,39100
V11,20100712,25.5,27.1,25.5,26.7,81400
V11,20100709,25.2,25.9,25,25.4,25300
V11,20100708,26.3,26.3,25,25.6,20800
V11,20100707,26.5,26.8,25.8,26.1,39200
V11,20100706,25.8,26.1,25.5,25.8,23300
V11,20100705,26.5,26.7,26.2,26.4,32700
V11,20100702,27,27,26,26.1,40100
V11,20100701,25.5,27.1,25.5,26.2,48100
V11,20100630,25,25.8,24.6,25.4,42900
V11,20100629,27,27,26.3,26.4,23000
V11,20100628,26.7,27,26,26.4,44400
V11,20100625,28.1,28.1,26.7,27.1,73200
V11,20100624,29.9,29.9,28,28.2,80200
V11,20100623,28.8,28.8,27.8,28.3,77700
V11,20100622,28.2,29.1,27.7,28.3,256800
V11,20100621,28,28.2,27.3,27.7,91200
V11,20100618,26.7,28.2,26.7,27.5,107900
V11,20100617,27.2,27.3,26.5,26.8,116100
V11,20100616,27.8,28,27,27.4,98800
V11,20100615,26.8,28.2,26.8,27.8,152600
V11,20100614,25.5,26.8,25.5,26.4,132600
V11,20100611,26.5,26.5,25,25.5,44900
V11,20100610,25.5,25.5,24.7,24.9,29000
V11,20100609,25.2,25.2,24.1,24.7,41900
V11,20100608,23.8,24.8,23.5,23.9,42700
V11,20100607,24,24.1,23.8,23.8,113300
V11,20100604,26,26.3,25,25.5,54200
V11,20100603,27,27,25.8,26,40600
V11,20100602,25.5,26.4,25.5,25.9,59200
V11,20100601,26.3,26.5,25.6,26.2,44700
V11,20100531,26,28,25.5,26.3,32800
V11,20100528,26,27.1,26,27.1,125600
V11,20100527,25,27,24.5,25.4,61400
V11,20100526,24.4,25.7,24.4,25.5,91200
V11,20100525,24.3,24.8,23.8,24.1,53200
V11,20100524,23,24.2,22.7,23.7,62100
V11,20100521,22.6,23,22.6,22.7,111600
V11,20100520,23.4,26,23.4,24.2,69600
V11,20100519,25.6,26,24.8,25.1,104800
V11,20100518,27.6,27.6,25.8,26.6,64700
V11,20100517,27.3,29.3,25.5,26.6,214200
V11,20100514,27,28,26.9,27.4,156200
