<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VBH,20100729,14.5,14.5,14.5,14.5,100
VBH,20100728,15.5,15.5,14.5,14.6,800
VBH,20100727,14.6,14.6,14.5,14.5,900
VBH,20100726,14.6,14.6,13.6,13.7,4300
VBH,20100723,15.2,15.2,14.2,14.5,300
VBH,20100722,15.2,15.2,15.2,15.2,100
VBH,20100721,15.2,15.2,15,15,1100
VBH,20100720,15,15,15,15,100
VBH,20100719,15.3,15.3,13.6,14.4,400
VBH,20100716,15.4,15.4,14,14.6,1600
VBH,20100715,14.6,14.6,14.4,14.4,2500
VBH,20100714,14.8,14.8,14.6,14.6,2100
VBH,20100713,14.6,14.6,14.6,14.6,100
VBH,20100712,14.1,14.1,14.1,14.1,100
VBH,20100709,14.1,14.1,14.1,14.1,100
VBH,20100708,14.5,14.5,14,14.1,700
VBH,20100707,14.3,14.3,14.3,14.3,100
VBH,20100706,13.4,14.1,13.4,13.5,1400
VBH,20100705,13.8,14.4,13.1,13.5,1100
VBH,20100702,14.2,14.2,13.9,13.9,3200
VBH,20100701,13.9,13.9,13.8,13.9,200
VBH,20100630,14,14,12.3,13,700
VBH,20100629,14.4,14.4,13,13.1,1800
VBH,20100628,14.5,14.5,13.1,13.9,600
VBH,20100625,14.1,14.1,13.9,14,400
VBH,20100624,15.3,15.3,13.4,13.6,2700
VBH,20100623,14.5,14.5,14,14.3,300
VBH,20100622,14.4,14.5,13.7,14.3,2900
VBH,20100621,14,14.7,14,14.5,6100
VBH,20100618,13.8,13.8,13.6,13.8,2100
VBH,20100617,13.4,13.4,13.4,13.4,100
VBH,20100616,13.5,13.5,12.9,12.9,5400
VBH,20100615,13.8,13.8,13.8,13.8,100
VBH,20100614,13.8,13.8,13.8,13.8,100
VBH,20100611,12.9,12.9,12.8,12.9,1600
VBH,20100610,12.8,12.8,12.8,12.8,100
VBH,20100609,13,13,12.1,12.2,3000
VBH,20100608,13,13,13,13,100
VBH,20100607,12.5,12.9,12.5,12.6,400
VBH,20100604,13.3,13.3,12,12.3,800
VBH,20100603,12.8,12.8,12.8,12.8,100
VBH,20100602,11.5,12.9,11.5,12.1,2500
VBH,20100601,13.2,13.2,12,12.3,600
VBH,20100531,11.7,13,11.7,12.4,900
VBH,20100528,12.5,12.6,12.4,12.5,800
VBH,20100527,13,13,11.7,11.9,1800
VBH,20100526,12.5,12.5,12.5,12.5,100
VBH,20100525,13.4,13.4,13.4,13.4,300
VBH,20100524,12.9,12.9,12.8,12.9,600
VBH,20100521,11.2,12.8,11.2,12.1,500
VBH,20100520,13.2,13.2,11.6,12,700
VBH,20100519,12.4,13.1,11.7,12.4,3900
