<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VC7,20100729,33,35.3,33,35.3,206200
VC7,20100728,33.5,34.1,32.5,33,106900
VC7,20100727,36,36,33,33.2,194900
VC7,20100726,36.5,36.5,34.6,35.4,84100
VC7,20100723,36,36.9,35.5,36,96200
VC7,20100722,37.4,37.4,35.1,35.9,168000
VC7,20100721,38,39,36,37.4,382100
VC7,20100720,39.6,39.6,36.7,37.8,263600
VC7,20100719,39.2,41,38.7,39.3,325500
VC7,20100716,40,40.2,37.3,39.1,367700
VC7,20100715,35,38.3,34.9,37.6,453000
VC7,20100714,38,38,34,35.8,247300
VC7,20100713,35.7,35.7,34.9,35.7,165500
VC7,20100712,31.8,33.5,31.4,33.4,356000
VC7,20100709,30,32.2,29.6,31.4,163300
VC7,20100708,32.5,32.7,31,31.5,180900
VC7,20100707,29.8,30.6,29.8,30.6,185100
VC7,20100706,28.4,29.5,28.3,28.6,119300
VC7,20100705,28.5,29,28.5,28.7,27300
VC7,20100702,28.5,29,28.2,28.7,40500
VC7,20100701,28,28.9,28,28.3,41500
VC7,20100630,28.6,28.8,28.1,28.4,66800
VC7,20100629,30.1,30.1,29.2,29.4,12900
VC7,20100628,29.6,29.7,29.3,29.5,13000
VC7,20100625,30,30,29.4,29.6,26800
VC7,20100624,31,31,30.2,30.7,24700
VC7,20100623,30,30.7,30,30.4,27700
VC7,20100622,30.3,30.3,29.5,29.9,20100
VC7,20100621,29.5,31,29.5,30.3,40500
VC7,20100618,29.4,29.9,29,29.4,26300
VC7,20100617,29.5,30.5,29.5,30,29100
VC7,20100616,31,31.5,30.4,30.8,30500
VC7,20100615,30,30.4,29.5,30,31400
VC7,20100614,30,30.7,30,30.4,34100
VC7,20100611,29.6,31,29,29.7,13900
VC7,20100610,31.5,31.6,29.8,30.3,23900
VC7,20100609,29,30,28.8,29.6,22800
VC7,20100608,28.3,29.4,28.3,28.4,13100
VC7,20100607,29.6,29.6,28.3,28.3,60200
VC7,20100604,31,31,30,30.4,39400
VC7,20100603,31,31.7,30.1,30.7,39000
VC7,20100602,30,30.5,30,30.2,28100
VC7,20100601,30,30.9,29.8,30.1,35300
VC7,20100531,32.5,32.5,30.5,30.8,21000
VC7,20100528,29.5,32.2,29.5,32.1,65600
VC7,20100527,30.5,31,29.1,30.1,48300
VC7,20100526,29,31,29,30.1,34900
VC7,20100525,29.9,29.9,29,29.5,16000
VC7,20100524,27.5,30,27.5,29.4,38300
VC7,20100521,28,28.6,28,28.1,62200
VC7,20100520,29,32,28.6,30.1,74700
VC7,20100519,31,31,30.6,30.7,49500
