<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VCG,20100729,39.6,40.3,39.2,40,762600
VCG,20100728,40.6,40.6,39.2,39.7,1053200
VCG,20100727,40.8,40.9,39.9,40.2,638700
VCG,20100726,41.1,41.1,40.3,40.7,410300
VCG,20100723,40.7,41.4,40.6,40.8,723500
VCG,20100722,41,41.5,40.3,40.7,1028000
VCG,20100721,42.3,42.3,41.1,41.4,489900
VCG,20100720,41.9,42.3,41.6,41.8,454800
VCG,20100719,42.1,42.4,41.5,41.9,564300
VCG,20100716,42.4,42.6,42,42.3,650600
VCG,20100715,42.8,42.9,42.2,42.5,433600
VCG,20100714,43.7,44,42.8,43.3,892600
VCG,20100713,42.2,43.7,42.2,42.9,1027600
VCG,20100712,41.7,42,41.4,41.7,495700
VCG,20100709,42,42.2,41.5,41.7,410600
VCG,20100708,42,42.5,41.4,41.8,653100
VCG,20100707,42.2,42.5,41,41.6,744700
VCG,20100706,42.6,42.6,41.5,41.8,845100
VCG,20100705,43.1,43.1,42.6,42.8,472200
VCG,20100702,43,43.2,42.7,43,691400
VCG,20100701,42,43.2,42,42.7,949800
VCG,20100630,42.8,42.8,41.6,42.4,1135800
VCG,20100629,43.8,44.3,43.5,43.8,1290100
VCG,20100628,44,44.2,43.5,43.8,776700
VCG,20100625,43.2,44.4,43.2,43.8,1529500
VCG,20100624,45,45.7,44.1,44.8,1200000
VCG,20100623,42.8,45.3,42.2,43.8,2343700
VCG,20100622,44,44,42.5,43.1,973000
VCG,20100621,44.3,44.6,43.7,44,855200
VCG,20100618,45.5,45.5,43.9,44.2,734200
VCG,20100617,45.4,45.9,44.2,44.7,1327500
VCG,20100616,45.5,46,44.9,45.3,1030800
VCG,20100615,43.7,45.2,43.5,44.5,1087200
VCG,20100614,43.8,43.9,43,43.6,798000
VCG,20100611,42.8,43.1,42.2,42.6,982200
VCG,20100610,42,42.1,41.3,41.8,597600
VCG,20100609,42.8,42.8,41.6,42.1,913600
VCG,20100608,40.8,42.5,40.8,41.7,1456200
VCG,20100607,44.6,44.6,41.5,41.8,1654800
VCG,20100604,46.5,46.5,44.1,44.7,1729600
VCG,20100603,45.8,47.8,45.6,46.5,1591400
VCG,20100602,46.2,46.2,44.2,45.2,1180000
VCG,20100601,44.8,46.7,44.8,45.9,1988900
VCG,20100531,43.6,45.9,42.6,44.5,2155300
VCG,20100528,42.3,43.5,42.3,43.4,1827500
VCG,20100527,39.8,41.2,39.5,40.6,1122800
VCG,20100526,39.3,41.3,39.3,40.4,1210600
VCG,20100525,39,40.4,37.7,39.3,1256600
VCG,20100524,37.8,39.6,37.5,38.3,1748500
VCG,20100521,38.8,39.4,36.8,37.4,2060000
VCG,20100520,38.8,41.8,37.4,39.5,1682500
VCG,20100519,41.3,41.8,39,39.8,1712800
VCG,20100518,42.8,43.7,41.3,41.9,2006400
