<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VDS,20100729,15.7,15.7,14.8,15.2,9400
VDS,20100728,15.2,15.7,15,15.2,8800
VDS,20100727,16,16,15.5,15.6,107300
VDS,20100726,16.4,16.4,15.6,15.9,14200
VDS,20100723,16.3,16.3,16,16.2,26800
VDS,20100722,16.2,16.5,16.1,16.2,82000
VDS,20100721,16.4,16.5,15.9,16.1,29400
VDS,20100720,17,17,16.3,16.7,72400
VDS,20100719,16.3,16.3,16.2,16.2,79200
VDS,20100716,16.5,16.6,16,16.2,57100
VDS,20100715,16.4,16.8,16.3,16.6,82800
VDS,20100714,16.6,17,16.2,16.4,88700
VDS,20100713,16.4,16.8,15.9,16.6,284100
VDS,20100712,15.6,15.8,15.6,15.8,26800
VDS,20100709,15.9,15.9,15.6,15.7,800
VDS,20100708,16,16,15.2,15.7,115100
VDS,20100707,16.3,16.3,15.6,15.9,45700
VDS,20100706,15.8,16,15.7,15.8,62800
VDS,20100705,16.1,16.1,15.8,16,37400
VDS,20100702,16.9,16.9,16.1,16.3,6800
VDS,20100701,16,16.1,15.9,16,34300
VDS,20100630,16,16.1,15.8,15.9,31200
VDS,20100629,16.3,16.6,16.1,16.3,51100
VDS,20100628,16.5,16.5,16,16.1,43100
VDS,20100625,16.7,16.7,15.6,16.1,88900
VDS,20100624,17.3,17.3,16.1,16.4,210400
VDS,20100623,16.4,17.1,16.4,17,173800
VDS,20100622,17.5,17.5,16.8,17.1,44200
VDS,20100621,17.5,17.5,17,17.3,95200
VDS,20100618,17.4,17.6,17,17.5,103200
VDS,20100617,16.4,17.5,16.3,17.1,290400
VDS,20100616,16.2,16.9,15.8,16.3,78300
VDS,20100615,16,16.4,15.9,16.1,46200
VDS,20100614,16.3,16.3,15.9,16,9800
VDS,20100611,16.6,16.9,15.6,16.3,81100
VDS,20100610,16.6,16.6,15.9,16.1,60100
VDS,20100609,16,16,15.4,15.6,160380
VDS,20100608,15.8,16.1,15.6,15.9,25700
VDS,20100607,16.5,16.6,15.8,16.1,98900
VDS,20100604,17.1,17.2,16.7,16.9,21900
VDS,20100603,17.7,17.7,16.9,17.2,196800
VDS,20100602,17.4,17.4,16.9,17.2,86500
VDS,20100601,17,17.5,17,17.4,58500
VDS,20100531,18.4,18.4,17.1,17.3,39700
VDS,20100528,18.4,18.6,18.1,18.3,138200
VDS,20100527,17.5,17.9,16.9,17.5,66400
VDS,20100526,18.4,18.4,17.2,17.5,100100
VDS,20100525,17.9,18.9,17.2,18.4,266200
VDS,20100514,19.7,21.4,19.3,19.8,320100
VDS,20100513,18.4,19.9,17.9,19.5,163730
VDS,20100512,17.9,19,17.9,18.1,27900
VDS,20100511,17,19.3,17,18.9,150510
VDS,20100510,18.9,19.8,17.9,18.6,48250
VDS,20100507,20.8,20.8,18.9,18.9,86460
VDS,20100506,18.4,20.3,18.4,19,87700
