<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VGP,20100729,23,23.1,23,23.1,2600
VGP,20100728,23.2,23.2,23,23.1,2800
VGP,20100727,23.9,23.9,23,23.2,11900
VGP,20100726,24,24,22.5,23,3900
VGP,20100723,23.9,23.9,23.9,23.9,100
VGP,20100722,23.2,23.3,23.1,23.2,2600
VGP,20100721,23.6,23.6,23.5,23.5,18600
VGP,20100720,23.6,23.8,23.6,23.7,6700
VGP,20100719,23.5,23.6,23.5,23.5,2600
VGP,20100716,23.2,24.4,23.2,23.5,7200
VGP,20100715,24.5,24.5,24,24.5,4400
VGP,20100714,24.5,24.9,24.1,24.4,15900
VGP,20100713,24.6,25,24,24.2,38300
VGP,20100712,24.5,24.5,24.1,24.3,6900
VGP,20100709,24.9,24.9,24.4,24.5,2100
VGP,20100708,27,27,24.3,25.9,5400
VGP,20100707,27.4,27.4,25,25.9,1400
VGP,20100706,24.6,26.3,24.6,25.9,7100
VGP,20100705,26.2,26.2,24.4,24.6,7200
VGP,20100702,26.2,26.2,26.2,26.2,100
VGP,20100701,26.5,26.5,24,24.6,600
VGP,20100630,25,25.3,25,25.2,6400
VGP,20100629,26.1,26.1,25,25.8,15000
VGP,20100628,24.6,25.8,24.2,25.6,66900
VGP,20100625,24,24.2,24,24.2,30600
VGP,20100624,24,24.5,23.2,24.2,25200
VGP,20100623,23.7,24,23.3,23.9,11500
VGP,20100622,23.9,23.9,23,23.3,3500
VGP,20100621,24.2,24.2,23.9,24,11600
VGP,20100618,23.9,23.9,23.8,23.9,44500
VGP,20100617,22.1,22.6,22.1,22.4,40100
VGP,20100616,22.6,22.9,21.2,22.1,16200
VGP,20100615,22.6,22.6,22.6,22.6,1400
VGP,20100614,23.3,23.3,22.1,22.6,10200
VGP,20100611,22.9,24,22.1,23.1,42200
VGP,20100610,22.5,22.5,22.1,22.5,16400
VGP,20100609,23,23.2,22.5,22.7,49100
VGP,20100608,22.5,22.7,22.3,22.4,43500
VGP,20100607,22.1,22.1,20.6,21.8,74900
VGP,20100604,21,21.4,20.3,20.7,19700
VGP,20100603,21,21,20.6,20.9,11100
VGP,20100602,20.3,21,20.1,20.3,19600
VGP,20100601,20.3,20.7,19.8,20.1,5700
VGP,20100531,22.5,22.5,20.5,20.7,9500
VGP,20100528,21.8,22.2,21,21.8,38800
VGP,20100527,20.6,21.2,20.3,20.8,24500
VGP,20100526,20.4,20.7,20.3,20.6,30800
VGP,20100525,18.4,20,18.4,19.4,30100
VGP,20100524,19,19.5,18.5,19,15200
VGP,20100521,17.9,19.2,17.9,18.2,88200
VGP,20100520,19.5,20.2,18.8,19.2,78500
VGP,20100519,20.3,20.3,19.4,19.6,80000
VGP,20100518,20.6,21.1,20.6,20.8,11600
VGP,20100517,21.7,21.7,20.1,20.4,31400
VGP,20100514,20.1,22.5,20.1,20.7,38100
VGP,20100513,23,23.1,21.4,21.5,117400
VGP,20100512,23.3,23.3,23,23,63800
VGP,20100511,23.3,26.3,23.3,24.7,87300
VGP,20100510,25.4,26.2,23.7,24.7,132400
VGP,20100507,27.9,28,24.4,25.4,141000
VGP,20100506,26.2,26.2,26.1,26.2,119400
