<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNH,20100729,14.6,15.2,14.6,15.2,252630
VNH,20100728,14.6,14.6,14,14.5,18860
VNH,20100727,14.9,14.9,14.6,14.6,33840
VNH,20100726,14.6,14.9,14.5,14.7,51440
VNH,20100723,14.5,14.8,14.4,14.8,56840
VNH,20100722,14.5,14.5,14.3,14.4,64410
VNH,20100721,14.3,14.5,14.2,14.4,34870
VNH,20100720,14.2,14.4,14.2,14.4,24950
VNH,20100719,14.7,14.7,14.3,14.4,42500
VNH,20100716,14.5,14.7,14.2,14.7,26220
VNH,20100715,14.5,14.7,14,14.5,2980
VNH,20100714,14.4,14.5,14,14.5,60900
VNH,20100713,14.3,14.3,13.7,13.9,20430
VNH,20100712,14.1,14.1,13.5,13.7,19120
VNH,20100709,14.1,14.4,14,14,8960
VNH,20100708,14.9,14.9,14.6,14.6,2160
VNH,20100707,14.5,14.5,13.9,14.2,8590
VNH,20100706,14.8,14.8,14,14,44000
VNH,20100705,15,15.1,14.5,14.5,16650
VNH,20100702,15,15,14.3,15,4940
VNH,20100701,14.4,15,14.4,14.8,13570
VNH,20100630,14.9,14.9,14.4,14.4,33400
VNH,20100629,15,15.2,14.4,14.4,21780
VNH,20100628,15,15.2,14.2,15.1,6640
VNH,20100625,14.8,14.9,14.7,14.7,49030
VNH,20100624,15.3,15.3,14.7,15.3,17710
VNH,20100623,15.3,15.3,14.6,15.3,40560
VNH,20100622,15.5,15.5,15.2,15.2,6210
VNH,20100621,15.5,15.5,15.2,15.5,14920
VNH,20100618,15.2,15.3,15,15.3,4530
VNH,20100617,14.7,15.3,14.7,15.2,24780
VNH,20100616,14.9,15.5,14.8,15.3,25990
VNH,20100615,15.4,15.4,14.8,15.4,5880
VNH,20100614,15.6,15.6,15.3,15.4,700
VNH,20100611,15.3,15.3,14.9,15.3,11080
VNH,20100610,14.4,15.2,14.4,15,12380
VNH,20100609,15.6,15.6,15,15,23160
VNH,20100608,15,15.7,14.8,15.7,17410
VNH,20100607,14.8,15.4,14.7,15.2,10830
VNH,20100604,15.2,15.8,15.1,15.4,49170
VNH,20100603,15.4,16,15.1,15.8,60300
VNH,20100602,15.1,16,15.1,15.8,7690
VNH,20100601,16,16,15.5,15.8,3240
VNH,20100531,15.4,15.4,15.2,15.4,29860
VNH,20100528,14.7,14.7,14.6,14.7,19790
VNH,20100527,14.7,15,14,14,30070
VNH,20100526,15.2,15.6,14.7,14.7,14210
VNH,20100525,14.5,15.2,14,15,10960
VNH,20100524,15.5,15.5,14.5,14.5,6240
VNH,20100521,15.2,16.3,15.2,15.2,13130
VNH,20100520,16,16.5,16,16,9060
VNH,20100519,16.3,16.8,16.3,16.8,35500
VNH,20100518,17.1,18,17.1,17.1,9700
VNH,20100517,18.1,18.1,17,18,6460
VNH,20100514,18.7,18.7,17.6,17.6,6800
VNH,20100513,17.3,18.5,17.3,18.5,16530
VNH,20100512,18.2,18.3,17.9,17.9,19140
VNH,20100511,19.2,19.2,18.3,18.8,22620
VNH,20100510,19.6,19.6,18.3,18.3,27400
VNH,20100507,19.5,19.6,18.7,19.2,45810
VNH,20100506,19,19.6,19,19.6,94220
VNH,20100505,19.5,19.6,18.7,18.7,35360
VNH,20100504,19.3,19.5,19,19.5,18180
VNH,20100429,17.5,18.6,17.5,18.6,68780
VNH,20100428,18.3,18.3,17.7,17.8,29380
VNH,20100427,18.8,19,18.1,18.2,92580
VNH,20100426,19.5,19.5,19,19,24820
VNH,20100422,20.2,20.2,19.5,19.7,27940
VNH,20100421,19.3,20,19.3,19.9,21190
VNH,20100420,19,20,19,19.8,95390
VNH,20100419,20,20,20,20,15240
VNH,20100416,21,21,21,21,26120
VNH,20100415,23.6,23.6,22.1,22.1,38960
VNH,20100414,23.2,23.2,23.1,23.2,68790
VNH,20100413,22.1,22.1,22.1,22.1,67510
VNH,20100412,21.1,21.1,21,21.1,74790
VNH,20100409,20.1,20.1,20,20.1,87660
VNH,20100408,19.2,19.2,19.2,19.2,26800
