<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNT,20100729,23,26.1,23,25.4,7100
VNT,20100728,25.2,25.2,24.6,24.7,25900
VNT,20100727,26.6,27.9,25,26.4,15000
VNT,20100726,27,27,25.6,26.3,2100
VNT,20100723,26.8,26.8,25.9,26.1,8000
VNT,20100722,27.3,27.3,25.8,26,15500
VNT,20100721,27,27.3,25.5,27,63100
VNT,20100720,26.2,26.2,25,25.5,35900
VNT,20100719,24,25.2,24,24.8,23900
VNT,20100716,25.5,25.5,25,25.2,2500
VNT,20100715,25.7,26,25.5,25.8,22000
VNT,20100714,26.8,26.8,24.4,24.8,9600
VNT,20100713,25.7,26.6,25.7,26.2,18000
VNT,20100712,26.7,26.7,24,25.7,40800
VNT,20100709,25.5,26,24,25,11900
VNT,20100708,27.6,27.6,25.6,25.6,41700
VNT,20100707,28.3,28.3,24.8,27.6,12500
VNT,20100706,26,27,25.9,26.4,51800
VNT,20100705,28.4,28.4,26.6,27.9,41300
VNT,20100702,25.8,29.1,25.7,28.2,74900
VNT,20100701,29.2,29.2,26.8,27.7,39800
VNT,20100630,25.7,29.7,25.7,28.7,126200
VNT,20100629,27.1,27.8,27,27.7,62200
VNT,20100628,25.2,27,24.8,26,58600
VNT,20100625,25.2,26,24.7,25.2,88300
VNT,20100624,24.4,25.3,24.1,25.2,65100
VNT,20100623,23,24.4,22.1,23.6,46500
VNT,20100622,22.1,23.3,22.1,22.8,49000
VNT,20100621,23,23,22,22.1,27600
VNT,20100618,22,22.6,22,22.1,10200
VNT,20100617,23.2,24.9,22.5,23.4,8000
VNT,20100616,23.4,23.7,23.2,23.5,9800
VNT,20100615,23.3,23.3,23.3,23.3,11900
VNT,20100614,23.3,23.3,23.1,23.3,36200
VNT,20100611,21.8,21.8,21.8,21.8,21900
VNT,20100610,22,22,20,20.4,10100
VNT,20100609,21.5,22.3,20.6,21,2800
VNT,20100608,21,21,20.6,21,10400
VNT,20100607,22,22,21,21.3,18700
VNT,20100604,22.6,22.6,22.6,22.6,2300
VNT,20100603,23,23,22.4,22.6,6300
VNT,20100602,22,23,22,22.7,12000
VNT,20100601,23.5,23.6,22.5,23.3,2700
VNT,20100531,23.5,24.4,23.1,23.6,16300
VNT,20100528,23,23,22.9,23,17000
VNT,20100527,19.8,22.7,19.8,21.5,21300
VNT,20100526,21,21.8,21,21.2,8800
VNT,20100525,20.4,21,20.4,20.8,6900
VNT,20100524,20.2,21.5,20,20.4,14000
VNT,20100521,20.5,21.5,19.9,20.1,37900
VNT,20100520,20.8,22.5,20.8,21.4,24100
VNT,20100519,21.2,22.9,21.2,21.8,13000
VNT,20100518,23,23.1,21.6,21.9,23500
VNT,20100517,23.1,23.1,23,23.1,2500
VNT,20100514,23.2,25.1,23,23.7,21600
VNT,20100513,23.5,24,23.3,23.4,43200
VNT,20100512,25.5,25.5,25,25.1,8500
VNT,20100511,28.2,29.5,26.2,26.9,7000
VNT,20100510,28,29.8,27.9,28.2,38300
VNT,20100507,31,31,29.5,30,22000
VNT,20100506,29.5,31.6,29.5,31.5,81000
VNT,20100505,29.6,29.8,29.5,29.5,74300
VNT,20100504,32,32,28.5,31.7,88000
VNT,20100429,29.9,29.9,29.9,29.9,42600
VNT,20100428,27.9,27.9,27.9,27.9,105700
VNT,20100427,25.9,26.2,25.9,26.1,74600
VNT,20100426,23.6,24.7,23.5,24.5,57200
VNT,20100422,22.7,23.7,22.4,23.1,32300
VNT,20100421,21.8,22.5,21.8,22.1,18300
VNT,20100420,21.8,21.9,21.7,21.8,5000
VNT,20100419,22.4,22.4,22.4,22.4,100
VNT,20100416,21,22,21,21.6,7100
VNT,20100415,21,21,20.8,21,5500
VNT,20100414,21.5,21.5,21.1,21.2,2000
VNT,20100413,21.6,21.7,21.6,21.6,7300
VNT,20100412,21.8,21.8,21.5,21.6,3300
VNT,20100409,23.2,23.2,21.8,22.1,2300
VNT,20100408,22.3,22.3,21.5,21.8,1600
VNT,20100406,21.6,21.6,21.6,21.6,100
VNT,20100405,22,22,22,22,4200
VNT,20100401,22.8,22.8,22.6,22.7,200
VNT,20100331,21.9,21.9,21.9,21.9,1100
VNT,20100330,21.9,21.9,21.8,21.9,5200
VNT,20100329,21.2,21.2,19.7,20.4,7000
VNT,20100326,21.3,21.3,21.1,21.1,5000
VNT,20100325,22.8,22.8,22.8,22.8,100
VNT,20100324,21.5,21.5,21.5,21.5,8300
VNT,20100323,22.4,22.4,21.5,22.1,1500
VNT,20100322,22.4,22.4,22.4,22.4,100
VNT,20100319,21.5,21.5,21.5,21.5,200
VNT,20100318,23,23,23,23,100
VNT,20100316,21.5,22.5,21.5,21.7,2300
VNT,20100315,22.3,22.5,22.3,22.5,2900
VNT,20100312,22.5,22.5,22.5,22.5,4500
VNT,20100311,22.5,23.2,22.5,23,3200
VNT,20100310,22.5,22.5,21.5,22.5,6700
VNT,20100309,22.5,22.5,22.5,22.5,1400
VNT,20100308,23,23.1,23,23,8000
VNT,20100305,23,23,23,23,100
VNT,20100303,23,23,23,23,100
VNT,20100302,22.2,22.3,22.2,22.3,2500
VNT,20100301,23,23,21.7,22.1,300
VNT,20100226,21.5,22.7,21.5,21.8,4800
VNT,20100225,21.5,21.6,21.5,21.5,4000
VNT,20100224,22.7,22.7,22.7,22.7,500
VNT,20100223,22.7,22.7,22.7,22.7,9100
VNT,20100222,24.4,24.4,22.5,23.5,400
VNT,20100212,24,24,21.9,23,200
VNT,20100211,23.5,23.5,23.5,23.5,100
VNT,20100210,23.5,23.5,23.5,23.5,100
VNT,20100209,22.5,23.3,22.4,22.5,18000
VNT,20100205,24,24,24,24,1900
VNT,20100204,23.8,23.8,23.8,23.8,1200
VNT,20100203,23,23.2,22.5,22.8,5200
VNT,20100202,23.3,23.3,22.5,22.9,200
VNT,20100201,23.3,23.3,21.3,21.7,13200
VNT,20100129,22.6,23.4,22.5,22.8,2000
VNT,20100128,24.9,25,22.8,23.5,5900
VNT,20100127,24.6,24.6,24.1,24.4,14900
VNT,20100126,24.6,24.8,24.3,24.5,22900
VNT,20100125,23.8,24.5,23.8,24.3,16100
VNT,20100122,24.3,24.3,23.8,23.8,15400
VNT,20100121,24.4,24.4,23,23.8,25000
VNT,20100120,25.5,25.5,23.5,24.4,30400
VNT,20100119,24.9,24.9,23.5,24.4,51300
VNT,20100118,23.2,23.2,22.5,23.2,33400
VNT,20100115,21,21.8,21,21.6,22700
VNT,20100114,20.3,20.5,20.1,20.3,5700
VNT,20100113,20.2,20.5,20.1,20.4,4600
VNT,20100112,20.7,20.7,19.7,20.2,5000
VNT,20100111,20.5,21.5,20.5,21.2,2500
VNT,20100108,20.5,20.5,20.5,20.5,1500
VNT,20100107,22,22,21.5,21.7,5200
VNT,20100106,22,22.5,21.6,22,3300
VNT,20100105,23.3,23.3,22.5,22.9,3900
VNT,20100104,21.7,22,20.5,21.7,13800
