CODE,DATE,CLOSING PRICE,CLOSING PRICE,CLOSING PRICE
NYA,1/9/2004,6526.17,6526.17,6526.17
NYA,1/12/2004,6543.68,6543.68,6543.68
NYA,1/13/2004,6509.45,6509.45,6509.45
NYA,1/14/2004,6559.81,6559.81,6559.81
NYA,1/15/2004,6550.04,6550.04,6550.04
NYA,1/16/2004,6567.68,6567.68,6567.68
NYA,1/20/2004,6599.48,6599.48,6599.48
NYA,1/21/2004,6658.32,6658.32,6658.32
NYA,1/22/2004,6657.09,6657.09,6657.09
NYA,1/23/2004,6626.82,6626.82,6626.82
NYA,1/26/2004,6672.04,6672.04,6672.04
NYA,1/27/2004,6639.78,6639.78,6639.78
NYA,1/28/2004,6555.97,6555.97,6555.97
NYA,1/29/2004,6555.71,6555.71,6555.71
NYA,1/30/2004,6551.63,6551.63,6551.63
NYA,2/2/2004,6568.7,6568.7,6568.7
NYA,2/3/2004,6574.82,6574.82,6574.82
NYA,2/4/2004,6526.1,6526.1,6526.1
NYA,2/5/2004,6544.28,6544.28,6544.28
NYA,2/6/2004,6632.67,6632.67,6632.67
NYA,2/9/2004,6641.82,6641.82,6641.82
NYA,2/10/2004,6677.04,6677.04,6677.04
NYA,2/11/2004,6751.05,6751.05,6751.05
NYA,2/12/2004,6716.19,6716.19,6716.19
NYA,2/13/2004,6691.4,6691.4,6691.4
NYA,2/17/2004,6770.27,6770.27,6770.27
NYA,2/18/2004,6719.14,6719.14,6719.14
NYA,2/19/2004,6715.29,6715.29,6715.29
NYA,2/20/2004,6676.71,6676.71,6676.71
NYA,2/23/2004,6665.5,6665.5,6665.5
NYA,2/24/2004,6654.88,6654.88,6654.88
NYA,2/25/2004,6670.27,6670.27,6670.27
NYA,2/26/2004,6677.66,6677.66,6677.66
NYA,2/27/2004,6692.37,6692.37,6692.37
NYA,3/1/2004,6766.56,6766.56,6766.56
NYA,3/2/2004,6717.13,6717.13,6717.13
NYA,3/3/2004,6718.33,6718.33,6718.33
NYA,3/4/2004,6742.75,6742.75,6742.75
NYA,3/5/2004,6780.03,6780.03,6780.03
NYA,3/8/2004,6741.38,6741.38,6741.38
NYA,3/9/2004,6698.07,6698.07,6698.07
NYA,3/10/2004,6591.72,6591.72,6591.72
NYA,3/11/2004,6480.55,6480.55,6480.55
