MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBanCOM,SMA5,SMA10,SMA20,SMA50,GUESS_SMA5_SMA20,GUESS_SMA10_SMA50,CCI
VTC,12/21/2009 12:00:00 AM,10.7,10.7,10.7,10.7,6100,10.7,9.3,10,0.7,7,0,4500,0,null,null,null,null,null,null,0
VTC,12/18/2009 12:00:00 AM,9.9,10,9.9,10,11100,10,8.8,9.4,0.6,6.38,0,0,0,null,null,null,null,null,null,0
VTC,12/17/2009 12:00:00 AM,9.5,9.5,9.3,9.4,4000,10.7,9.3,10,-0.6,-6,0,0,0,null,null,null,null,null,null,0
VTC,12/16/2009 12:00:00 AM,10.1,10.1,9.8,10,12100,10.8,9.4,10.1,-0.1,-0.99,0,5900,1200,null,null,null,null,null,null,0
VTC,12/15/2009 12:00:00 AM,10.2,10.2,10,10.1,8800,10.8,9.4,10.1,0,0,0,0,100,10.04,null,null,null,null,null,0
VTC,12/14/2009 12:00:00 AM,9.5,10.4,9.5,10.1,8700,10.5,9.3,9.9,0.2,2.02,0,0,100,9.92,null,null,null,null,null,0
VTC,12/11/2009 12:00:00 AM,10.4,10.4,9.6,9.9,7700,11,9.6,10.3,-0.4,-3.88,0,0,100,9.9,null,null,null,null,null,0
VTC,12/10/2009 12:00:00 AM,10.9,10.9,10.2,10.3,3300,11,9.6,10.3,0,0,0,0,0,10.08,null,null,null,null,null,0
VTC,12/9/2009 12:00:00 AM,10.4,10.4,10.2,10.3,8100,11.6,10.2,10.9,-0.6,-5.5,0,0,0,10.14,null,null,null,null,null,0
VTC,12/8/2009 12:00:00 AM,11.5,11.5,10.7,10.9,8200,12,10.6,11.3,-0.4,-3.54,0,1000,0,10.3,10.17,null,null,null,null,0
VTC,12/7/2009 12:00:00 AM,11.3,11.6,11.2,11.3,4800,11.8,10.4,11.1,0.2,1.8,0,1600,0,10.54,10.23,null,null,null,null,0
VTC,12/4/2009 12:00:00 AM,11.2,11.2,10.9,11.1,2000,12.4,10.8,11.6,-0.5,-4.31,0,0,0,10.78,10.34,null,null,null,null,0
VTC,12/3/2009 12:00:00 AM,12,12,11.5,11.6,4400,12.6,11,11.8,-0.2,-1.69,0,0,0,11.04,10.56,null,null,null,null,0
VTC,12/2/2009 12:00:00 AM,12,12.1,11.6,11.8,4700,12.9,11.3,12.1,-0.3,-2.48,0,2000,0,11.34,10.74,null,null,null,null,0
VTC,12/1/2009 12:00:00 AM,12,12.3,12,12.1,5600,12.3,10.7,11.5,0.6,5.22,0,200,0,11.58,10.94,null,null,null,null,0
VTC,11/30/2009 12:00:00 AM,11,11.6,11,11.5,2100,11.6,10.2,10.9,0.6,5.5,0,600,0,11.62,11.08,null,null,null,null,0
VTC,11/27/2009 12:00:00 AM,10.4,11.8,10.4,10.9,23700,11.8,10.4,11.1,-0.2,-1.8,0,3000,5500,11.58,11.18,null,null,null,null,0
VTC,11/26/2009 12:00:00 AM,11.1,11.2,11.1,11.1,8300,12.7,11.1,11.9,-0.8,-6.72,0,9100,5000,11.48,11.26,null,null,null,null,0
VTC,11/25/2009 12:00:00 AM,12,12,11.7,11.9,19600,13.3,11.7,12.5,-0.6,-4.8,0,9100,5000,11.5,11.42,null,null,null,null,0
