MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^ATX,08/10/2010,2526.9,2528.0,2483.7,2485.4,3179000,0.00,0.00,2527.8,-42.35,-1.68,0,0,0
^ATX,08/09/2010,2498.4,2534.0,2498.4,2527.8,2490000,0.00,0.00,2498.1,29.66,1.19,0,0,0
^ATX,08/06/2010,2540.6,2554.1,2497.7,2498.1,4104200,0.00,0.00,2540.3,-42.21,-1.66,0,0,0
^ATX,08/05/2010,2557.1,2564.0,2528.5,2540.3,3884600,0.00,0.00,2557.6,-17.29,-0.68,0,0,0
^ATX,08/04/2010,2545.9,2557.6,2527.0,2557.6,4136400,0.00,0.00,2545.7,11.89,0.47,0,0,0
^ATX,08/03/2010,2532.9,2550.2,2527.4,2545.7,4082200,0.00,0.00,2532.5,13.20,0.52,0,0,0
^ATX,08/02/2010,2483.8,2536.6,2482.0,2532.5,4212800,0.00,0.00,2483.9,48.65,1.96,0,0,0
^ATX,07/30/2010,2506.6,2507.3,2463.3,2483.9,5129000,0.00,0.00,2506.6,-22.71,-0.91,0,0,0
^ATX,07/29/2010,2479.8,2533.8,2478.2,2506.6,6221600,0.00,0.00,2480.0,26.55,1.07,0,0,0
^ATX,07/28/2010,2483.1,2490.7,2472.7,2480.0,3775000,0.00,0.00,2483.3,-3.27,-0.13,0,0,0
^ATX,07/27/2010,2456.7,2504.3,2456.1,2483.3,6657400,0.00,0.00,2456.9,26.35,1.07,0,0,0
^ATX,07/26/2010,2402.9,2460.5,2402.9,2456.9,3504000,0.00,0.00,2402.9,54.01,2.25,0,0,0
^ATX,07/23/2010,2412.2,2436.0,2394.2,2402.9,4263000,0.00,0.00,2413.2,-10.26,-0.43,0,0,0
^ATX,07/22/2010,2338.7,2414.0,2332.0,2413.2,4398400,0.00,0.00,2339.1,74.09,3.17,0,0,0
^ATX,07/21/2010,2311.0,2352.3,2310.8,2339.1,4026600,0.00,0.00,2311.1,27.99,1.21,0,0,0
^ATX,07/20/2010,2303.9,2322.1,2289.3,2311.1,3175800,0.00,0.00,2303.7,7.43,0.32,0,0,0
^ATX,07/19/2010,2326.1,2329.4,2280.6,2303.7,4147600,0.00,0.00,2326.0,-22.31,-0.96,0,0,0
^ATX,07/16/2010,2371.7,2380.2,2325.7,2326.0,5356400,0.00,0.00,2371.7,-45.75,-1.93,0,0,0
^ATX,07/15/2010,2392.4,2393.0,2369.8,2371.7,4289400,0.00,0.00,2392.4,-20.66,-0.86,0,0,0
^ATX,07/14/2010,2384.1,2410.3,2381.8,2392.4,4111200,0.00,0.00,2384.4,8.04,0.34,0,0,0
^ATX,07/13/2010,2332.4,2385.0,2331.1,2384.4,4896200,0.00,0.00,2332.5,51.86,2.22,0,0,0
^ATX,07/12/2010,2333.5,2338.3,2324.2,2332.5,2820000,0.00,0.00,2333.5,-0.96,-0.04,0,0,0
^ATX,07/09/2010,2331.2,2352.2,2330.2,2333.5,4017400,0.00,0.00,2331.6,1.91,0.08,0,0,0
^ATX,07/08/2010,2293.3,2337.4,2292.2,2331.6,6183200,0.00,0.00,2293.3,38.29,1.67,0,0,0
^ATX,07/07/2010,2248.4,2293.3,2228.6,2293.3,5160200,0.00,0.00,2248.7,44.55,1.98,0,0,0
^ATX,07/06/2010,2223.7,2267.1,2223.7,2248.7,5348200,0.00,0.00,2223.6,25.08,1.13,0,0,0
^ATX,07/05/2010,2233.7,2254.6,2223.6,2223.6,2999800,0.00,0.00,2233.8,-10.12,-0.45,0,0,0
^ATX,07/02/2010,2227.3,2273.4,2226.8,2233.8,4993400,0.00,0.00,2227.5,6.28,0.28,0,0,0
^ATX,07/01/2010,2278.7,2278.7,2223.8,2227.5,6150400,0.00,0.00,2278.8,-51.33,-2.25,0,0,0
^ATX,06/30/2010,2313.6,2317.4,2258.4,2278.8,6949800,0.00,0.00,2313.6,-34.84,-1.51,0,0,0
^ATX,06/29/2010,2389.0,2389.0,2297.6,2313.6,5469600,0.00,0.00,2389.5,-75.87,-3.18,0,0,0
^ATX,06/28/2010,2352.5,2397.1,2351.9,2389.5,2909200,0.00,0.00,2352.1,37.46,1.59,0,0,0
^ATX,06/25/2010,2374.4,2402.5,2350.1,2352.1,4108800,0.00,0.00,2375.1,-23.04,-0.97,0,0,0
^ATX,06/24/2010,2426.7,2454.8,2372.2,2375.1,4491200,0.00,0.00,2426.5,-51.45,-2.12,0,0,0
^ATX,06/23/2010,2447.6,2460.5,2424.7,2426.5,5903600,0.00,0.00,2447.9,-21.40,-0.87,0,0,0
^ATX,06/22/2010,2448.0,2453.8,2421.4,2447.9,4564400,0.00,0.00,2448.2,-0.24,-0.01,0,0,0
^ATX,06/21/2010,2428.5,2469.9,2428.5,2448.2,3905600,0.00,0.00,2428.1,20.12,0.83,0,0,0
^ATX,06/18/2010,2399.8,2437.6,2395.0,2428.1,9362200,0.00,0.00,2399.9,28.16,1.17,0,0,0
^ATX,06/17/2010,2411.0,2416.6,2389.7,2399.9,3432200,0.00,0.00,2410.8,-10.85,-0.45,0,0,0
^ATX,06/16/2010,2427.9,2447.3,2396.7,2410.8,4212400,0.00,0.00,2427.7,-16.95,-0.70,0,0,0
^ATX,06/15/2010,2405.5,2427.7,2364.3,2427.7,4541000,0.00,0.00,2405.8,21.93,0.91,0,0,0
^ATX,06/14/2010,2363.2,2405.8,2362.8,2405.8,4397600,0.00,0.00,2363.1,42.66,1.81,0,0,0
^ATX,06/11/2010,2339.3,2374.2,2338.1,2363.1,5202400,0.00,0.00,2338.7,24.40,1.04,0,0,0
^ATX,06/10/2010,2269.5,2338.7,2252.6,2338.7,6372000,0.00,0.00,2269.7,68.98,3.04,0,0,0
^ATX,06/09/2010,2217.2,2271.6,2217.2,2269.7,6087800,0.00,0.00,2216.8,52.89,2.39,0,0,0
^ATX,06/08/2010,2235.6,2256.0,2195.3,2216.8,5818200,0.00,0.00,2235.2,-18.37,-0.82,0,0,0
^ATX,06/07/2010,2266.7,2271.1,2224.4,2235.2,7141200,0.00,0.00,2267.4,-32.15,-1.42,0,0,0
^ATX,06/04/2010,2364.9,2396.3,2260.4,2267.4,11978200,0.00,0.00,2364.8,-97.44,-4.12,0,0,0
^ATX,06/02/2010,2379.6,2379.6,2352.2,2364.8,4167400,0.00,0.00,2379.9,-15.15,-0.64,0,0,0
^ATX,06/01/2010,2422.6,2425.1,2348.0,2379.9,5534200,0.00,0.00,2422.6,-42.68,-1.76,0,0,0
^ATX,05/31/2010,2430.0,2445.8,2420.3,2422.6,3256000,0.00,0.00,2430.3,-7.64,-0.31,0,0,0
^ATX,05/28/2010,2422.1,2445.7,2422.1,2430.3,5468000,0.00,0.00,2422.3,7.93,0.33,0,0,0
^ATX,05/27/2010,2339.9,2422.4,2339.9,2422.3,5782800,0.00,0.00,2339.3,83.06,3.55,0,0,0
^ATX,05/26/2010,2293.9,2375.5,2293.3,2339.3,9871600,0.00,0.00,2293.4,45.91,2.00,0,0,0
^ATX,05/25/2010,2397.9,2397.9,2279.3,2293.4,7930800,0.00,0.00,2397.8,-104.44,-4.36,0,0,0
^ATX,05/21/2010,2384.4,2399.4,2334.7,2397.8,7748600,0.00,0.00,2384.7,13.13,0.55,0,0,0
^ATX,05/20/2010,2446.3,2482.1,2360.5,2384.7,7917400,0.00,0.00,2446.5,-61.81,-2.53,0,0,0
^ATX,05/19/2010,2501.5,2501.6,2444.8,2446.5,6749000,0.00,0.00,2501.8,-55.33,-2.21,0,0,0
^ATX,05/18/2010,2454.3,2529.7,2454.3,2501.8,5402600,0.00,0.00,2454.9,46.95,1.91,0,0,0
^ATX,05/17/2010,2480.8,2510.9,2433.6,2454.9,5560400,0.00,0.00,2479.9,-25.03,-1.01,0,0,0
^ATX,05/14/2010,2555.4,2556.6,2474.9,2479.9,5982200,0.00,0.00,2555.3,-75.39,-2.95,0,0,0
^ATX,05/12/2010,2486.0,2570.1,2483.0,2555.3,7453800,0.00,0.00,2486.6,68.71,2.76,0,0,0
^ATX,05/11/2010,2521.6,2526.8,2465.2,2486.6,6365600,0.00,0.00,2522.1,-35.56,-1.41,0,0,0
^ATX,05/10/2010,2312.0,2532.0,2312.0,2522.1,9666800,0.00,0.00,2311.8,210.37,9.10,0,0,0
^ATX,05/07/2010,2390.2,2390.2,2298.0,2311.8,11963000,0.00,0.00,2391.5,-79.70,-3.33,0,0,0
^ATX,05/06/2010,2477.6,2483.8,2391.3,2391.5,9634000,0.00,0.00,2478.1,-86.65,-3.50,0,0,0
^ATX,05/05/2010,2558.6,2558.6,2469.9,2478.1,8527000,0.00,0.00,2558.9,-80.77,-3.16,0,0,0
^ATX,05/04/2010,2664.9,2675.2,2557.9,2558.9,8288800,0.00,0.00,2666.6,-107.69,-4.04,0,0,0
^ATX,05/03/2010,2650.5,2669.6,2650.3,2666.6,3425800,0.00,0.00,2650.3,16.26,0.61,0,0,0
^ATX,04/30/2010,2643.9,2683.3,2643.9,2650.3,5534200,0.00,0.00,2643.9,6.42,0.24,0,0,0
^ATX,04/29/2010,2630.5,2650.6,2623.2,2643.9,6146400,0.00,0.00,2630.8,13.09,0.50,0,0,0
^ATX,04/28/2010,2701.0,2701.0,2575.8,2630.8,10826200,0.00,0.00,2701.0,-70.17,-2.60,0,0,0
^ATX,04/27/2010,2758.2,2763.0,2701.0,2701.0,4802200,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/26/2010,2730.9,2771.2,2730.9,2758.1,4405600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/23/2010,2701.1,2738.3,2701.1,2731.0,4591000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/22/2010,2744.9,2762.6,2701.1,2701.1,5051400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/21/2010,2751.4,2769.2,2736.1,2744.8,4579400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/20/2010,2725.7,2767.6,2725.5,2751.4,5559000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/19/2010,2732.8,2735.1,2671.8,2725.6,0,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/16/2010,2788.8,2788.8,2721.2,2733.1,5596800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/15/2010,2795.9,2801.4,2772.7,2790.5,6079000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/14/2010,2752.8,2796.0,2748.1,2795.3,6236800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/13/2010,2786.5,2786.7,2739.8,2752.9,5889600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/12/2010,2765.8,2786.4,2758.4,2786.4,5920800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/09/2010,2721.7,2767.2,2718.6,2765.8,5313000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/08/2010,2734.7,2735.1,2683.1,2721.1,5991400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/07/2010,2708.8,2734.7,2691.7,2734.7,6896200,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/06/2010,2657.9,2708.5,2657.9,2708.4,6080600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,04/01/2010,2634.4,2659.0,2633.7,2658.3,3271800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/31/2010,2636.4,2639.3,2616.0,2634.0,5705000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/30/2010,2650.5,2658.3,2625.1,2636.3,5905400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/29/2010,2627.3,2659.8,2627.3,2650.1,5180400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/26/2010,2629.4,2632.0,2609.2,2630.3,4947200,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/25/2010,2584.8,2628.9,2573.5,2628.9,5294000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/24/2010,2586.8,2603.6,2565.1,2584.8,4099800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/23/2010,2561.2,2587.3,2561.1,2585.5,3841000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/22/2010,2577.8,2581.6,2535.9,2561.1,4114600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/19/2010,2583.7,2596.2,2567.8,2578.0,16855600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/18/2010,2609.8,2609.8,2578.1,2583.6,4927800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/17/2010,2581.2,2619.5,2581.1,2609.5,6050600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/16/2010,2546.8,2582.2,2546.8,2581.0,5045400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/15/2010,2538.7,2565.3,2534.1,2546.8,5142400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/12/2010,2518.3,2556.9,2517.6,2538.4,5401800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/11/2010,2517.3,2518.7,2500.2,2518.3,4515800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/10/2010,2486.2,2517.4,2479.1,2517.4,4659600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/09/2010,2492.5,2496.3,2475.1,2486.2,4386200,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/08/2010,2455.8,2492.2,2455.8,2492.2,5243400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/05/2010,2409.7,2458.6,2409.7,2455.8,5526400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/04/2010,2456.7,2458.2,2409.5,2409.5,7092200,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/03/2010,2470.8,2471.6,2443.9,2457.0,7321400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/02/2010,2453.6,2470.9,2436.9,2470.9,5201400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,03/01/2010,2439.3,2470.3,2431.8,2453.6,5103000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/26/2010,2440.4,2472.0,2400.1,2438.9,8322200,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/25/2010,2498.4,2498.5,2425.2,2440.6,5830800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/24/2010,2501.8,2520.4,2483.8,2498.2,5624400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/23/2010,2567.5,2573.6,2495.4,2501.8,6867200,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/22/2010,2573.2,2588.5,2557.4,2567.4,3367400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/19/2010,2561.7,2573.9,2514.9,2573.2,3727600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/18/2010,2536.5,2562.0,2528.5,2562.0,3784400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/17/2010,2509.2,2543.0,2509.2,2536.0,4411400,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/16/2010,2462.1,2509.3,2462.1,2508.9,3971800,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/15/2010,2449.7,2466.7,2445.9,2462.2,2354000,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/12/2010,2468.9,2483.8,2437.1,2449.6,4037600,0.00,0.00,0.0,0.00,0.00,0,0,0
^ATX,02/11/2010,2451.8,2485.8,2440.6,2469.4,5480800,0.00,0.00,0.0,0.00,0.00,0,0,0
