MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^SSMI,08/10/2010,6387.4,6403.2,6354.8,6395.0,44598000,0.00,0.00,6391.7,3.30,0.05,0,0,0
^SSMI,08/09/2010,6375.1,6396.3,6362.8,6391.7,32243600,0.00,0.00,6321.4,70.30,1.11,0,0,0
^SSMI,08/06/2010,6387.6,6409.8,6283.8,6321.4,52866100,0.00,0.00,6374.9,-53.50,-0.84,0,0,0
^SSMI,08/05/2010,6381.3,6408.9,6361.6,6374.9,49199800,0.00,0.00,6380.3,-5.40,-0.08,0,0,0
^SSMI,08/04/2010,6328.5,6386.6,6299.1,6380.3,42294500,0.00,0.00,6337.7,42.60,0.67,0,0,0
^SSMI,08/03/2010,6333.7,6348.9,6294.9,6337.7,44720800,0.00,0.00,6321.6,16.10,0.25,0,0,0
^SSMI,08/02/2010,6243.7,6338.5,6230.9,6321.6,48566800,0.00,0.00,6200.8,120.80,1.95,0,0,0
^SSMI,07/30/2010,6205.2,6234.8,6162.1,6200.8,57647900,0.00,0.00,6220.6,-19.80,-0.32,0,0,0
^SSMI,07/29/2010,6294.2,6307.3,6218.4,6220.6,49707300,0.00,0.00,6277.5,-56.90,-0.91,0,0,0
^SSMI,07/28/2010,6305.3,6325.6,6262.7,6277.5,65040300,0.00,0.00,6275.2,2.30,0.04,0,0,0
^SSMI,07/27/2010,6239.9,6290.0,6216.2,6275.2,102789200,0.00,0.00,6199.5,75.70,1.22,0,0,0
^SSMI,07/26/2010,6219.4,6223.3,6142.7,6199.5,49635100,0.00,0.00,6201.3,-1.80,-0.03,0,0,0
^SSMI,07/23/2010,6170.0,6203.2,6146.4,6201.3,45514100,0.00,0.00,6194.2,7.10,0.11,0,0,0
^SSMI,07/22/2010,6109.1,6218.7,6101.5,6194.2,63001100,0.00,0.00,6132.7,61.50,1.00,0,0,0
^SSMI,07/21/2010,6151.1,6174.6,6132.7,6132.7,57716000,0.00,0.00,6123.4,9.30,0.15,0,0,0
^SSMI,07/20/2010,6179.2,6181.8,6068.9,6123.4,41934800,0.00,0.00,6156.6,-33.20,-0.54,0,0,0
^SSMI,07/19/2010,6152.5,6207.1,6142.0,6156.6,36729200,0.00,0.00,6184.4,-27.80,-0.45,0,0,0
^SSMI,07/16/2010,6300.8,6314.4,6158.6,6184.4,73059500,0.00,0.00,6291.1,-106.70,-1.70,0,0,0
^SSMI,07/15/2010,6328.2,6364.7,6259.7,6291.1,55956000,0.00,0.00,6332.3,-41.20,-0.65,0,0,0
^SSMI,07/14/2010,6327.2,6332.3,6259.3,6332.3,41628500,0.00,0.00,6298.6,33.70,0.54,0,0,0
^SSMI,07/13/2010,6241.4,6307.5,6220.7,6298.6,42118700,0.00,0.00,6228.3,70.30,1.13,0,0,0
^SSMI,07/12/2010,6218.8,6252.1,6190.6,6228.3,32459600,0.00,0.00,6210.5,17.80,0.29,0,0,0
^SSMI,07/09/2010,6189.9,6220.1,6155.4,6210.5,38396800,0.00,0.00,6155.7,54.80,0.89,0,0,0
^SSMI,07/08/2010,6157.0,6186.8,6131.4,6155.7,54769200,0.00,0.00,6099.2,56.50,0.93,0,0,0
^SSMI,07/07/2010,6019.6,6099.2,5995.5,6099.2,50757600,0.00,0.00,6063.1,36.10,0.60,0,0,0
^SSMI,07/06/2010,5950.8,6084.9,5937.7,6063.1,53841600,0.00,0.00,5942.3,120.80,2.03,0,0,0
^SSMI,07/05/2010,5981.0,5994.2,5935.0,5942.3,35439800,0.00,0.00,5974.3,-32.00,-0.54,0,0,0
^SSMI,07/02/2010,6002.3,6017.2,5957.7,5974.3,56237400,0.00,0.00,5981.7,-7.40,-0.12,0,0,0
^SSMI,07/01/2010,6042.1,6081.0,5952.9,5981.7,72533300,0.00,0.00,6128.1,-146.40,-2.39,0,0,0
