MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^TA100,08/10/2010,1071.3,1073.2,1066.7,1069.4,0,0.00,0.00,1073.7,-4.33,-0.40,0,0,0
^TA100,08/09/2010,1070.7,1076.7,1068.7,1073.7,0,0.00,0.00,1061.1,12.67,1.19,0,0,0
^TA100,08/05/2010,1058.8,1065.8,1057.4,1061.1,0,0.00,0.00,1056.7,4.32,0.41,0,0,0
^TA100,08/04/2010,1046.6,1058.0,1042.2,1056.7,0,0.00,0.00,1045.7,11.08,1.06,0,0,0
^TA100,08/03/2010,1053.6,1056.2,1045.5,1045.7,0,0.00,0.00,1050.5,-4.80,-0.46,0,0,0
^TA100,08/02/2010,1034.3,1050.7,1034.3,1050.5,0,0.00,0.00,1032.3,18.18,1.76,0,0,0
^TA100,07/30/2010,1032.3,1032.3,1032.3,1032.3,0,0.00,0.00,1029.5,2.78,0.27,0,0,0
^TA100,07/29/2010,1026.3,1031.6,1025.7,1029.5,0,0.00,0.00,1032.6,-3.12,-0.30,0,0,0
^TA100,07/28/2010,1037.5,1037.7,1031.6,1032.6,0,0.00,0.00,1038.5,-5.87,-0.57,0,0,0
^TA100,07/27/2010,1032.5,1039.0,1031.8,1038.5,0,0.00,0.00,1032.2,6.30,0.61,0,0,0
^TA100,07/26/2010,1037.2,1037.6,1028.1,1032.2,0,0.00,0.00,1033.5,-1.29,-0.12,0,0,0
^TA100,07/22/2010,1022.8,1034.8,1021.2,1033.5,0,0.00,0.00,1029.6,3.87,0.38,0,0,0
^TA100,07/21/2010,1024.2,1030.4,1023.5,1029.6,0,0.00,0.00,1016.7,12.90,1.27,0,0,0
^TA100,07/19/2010,1015.9,1019.2,1012.1,1016.7,0,0.00,0.00,1032.9,-16.16,-1.56,0,0,0
^TA100,07/15/2010,1029.2,1035.8,1026.7,1032.9,0,0.00,0.00,1028.8,4.07,0.40,0,0,0
^TA100,07/14/2010,1045.0,1045.9,1027.9,1028.8,0,0.00,0.00,1036.4,-7.59,-0.73,0,0,0
^TA100,07/13/2010,1027.0,1040.4,1027.0,1036.4,0,0.00,0.00,1031.6,4.79,0.46,0,0,0
^TA100,07/12/2010,1024.0,1031.6,1021.8,1031.6,0,0.00,0.00,1013.8,17.77,1.75,0,0,0
^TA100,07/08/2010,1018.0,1018.0,1007.6,1013.8,0,0.00,0.00,1002.4,11.46,1.14,0,0,0
^TA100,07/07/2010,1005.1,1005.1,996.2,1002.4,0,0.00,0.00,1014.7,-12.30,-1.21,0,0,0
^TA100,07/06/2010,1003.6,1016.0,1003.5,1014.7,0,0.00,0.00,1000.5,14.12,1.41,0,0,0
^TA100,07/05/2010,995.3,1001.0,994.2,1000.5,0,0.00,0.00,990.3,10.21,1.03,0,0,0
^TA100,07/02/2010,990.3,990.3,990.3,990.3,0,0.00,0.00,985.8,4.51,0.46,0,0,0
^TA100,07/01/2010,979.1,987.9,975.2,985.8,0,0.00,0.00,991.6,-5.82,-0.59,0,0,0
^TA100,06/30/2010,994.9,1002.0,990.3,991.6,0,0.00,0.00,1002.1,-10.48,-1.05,0,0,0
^TA100,06/29/2010,1008.0,1008.1,999.0,1002.1,0,0.00,0.00,1019.7,-17.59,-1.72,0,0,0
^TA100,06/28/2010,1019.4,1023.8,1017.1,1019.7,0,0.00,0.00,1039.5,-19.75,-1.90,0,0,0
^TA100,06/25/2010,1039.5,1039.5,1039.5,1039.5,0,0.00,0.00,1022.0,17.49,1.71,0,0,0
^TA100,06/24/2010,1039.1,1040.1,1019.4,1022.0,0,0.00,0.00,1040.3,-18.28,-1.76,0,0,0
^TA100,06/23/2010,1043.2,1045.7,1039.5,1040.3,0,0.00,0.00,1049.6,-9.37,-0.89,0,0,0
^TA100,06/22/2010,1051.6,1056.6,1045.2,1049.6,0,0.00,0.00,1058.2,-8.61,-0.81,0,0,0
^TA100,06/21/2010,1056.6,1061.9,1055.7,1058.2,0,0.00,0.00,1032.0,26.22,2.54,0,0,0
^TA100,06/17/2010,1026.2,1034.8,1023.2,1032.0,0,0.00,0.00,1025.3,6.69,0.65,0,0,0
^TA100,06/16/2010,1041.7,1042.2,1023.7,1025.3,0,0.00,0.00,1033.3,-8.01,-0.78,0,0,0
^TA100,06/15/2010,1027.4,1034.0,1025.5,1033.3,0,0.00,0.00,1031.8,1.50,0.15,0,0,0
^TA100,06/14/2010,1027.7,1033.7,1026.3,1031.8,0,0.00,0.00,1012.3,19.53,1.93,0,0,0
