MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^TWII,08/10/2010,8054.3,8054.3,7975.4,7976.7,5258800,0.00,0.00,8034.5,-57.75,-0.72,0,0,0
^TWII,08/09/2010,7974.7,8040.9,7971.2,8034.5,4990400,0.00,0.00,7963.3,71.19,0.89,0,0,0
^TWII,08/06/2010,7938.1,7963.3,7922.3,7963.3,4304800,0.00,0.00,7936.9,26.45,0.33,0,0,0
^TWII,08/05/2010,8010.1,8018.7,7922.0,7936.9,6156600,0.00,0.00,7972.7,-35.81,-0.45,0,0,0
^TWII,08/04/2010,7960.3,7978.2,7938.9,7972.7,4822400,0.00,0.00,7957.5,15.13,0.19,0,0,0
^TWII,08/03/2010,7961.7,7970.6,7915.8,7957.5,5229600,0.00,0.00,7911.7,45.85,0.58,0,0,0
^TWII,08/02/2010,7829.2,7917.9,7829.2,7911.7,5231200,0.00,0.00,7760.6,151.05,1.95,0,0,0
^TWII,07/30/2010,7765.2,7781.2,7731.2,7760.6,4154600,0.00,0.00,7799.0,-38.36,-0.49,0,0,0
^TWII,07/29/2010,7778.7,7799.6,7738.5,7799.0,4541000,0.00,0.00,7784.8,14.18,0.18,0,0,0
^TWII,07/28/2010,7736.6,7786.2,7726.4,7784.8,4175400,0.00,0.00,7748.0,36.80,0.47,0,0,0
^TWII,07/27/2010,7806.2,7806.2,7748.0,7748.0,3609200,0.00,0.00,7787.4,-39.44,-0.51,0,0,0
^TWII,07/26/2010,7787.1,7807.1,7765.7,7787.4,3916600,0.00,0.00,7761.2,26.23,0.34,0,0,0
^TWII,07/23/2010,7747.0,7782.0,7739.0,7761.2,4402800,0.00,0.00,7666.3,94.88,1.24,0,0,0
^TWII,07/22/2010,7699.4,7718.9,7665.8,7666.3,3409400,0.00,0.00,7701.3,-34.95,-0.45,0,0,0
^TWII,07/21/2010,7742.5,7752.8,7678.3,7701.3,3832000,0.00,0.00,7712.0,-10.74,-0.14,0,0,0
^TWII,07/20/2010,7678.9,7730.9,7638.5,7712.0,3555000,0.00,0.00,7649.8,62.20,0.81,0,0,0
^TWII,07/19/2010,7602.7,7666.6,7596.3,7649.8,3152200,0.00,0.00,7664.6,-14.74,-0.19,0,0,0
^TWII,07/16/2010,7717.2,7719.1,7660.8,7664.6,4754200,0.00,0.00,7704.5,-39.95,-0.52,0,0,0
^TWII,07/15/2010,7699.5,7732.3,7681.9,7704.5,3892600,0.00,0.00,7714.5,-9.99,-0.13,0,0,0
^TWII,07/14/2010,7688.8,7720.6,7683.8,7714.5,4078000,0.00,0.00,7597.4,117.09,1.54,0,0,0
^TWII,07/13/2010,7664.7,7671.5,7587.9,7597.4,3037600,0.00,0.00,7639.6,-42.13,-0.55,0,0,0
^TWII,07/12/2010,7674.3,7705.1,7636.8,7639.6,3604800,0.00,0.00,7647.2,-7.70,-0.10,0,0,0
^TWII,07/09/2010,7644.1,7652.6,7599.8,7647.2,3585200,0.00,0.00,7608.9,38.40,0.50,0,0,0
^TWII,07/08/2010,7612.7,7622.5,7583.4,7608.9,4278000,0.00,0.00,7534.5,74.39,0.99,0,0,0
^TWII,07/07/2010,7560.2,7565.4,7517.7,7534.5,3765400,0.00,0.00,7548.5,-14.02,-0.19,0,0,0
^TWII,07/06/2010,7385.3,7548.5,7382.4,7548.5,4087000,0.00,0.00,7440.0,108.52,1.46,0,0,0
^TWII,07/05/2010,7351.2,7447.2,7351.2,7440.0,3403400,0.00,0.00,7330.7,109.22,1.49,0,0,0
^TWII,07/02/2010,7285.0,7378.8,7285.0,7330.7,3677600,0.00,0.00,7254.1,76.68,1.06,0,0,0
^TWII,07/01/2010,7326.9,7327.4,7251.6,7254.1,3086400,0.00,0.00,7329.4,-75.31,-1.03,0,0,0
^TWII,06/30/2010,7277.4,7337.3,7255.1,7329.4,3332000,0.00,0.00,7423.6,-94.20,-1.27,0,0,0
^TWII,06/29/2010,7554.8,7584.8,7423.6,7423.6,3366600,0.00,0.00,7500.8,-77.22,-1.03,0,0,0
^TWII,06/28/2010,7507.1,7536.6,7489.6,7500.8,3169800,0.00,0.00,7474.7,26.08,0.35,0,0,0
^TWII,06/25/2010,7509.7,7537.4,7463.3,7474.7,3368200,0.00,0.00,7589.9,-115.18,-1.52,0,0,0
^TWII,06/24/2010,7601.7,7607.6,7568.0,7589.9,3013000,0.00,0.00,7582.1,7.74,0.10,0,0,0
^TWII,06/23/2010,7576.3,7615.4,7550.0,7582.1,2991200,0.00,0.00,7612.7,-30.53,-0.40,0,0,0
^TWII,06/22/2010,7630.6,7639.7,7610.6,7612.7,2901200,0.00,0.00,7635.6,-22.88,-0.30,0,0,0
