MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^VNINDEX,08/11/2010,0.0,0.0,0.0,463.1,40058910,0.00,0.00,461.7,1.50,0.31,0,0,0
^VNINDEX,08/06/2010,0.0,0.0,0.0,482.8,36668140,0.00,0.00,486.2,-3.40,-0.70,0,0,0
^VNINDEX,08/05/2010,0.0,0.0,0.0,486.2,37421290,0.00,0.00,486.7,-0.50,-0.10,0,0,0
^VNINDEX,08/04/2010,0.0,0.0,0.0,486.7,41528050,0.00,0.00,491.9,-5.20,-1.06,0,0,0
^VNINDEX,08/03/2010,0.0,0.0,0.0,491.9,42360940,0.00,0.00,491.6,0.30,0.06,0,0,0
^VNINDEX,08/02/2010,0.0,0.0,0.0,491.6,37376420,0.00,0.00,493.9,-2.30,-0.47,0,0,0
^VNINDEX,07/30/2010,0.0,0.0,0.0,493.9,46042970,0.00,0.00,491.1,2.80,0.57,0,0,0
^VNINDEX,07/29/2010,0.0,0.0,0.0,491.1,37473610,0.00,0.00,491.0,0.10,0.02,0,0,0
^VNINDEX,07/28/2010,0.0,0.0,0.0,491.0,46860230,0.00,0.00,497.7,-6.70,-1.34,0,0,0
^VNINDEX,07/27/2010,0.0,0.0,0.0,497.7,43165440,0.00,0.00,498.1,-0.40,-0.09,0,0,0
^VNINDEX,07/26/2010,0.0,0.0,0.0,498.1,42462460,0.00,0.00,500.3,-2.20,-0.44,0,0,0
^VNINDEX,07/23/2010,0.0,0.0,0.0,500.3,39663900,0.00,0.00,500.3,0.00,0.01,0,0,0
^VNINDEX,07/22/2010,0.0,0.0,0.0,500.3,50035310,0.00,0.00,505.4,-5.10,-1.01,0,0,0
^VNINDEX,07/21/2010,0.0,0.0,0.0,505.4,50043350,0.00,0.00,506.6,-1.20,-0.23,0,0,0
^VNINDEX,07/20/2010,0.0,0.0,0.0,506.6,47750100,0.00,0.00,506.8,-0.30,-0.06,0,0,0
^VNINDEX,07/19/2010,0.0,0.0,0.0,506.8,43413230,0.00,0.00,506.2,0.60,0.12,0,0,0
