MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
AGR,08/06/2010,0.0,14.0,13.5,13.5,24650,14.30,13.10,13.7,-0.20,-1.46,0,0,0
AGR,08/05/2010,13.6,13.9,13.6,13.7,23600,14.40,13.20,13.8,-0.10,-0.72,0,0,0
AGR,08/04/2010,14.1,14.1,13.8,13.8,62950,15.10,13.70,14.4,-0.60,-4.17,0,0,28030
AGR,08/03/2010,14.0,14.6,14.0,14.4,18580,15.10,13.70,14.4,0.00,0.00,0,0,0
AGR,08/02/2010,14.3,14.4,14.3,14.4,23800,15.10,13.70,14.4,0.00,0.00,0,0,0
AGR,07/30/2010,14.0,14.6,14.0,14.4,45860,14.90,13.50,14.2,0.20,1.41,0,0,0
AGR,07/29/2010,14.2,14.5,14.2,14.2,27920,15.20,13.80,14.5,-0.30,-2.07,0,0,0
AGR,07/28/2010,14.3,14.7,14.3,14.5,31840,15.20,13.80,14.5,0.00,0.00,0,0,0
AGR,07/27/2010,14.6,14.9,14.5,14.5,22760,15.30,13.90,14.6,-0.10,-0.68,0,0,0
AGR,07/26/2010,14.6,14.7,14.6,14.6,20960,15.40,14.00,14.7,-0.10,-0.68,0,0,0
AGR,07/23/2010,14.6,14.8,14.6,14.7,34950,15.30,13.90,14.6,0.10,0.68,0,0,0
AGR,07/22/2010,15.0,15.0,14.6,14.6,22920,15.70,14.30,15.0,-0.40,-2.67,0,0,0
AGR,07/21/2010,14.8,15.2,14.8,15.0,18570,15.60,14.20,14.9,0.10,0.67,0,0,0
AGR,07/20/2010,15.0,15.0,14.8,14.9,44180,15.90,14.50,15.2,-0.30,-1.97,0,0,0
AGR,07/19/2010,14.7,15.2,14.7,15.2,39660,15.70,14.30,15.0,0.20,1.33,0,0,0
AGR,07/16/2010,15.2,15.4,15.0,15.0,46670,16.10,14.70,15.4,-0.40,-2.60,0,0,0
AGR,07/15/2010,15.5,15.9,15.3,15.4,59560,16.60,15.20,15.9,-0.50,-3.14,0,0,0
AGR,07/14/2010,16.3,16.3,15.8,15.9,96650,16.50,15.10,15.8,0.10,0.63,0,0,0
AGR,07/13/2010,15.5,15.8,15.2,15.8,173280,15.80,14.40,15.1,0.70,4.64,0,0,0
AGR,07/12/2010,14.6,15.1,14.5,15.1,86460,15.10,13.70,14.4,0.70,4.86,0,0,0
AGR,07/09/2010,14.4,14.6,14.3,14.4,56750,15.30,13.90,14.6,-0.20,-1.37,0,0,0
AGR,07/08/2010,15.0,15.1,14.6,14.6,39630,15.50,14.10,14.8,-0.20,-1.35,0,0,0
AGR,07/07/2010,15.2,15.2,14.8,14.8,37080,15.50,14.10,14.8,0.00,0.00,0,0,2000
AGR,07/06/2010,15.0,15.3,14.8,14.8,76840,15.70,14.30,15.0,-0.20,-1.33,0,0,18000
AGR,07/05/2010,15.4,15.4,15.0,15.0,75230,16.10,14.70,15.4,-0.40,-2.60,0,0,0
AGR,07/02/2010,15.5,15.6,15.4,15.4,65020,16.10,14.70,15.4,0.00,0.00,0,0,0
AGR,07/01/2010,15.4,15.9,15.3,15.4,28270,16.00,14.60,15.3,0.10,0.65,0,0,0
AGR,06/30/2010,15.4,15.4,15.1,15.3,72080,16.20,14.80,15.5,-0.20,-1.29,0,0,0
AGR,06/29/2010,0.0,15.8,15.5,15.5,38340,16.30,14.90,15.6,-0.10,-0.64,0,0,0
AGR,06/28/2010,0.0,15.9,15.5,15.6,29670,16.40,15.00,15.7,-0.10,-0.64,120000,0,0
AGR,06/25/2010,15.8,16.0,15.6,15.7,111460,16.90,15.30,16.1,-0.40,-2.48,0,0,0
AGR,06/24/2010,16.2,16.2,16.0,16.1,101230,17.00,15.40,16.2,-0.10,-0.62,0,0,0
AGR,06/23/2010,16.0,16.2,16.0,16.2,154510,17.00,15.40,16.2,0.00,0.00,0,0,0
AGR,06/22/2010,16.1,16.4,16.0,16.2,115530,17.20,15.60,16.4,-0.20,-1.22,0,0,0
AGR,06/21/2010,16.3,16.4,16.2,16.4,94480,16.90,15.30,16.1,0.30,1.86,0,0,0
AGR,06/18/2010,16.0,16.2,16.0,16.1,148850,17.10,15.50,16.3,-0.20,-1.23,0,0,0
AGR,06/17/2010,16.0,16.4,16.0,16.3,74110,16.40,14.90,15.6,0.70,4.49,0,2000,0
AGR,06/16/2010,17.1,17.4,17.0,17.2,181610,17.80,16.20,17.0,0.20,1.18,0,0,0
AGR,06/15/2010,17.1,17.1,16.8,17.0,120910,17.70,16.10,16.9,0.10,0.59,0,0,0
AGR,06/14/2010,16.9,17.0,16.8,16.9,143030,17.70,16.10,16.9,0.00,0.00,0,0,0
AGR,06/11/2010,17.0,17.3,16.9,16.9,106820,17.70,16.10,16.9,0.00,0.00,0,0,0
AGR,06/10/2010,17.5,17.5,16.9,16.9,64000,18.30,16.70,17.5,-0.60,-3.43,0,0,40000
AGR,06/09/2010,17.9,17.9,17.3,17.5,71620,18.40,16.80,17.6,-0.10,-0.57,0,0,2000
AGR,06/08/2010,17.4,17.9,17.4,17.6,77280,18.70,17.10,17.9,-0.30,-1.68,0,0,0
AGR,06/07/2010,17.7,18.1,17.4,17.9,250520,18.40,16.80,17.6,0.30,1.70,0,0,200
AGR,06/04/2010,17.6,17.6,17.6,17.6,567180,17.60,16.00,16.8,0.80,4.76,0,0,2040
AGR,06/03/2010,16.8,17.0,16.7,16.8,77510,17.50,15.90,16.7,0.10,0.60,0,0,0
AGR,06/02/2010,16.6,16.9,16.5,16.7,62060,17.40,15.80,16.6,0.10,0.60,0,0,4000
AGR,06/01/2010,16.9,17.0,16.5,16.6,49360,17.60,16.00,16.8,-0.20,-1.19,0,0,50
AGR,05/31/2010,17.3,17.3,16.8,16.8,66860,18.00,16.40,17.2,-0.40,-2.33,0,0,0
AGR,05/28/2010,17.3,17.3,16.9,17.2,199290,17.40,15.80,16.6,0.60,3.61,0,300,0
AGR,05/27/2010,16.5,16.9,16.5,16.6,79700,17.30,15.70,16.5,0.10,0.61,0,40,0
AGR,05/26/2010,16.7,16.8,16.5,16.5,131490,17.30,15.70,16.5,0.00,0.00,0,0,0
AGR,05/25/2010,16.5,17.1,16.3,16.5,221030,17.60,16.00,16.8,-0.30,-1.79,0,30,0
AGR,05/24/2010,17.0,17.2,16.7,16.8,107730,17.60,16.00,16.8,0.00,0.00,0,6020,0
AGR,05/21/2010,16.8,17.0,16.8,16.8,203700,18.40,16.80,17.6,-0.80,-4.55,0,0,0
AGR,05/20/2010,16.2,17.6,16.2,17.6,142580,17.70,16.10,16.9,0.70,4.14,0,0,0
AGR,05/19/2010,18.0,18.0,16.9,16.9,84600,18.40,16.80,17.6,-0.70,-3.98,0,0,15000
AGR,05/18/2010,17.5,17.8,17.3,17.6,28960,18.60,17.00,17.8,-0.20,-1.12,0,0,0
AGR,05/17/2010,18.4,18.4,17.8,17.8,78950,19.10,17.30,18.2,-0.40,-2.20,0,0,5000
AGR,05/14/2010,17.7,18.2,17.7,18.2,77920,18.50,16.90,17.7,0.50,2.82,633460,0,0
AGR,05/13/2010,18.5,18.5,17.5,17.7,150330,19.00,17.20,18.1,-0.40,-2.21,0,0,0
AGR,05/12/2010,18.6,18.8,18.1,18.1,339570,19.90,18.10,19.0,-0.90,-4.74,0,0,0
AGR,05/11/2010,19.6,19.6,19.0,19.0,230890,20.50,18.70,19.6,-0.60,-3.06,0,0,24580
AGR,05/10/2010,19.8,19.8,18.6,19.6,281780,20.30,18.50,19.4,0.20,1.03,0,25000,14470
AGR,05/07/2010,19.4,19.4,19.2,19.4,576230,19.40,17.60,18.5,0.90,4.86,0,0,60000
AGR,05/06/2010,23.3,24.2,23.1,24.2,456270,24.20,22.00,23.1,1.10,4.76,0,1000,1000
AGR,05/05/2010,23.5,23.9,23.0,23.1,282930,24.90,22.70,23.8,-0.70,-2.94,20000,11000,3890
AGR,05/04/2010,23.7,24.3,23.6,23.8,347950,26.00,23.60,24.8,-1.00,-4.03,0,1050,5700
