MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
APS,08/06/2010,18.4,18.4,17.5,18.0,283200,19.50,17.10,18.3,-0.30,-1.64,20000,0,0
APS,08/05/2010,18.2,18.8,17.7,18.3,302000,19.50,17.10,18.3,0.00,0.00,0,0,0
APS,08/04/2010,18.9,19.0,17.8,18.3,564900,20.40,17.80,19.1,-0.80,-4.19,0,0,0
APS,08/03/2010,19.2,19.4,18.2,19.1,451100,20.50,17.90,19.2,-0.10,-0.52,0,0,0
APS,08/02/2010,19.3,19.6,18.7,19.2,542600,20.50,17.90,19.2,0.00,0.00,20000,0,0
APS,07/30/2010,19.0,19.4,18.9,19.2,582800,20.40,17.80,19.1,0.10,0.52,0,0,0
APS,07/29/2010,19.0,19.3,18.8,19.1,567700,20.30,17.70,19.0,0.10,0.53,0,0,0
APS,07/28/2010,19.4,19.4,18.7,19.0,406000,20.60,18.00,19.3,-0.30,-1.55,0,0,0
APS,07/27/2010,18.2,19.7,18.2,19.3,1727600,19.70,17.30,18.5,0.80,4.32,0,0,0
APS,07/26/2010,19.0,19.0,18.3,18.5,445800,20.30,17.70,19.0,-0.50,-2.63,0,0,0
APS,07/23/2010,19.2,19.5,18.6,19.0,320100,20.10,17.50,18.8,0.20,1.06,0,0,0
APS,07/22/2010,19.2,19.2,18.5,18.8,655400,20.50,17.90,19.2,-0.40,-2.08,0,0,0
APS,07/21/2010,19.2,19.6,18.8,19.2,611300,20.20,17.60,18.9,0.30,1.59,0,0,0
APS,07/20/2010,18.7,19.5,18.7,18.9,1141100,19.90,17.30,18.6,0.30,1.61,0,0,0
APS,07/19/2010,18.4,18.8,18.4,18.6,537700,20.10,17.50,18.8,-0.20,-1.06,0,0,0
APS,07/16/2010,18.8,19.0,18.5,18.8,548700,20.20,17.60,18.9,-0.10,-0.53,0,0,0
APS,07/15/2010,19.2,19.6,18.5,18.9,502200,20.90,18.30,19.6,-0.70,-3.57,0,0,0
APS,07/14/2010,20.2,20.2,18.9,19.6,802500,20.20,17.60,18.9,0.70,3.70,0,0,0
APS,07/13/2010,18.1,18.9,18.1,18.9,378900,18.90,16.50,17.7,1.20,6.78,0,0,0
APS,07/12/2010,17.5,18.1,17.3,17.7,271200,18.50,16.10,17.3,0.40,2.31,0,0,0
APS,07/09/2010,17.5,17.5,17.1,17.3,150800,18.80,16.40,17.6,-0.30,-1.70,0,0,0
