MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
ASM,08/06/2010,74.0,76.5,73.0,76.5,499070,79.50,72.50,76.0,0.50,0.66,175000,0,6000
ASM,08/05/2010,80.0,80.0,76.0,76.0,683600,84.00,76.00,80.0,-4.00,-5.00,60000,20,10000
ASM,08/04/2010,81.0,83.0,77.5,80.0,664160,84.00,76.00,80.0,0.00,0.00,0,20,3000
ASM,08/03/2010,78.0,81.0,78.0,80.0,365220,81.00,74.00,77.5,2.50,3.23,63000,20,1500
ASM,08/02/2010,76.0,77.5,76.0,77.5,491970,81.00,74.00,77.5,0.00,0.00,217000,3000,0
ASM,07/30/2010,76.0,77.5,75.0,77.5,334360,81.00,74.00,77.5,0.00,0.00,0,0,1000
ASM,07/29/2010,76.0,78.5,75.0,77.5,633060,79.00,72.00,75.5,2.00,2.65,60000,0,199860
ASM,07/28/2010,75.0,75.5,74.5,75.5,394950,75.50,68.50,72.0,3.50,4.86,0,0,196000
ASM,07/27/2010,68.5,72.0,68.5,72.0,793720,72.00,66.00,69.0,3.00,4.35,249800,0,134450
ASM,07/26/2010,68.5,71.0,68.5,69.0,382160,71.00,65.00,68.0,1.00,1.47,0,0,0
ASM,07/23/2010,66.5,69.5,66.5,68.0,457700,69.50,63.50,66.5,1.50,2.26,0,5000,75000
ASM,07/22/2010,67.0,68.0,65.0,66.5,376850,70.50,64.50,67.5,-1.00,-1.48,0,0,4280
ASM,07/21/2010,68.5,69.5,67.5,67.5,1529310,69.50,63.50,66.5,1.00,1.50,78000,0,95400
ASM,07/20/2010,66.5,66.5,66.5,66.5,66760,66.50,60.50,63.5,3.00,4.72,74000,0,0
ASM,07/19/2010,63.5,63.5,63.5,63.5,33040,63.50,57.50,60.5,3.00,4.96,0,0,9000
ASM,07/16/2010,60.5,60.5,60.5,60.5,108990,60.50,55.50,58.0,2.50,4.31,0,0,1000
ASM,07/15/2010,56.0,58.5,56.0,58.0,903030,58.50,53.50,56.0,2.00,3.57,0,0,5000
ASM,07/14/2010,54.0,56.0,54.0,56.0,300850,56.00,51.00,53.5,2.50,4.67,0,4000,0
ASM,07/13/2010,54.0,54.5,53.0,53.5,111580,55.50,50.50,53.0,0.50,0.94,0,0,0
ASM,07/12/2010,53.0,53.5,51.5,53.0,125000,56.00,51.00,53.5,-0.50,-0.93,0,0,0
ASM,07/09/2010,52.5,54.0,52.5,53.5,146790,55.50,50.50,53.0,0.50,0.94,0,0,1300
ASM,07/08/2010,53.0,53.5,52.5,53.0,145920,54.00,49.00,51.5,1.50,2.91,0,0,0
ASM,07/07/2010,52.5,53.0,51.5,51.5,58480,55.00,49.90,52.5,-1.00,-1.90,0,0,0
ASM,07/06/2010,54.0,54.0,52.0,52.5,134360,57.00,52.00,54.5,-2.00,-3.67,0,0,0
ASM,07/05/2010,55.0,55.0,54.0,54.5,94130,57.00,52.00,54.5,0.00,0.00,0,0,0
ASM,07/02/2010,54.0,55.5,53.5,54.5,68720,56.00,51.00,53.5,1.00,1.87,0,0,0
ASM,07/01/2010,51.5,53.5,51.0,53.5,125420,53.50,48.50,51.0,2.50,4.90,0,100,0
ASM,06/30/2010,52.0,52.5,51.0,51.0,106840,55.50,50.50,53.0,-2.00,-3.77,0,0,25000
ASM,06/29/2010,53.5,54.0,53.0,53.0,75940,55.00,49.90,52.5,0.50,0.95,0,0,0
ASM,06/28/2010,52.5,53.0,51.5,52.5,122160,55.00,49.90,52.5,0.00,0.00,0,1000,0
ASM,06/25/2010,53.0,54.0,52.5,52.5,163990,57.50,52.50,55.0,-2.50,-4.55,0,0,0
ASM,06/24/2010,55.0,55.5,54.5,55.0,187770,56.50,51.50,54.0,1.00,1.85,0,34500,0
ASM,06/23/2010,54.5,55.0,53.0,54.0,167440,58.00,53.00,55.5,-1.50,-2.70,0,4000,0
ASM,06/22/2010,57.5,57.5,55.5,55.5,370700,60.50,55.50,58.0,-2.50,-4.31,0,30000,0
ASM,06/21/2010,57.0,59.5,56.5,58.0,207230,59.50,54.50,57.0,1.00,1.75,0,0,0
ASM,06/18/2010,60.0,60.5,57.0,57.0,293740,62.00,57.00,59.5,-2.50,-4.20,30000,0,0
ASM,06/17/2010,60.0,60.0,58.0,59.5,549210,60.00,55.00,57.5,2.00,3.48,0,134860,0
ASM,06/16/2010,56.0,57.5,56.0,57.5,772560,57.50,52.50,55.0,2.50,4.55,0,37000,0
ASM,06/15/2010,52.5,55.5,52.5,55.0,304950,56.00,51.00,53.5,1.50,2.80,0,15350,0
ASM,06/14/2010,0.0,53.5,51.5,53.5,155910,53.50,48.50,51.0,2.50,4.90,0,3000,0
ASM,06/11/2010,0.0,52.0,51.0,51.0,64790,53.50,48.50,51.0,0.00,0.00,20000,0,0
ASM,06/10/2010,0.0,51.5,51.0,51.0,11410,53.50,48.50,51.0,0.00,0.00,0,0,0
ASM,06/09/2010,0.0,52.0,51.0,51.0,32060,54.00,49.00,51.5,-0.50,-0.97,20000,6000,0
ASM,06/08/2010,50.5,52.0,50.0,51.5,61240,53.50,48.50,51.0,0.50,0.98,0,5100,0
ASM,06/07/2010,51.0,52.0,50.5,51.0,96350,55.50,50.50,53.0,-2.00,-3.77,20000,20000,2000
ASM,06/04/2010,54.5,54.5,53.0,53.0,29750,56.00,51.00,53.5,-0.50,-0.93,0,0,0
ASM,06/03/2010,55.0,55.0,53.5,53.5,84710,56.00,51.00,53.5,0.00,0.00,20000,1500,0
ASM,06/02/2010,53.0,54.5,52.0,53.5,108010,57.00,52.00,54.5,-1.00,-1.83,0,1000,0
ASM,06/01/2010,56.0,56.0,54.5,54.5,111750,58.00,53.00,55.5,-1.00,-1.80,20000,0,0
ASM,05/31/2010,56.0,56.5,55.0,55.5,170450,57.50,52.50,55.0,0.50,0.91,0,400,0
ASM,05/28/2010,54.0,55.0,53.5,55.0,349990,55.00,49.90,52.5,2.50,4.76,20000,6200,5000
ASM,05/27/2010,51.5,52.5,51.5,52.5,141260,54.00,49.00,51.5,1.00,1.94,0,0,7000
ASM,05/26/2010,51.5,51.5,51.0,51.5,140920,51.50,47.10,49.5,2.00,4.04,263940,0,4000
ASM,05/25/2010,49.5,49.5,46.1,49.5,280360,49.50,44.90,47.2,2.30,4.87,20000,0,9000
ASM,05/24/2010,48.1,50.0,47.2,47.2,49850,51.50,47.00,49.4,-2.20,-4.45,0,500,0
ASM,05/21/2010,49.4,49.9,49.4,49.4,146750,54.50,49.40,52.0,-2.60,-5.00,0,1000,0
ASM,05/20/2010,49.5,53.5,49.4,52.0,168680,54.50,49.40,52.0,0.00,0.00,20000,0,14000
ASM,05/19/2010,52.5,53.0,52.0,52.0,416900,57.00,52.00,54.5,-2.50,-4.59,81000,0,8500
ASM,05/18/2010,55.0,55.0,53.5,54.5,105960,57.50,52.50,55.0,-0.50,-0.91,0,1000,2000
ASM,05/17/2010,57.5,57.5,54.5,55.0,124430,59.00,54.00,56.5,-1.50,-2.65,0,0,2000
ASM,05/14/2010,57.0,57.0,56.0,56.5,72980,58.50,53.50,56.0,0.50,0.89,20000,0,21000
ASM,05/13/2010,58.0,58.5,56.0,56.0,298350,61.00,56.00,58.5,-2.50,-4.27,0,1000,7220
ASM,05/12/2010,57.0,59.0,56.5,58.5,564900,61.00,56.00,58.5,0.00,0.00,0,7020,2000
ASM,05/11/2010,59.5,59.5,58.0,58.5,357570,59.50,54.50,57.0,1.50,2.63,0,500,40870
ASM,05/10/2010,61.5,61.5,57.0,57.0,293460,63.00,57.00,60.0,-3.00,-5.00,0,20,10000
ASM,05/07/2010,56.5,60.5,56.0,60.0,837440,61.00,56.00,58.5,1.50,2.56,0,0,23000
ASM,05/06/2010,59.5,60.0,57.5,58.5,493650,60.50,55.50,58.0,0.50,0.86,0,3000,0
ASM,05/05/2010,57.5,58.0,56.0,58.0,584740,58.00,53.00,55.5,2.50,4.50,30000,7000,50000
ASM,05/04/2010,55.5,55.5,54.0,55.5,456620,55.50,50.50,53.0,2.50,4.72,0,10000,50000
ASM,04/29/2010,51.0,53.0,51.0,53.0,544560,53.00,48.00,50.5,2.50,4.95,0,0,0
ASM,04/28/2010,49.0,50.5,48.9,50.5,330390,51.00,46.60,49.0,1.50,3.06,0,0,0
ASM,04/27/2010,48.1,50.5,48.0,49.0,243450,50.50,45.90,48.3,0.70,1.45,220000,3000,2000
ASM,04/26/2010,49.0,49.1,48.3,48.3,388300,51.00,46.60,49.0,-0.70,-1.43,0,1500,0
ASM,04/22/2010,51.5,52.0,49.0,49.0,358790,54.00,49.00,51.5,-2.50,-4.85,0,0,2000
ASM,04/21/2010,51.5,52.0,49.4,51.5,819080,52.00,47.30,49.7,1.80,3.62,0,15580,26000
ASM,04/20/2010,49.7,49.7,49.0,49.7,550550,49.70,45.10,47.4,2.30,4.85,0,0,2000
ASM,04/19/2010,46.0,47.4,45.6,47.4,382960,47.40,43.00,45.2,2.20,4.87,0,0,0
ASM,04/16/2010,45.8,45.8,45.0,45.2,221200,47.80,43.40,45.6,-0.40,-0.88,0,0,0
ASM,04/15/2010,44.5,45.6,44.3,45.6,167100,46.20,41.80,44.0,1.60,3.64,0,0,0
ASM,04/14/2010,44.6,44.7,44.0,44.0,176410,46.80,42.40,44.6,-0.60,-1.35,0,0,0
ASM,04/13/2010,44.5,46.0,44.5,44.6,236280,46.70,42.30,44.5,0.10,0.22,0,0,0
ASM,04/12/2010,46.5,46.8,44.5,44.5,190850,48.80,44.20,46.5,-2.00,-4.30,0,0,2500
ASM,04/09/2010,47.8,47.8,46.0,46.5,402130,47.80,43.40,45.6,0.90,1.97,0,0,0
ASM,04/08/2010,43.5,45.6,43.5,45.6,505970,45.60,41.40,43.5,2.10,4.83,0,0,0
